symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
BLUR,104,104,0,67.31,79.81,117.4441,77.8065,195.2506,1.3397,0.7487,1.4472,"{""EMERGENCY_SL"": 20, ""TIMEOUT"": 2, ""TRAIL"": 55, ""VWAP_REVERT"": 27}"
ID,80,80,0,70.0,81.25,103.0363,58.9296,161.9659,1.4803,0.9427,0.7934,"{""EMERGENCY_SL"": 15, ""TRAIL"": 43, ""VWAP_REVERT"": 22}"
SUI,79,79,0,68.35,83.54,93.9559,57.2537,151.2096,1.5247,1.2413,0.4786,"{""EMERGENCY_SL"": 12, ""TIMEOUT"": 1, ""TRAIL"": 43, ""VWAP_REVERT"": 23}"
AAVE,96,96,0,69.79,81.25,73.162,69.5465,142.7085,1.3589,1.0211,0.7046,"{""EMERGENCY_SL"": 14, ""TIMEOUT"": 4, ""TRAIL"": 51, ""VWAP_REVERT"": 27}"
MORPHO,6,6,0,100.0,100.0,38.2034,4.3214,42.5248,38203.4325,2.6086,0.0,"{""TRAIL"": 5, ""VWAP_REVERT"": 1}"
AKT,9,9,0,77.78,100.0,25.1476,6.4536,31.6011,26.9886,3.0129,0.0065,"{""TRAIL"": 7, ""VWAP_REVERT"": 2}"
THE,9,9,0,88.89,88.89,18.9173,6.4427,25.36,1.969,0.6347,0.195,"{""EMERGENCY_SL"": 1, ""TRAIL"": 6, ""VWAP_REVERT"": 2}"
NEIRO,32,32,0,78.12,84.38,18.1388,22.9365,41.0753,1.1108,0.1887,0.6359,"{""EMERGENCY_SL"": 4, ""TIMEOUT"": 1, ""TRAIL"": 22, ""VWAP_REVERT"": 5}"
DOGS,27,27,0,77.78,77.78,12.1648,19.2609,31.4257,1.0969,0.1629,0.468,"{""EMERGENCY_SL"": 6, ""TRAIL"": 13, ""VWAP_REVERT"": 8}"
SPX,3,3,0,100.0,100.0,9.4103,2.1482,11.5585,9410.2744,1.3244,0.0,"{""TRAIL"": 3}"
1MBABYDOGE,28,28,0,64.29,82.14,7.3485,19.9906,27.3391,1.068,0.1185,0.5538,"{""EMERGENCY_SL"": 4, ""TIMEOUT"": 2, ""TRAIL"": 15, ""VWAP_REVERT"": 7}"
KAIA,3,3,0,66.67,66.67,6.7704,2.1505,8.921,1.4687,0.2317,0.1442,"{""EMERGENCY_SL"": 1, ""TRAIL"": 1, ""VWAP_REVERT"": 1}"
ME,2,2,0,100.0,100.0,4.7189,1.4307,6.1497,4718.9479,18.3814,0.0,"{""TRAIL"": 2}"
YFI,93,93,0,66.67,76.34,3.708,66.2566,69.9645,1.0165,0.0617,0.6604,"{""EMERGENCY_SL"": 21, ""TIMEOUT"": 1, ""TRAIL"": 45, ""VWAP_REVERT"": 26}"
DEXE,1,1,0,100.0,100.0,0.004,0.7143,0.7183,4.0074,0.0,0.0,"{""TRAIL"": 1}"
STG,98,98,0,64.29,79.59,-0.5878,70.2621,69.6743,0.9974,0.0018,0.5195,"{""EMERGENCY_SL"": 17, ""TIMEOUT"": 3, ""TRAIL"": 52, ""VWAP_REVERT"": 26}"
QNT,89,89,0,67.42,85.39,-1.8704,64.012,62.1416,0.9889,-0.0218,0.6597,"{""EMERGENCY_SL"": 11, ""TIMEOUT"": 4, ""TRAIL"": 56, ""VWAP_REVERT"": 18}"
ALICE,126,126,0,72.22,80.16,-3.5621,91.3416,87.7795,0.9899,-0.0235,1.585,"{""EMERGENCY_SL"": 21, ""TIMEOUT"": 3, ""TRAIL"": 66, ""VWAP_REVERT"": 36}"
MOODENG,10,10,0,70.0,90.0,-4.9503,7.1388,2.1885,0.7539,-0.2329,0.1941,"{""EMERGENCY_SL"": 1, ""TRAIL"": 8, ""VWAP_REVERT"": 1}"
MEME,87,87,0,72.41,80.46,-5.6893,62.9227,57.2334,0.9841,-0.034,1.615,"{""EMERGENCY_SL"": 16, ""TIMEOUT"": 1, ""TRAIL"": 46, ""VWAP_REVERT"": 24}"
DRIFT,12,12,0,33.33,75.0,-10.226,8.5626,-1.6634,0.6105,-0.4948,0.203,"{""EMERGENCY_SL"": 2, ""TIMEOUT"": 1, ""TRAIL"": 9}"
ARKM,71,71,0,67.61,74.65,-11.4377,51.4252,39.9874,0.959,-0.1014,1.6179,"{""EMERGENCY_SL"": 16, ""TIMEOUT"": 2, ""TRAIL"": 42, ""VWAP_REVERT"": 11}"
MBOX,43,43,0,72.09,83.72,-11.7196,30.6449,18.9253,0.8911,-0.2291,0.5989,"{""EMERGENCY_SL"": 7, ""TRAIL"": 24, ""VWAP_REVERT"": 12}"
MOVE,2,2,0,0.0,50.0,-12.6584,1.4214,-11.237,0.0,-1.0694,0.1266,"{""EMERGENCY_SL"": 1, ""TRAIL"": 1}"
ORCA,1,1,0,0.0,0.0,-12.9177,0.7096,-12.2081,0.0,0.0,0.1292,"{""TIMEOUT"": 1}"
MASK,115,115,0,68.7,75.65,-13.3927,80.3723,66.9797,0.9576,-0.1291,1.352,"{""EMERGENCY_SL"": 26, ""TIMEOUT"": 2, ""TRAIL"": 54, ""VWAP_REVERT"": 33}"
