symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
IMX,M5,LONG,2024-01-03 07:50,2024-01-03 08:15,2.3254,2.32565,1000.0,0.1075,0.714,-0.6065,TRAIL
DASH,M5,LONG,2024-01-03 07:55,2024-01-03 08:00,33.06,33.12290979,1000.0,1.9029,0.7147,1.1882,VWAP_REVERT
BTC,M5,LONG,2024-01-03 08:00,2024-01-03 08:05,45030.5,45077.54285714,1000.0,1.0447,0.7144,0.3303,TRAIL
DYDX,M5,LONG,2024-01-03 08:00,2024-01-03 08:20,3.057,3.068,1000.0,3.5983,0.7153,2.883,TRAIL
ETH,M5,LONG,2024-01-03 08:00,2024-01-03 08:10,2362.82,2363.52,1000.0,0.2963,0.7141,-0.4178,TRAIL
KAS,M5,LONG,2024-01-03 08:00,2024-01-03 08:05,0.11613,0.11620214,1000.0,0.6212,0.7142,-0.093,TRAIL
SUPER,M5,LONG,2024-01-03 08:00,2024-01-03 08:40,0.6497,0.65287143,1000.0,4.8814,0.7157,4.1656,TRAIL
DUSK,M5,LONG,2024-01-03 10:45,2024-01-03 10:50,0.20509,0.20523637,1000.0,0.7137,0.7143,-0.0006,VWAP_REVERT
AR,M5,LONG,2024-01-03 10:50,2024-01-03 10:55,9.978,9.98014286,1000.0,0.2148,0.7141,-0.4993,TRAIL
BTC,M5,LONG,2024-01-03 10:50,2024-01-03 11:10,45120.5,44861.85714286,1000.1,-5.7328,0.712,-6.4449,EMERGENCY_SL
DOT,M5,LONG,2024-01-03 10:50,2024-01-03 11:10,8.46,8.37342857,1000.0,-10.233,0.7103,-10.9434,EMERGENCY_SL
ETH,M5,LONG,2024-01-03 10:50,2024-01-03 11:10,2366.51,2352.10357143,999.87,-6.0869,0.7117,-6.7986,EMERGENCY_SL
GTC,M5,LONG,2024-01-03 10:50,2024-01-03 11:05,1.454,1.42871429,1000.0,-17.3904,0.7078,-18.0982,EMERGENCY_SL
IMX,M5,LONG,2024-01-03 10:50,2024-01-03 10:55,2.2853,2.28558571,999.82,0.125,0.7139,-0.5889,TRAIL
KAS,M5,LONG,2024-01-03 10:50,2024-01-03 11:00,0.11688,0.11726381,999.97,3.2837,0.7152,2.5686,VWAP_REVERT
LUNA2,M5,LONG,2024-01-03 10:50,2024-01-03 10:55,0.8469,0.84787857,1000.0,1.1555,0.7144,0.4411,TRAIL
POLYX,M5,LONG,2024-01-03 10:50,2024-01-03 11:10,0.1957,0.19375,1000.0,-9.9642,0.7104,-10.6747,EMERGENCY_SL
STG,M5,LONG,2024-01-03 10:50,2024-01-03 10:55,0.6471,0.65213994,1000.0,7.7885,0.7168,7.0717,VWAP_REVERT
CHZ,M5,LONG,2024-01-03 11:20,2024-01-03 11:50,0.08849,0.08719357,1000.0,-14.6506,0.7088,-15.3593,EMERGENCY_SL
DYDX,M5,LONG,2024-01-03 11:20,2024-01-03 11:55,3.027,2.96785714,1000.86,-19.5553,0.7076,-20.263,EMERGENCY_SL
ETH,M5,LONG,2024-01-03 11:20,2024-01-03 11:45,2347.08,2328.40928571,997.84,-7.9376,0.7096,-8.6473,EMERGENCY_SL
NEAR,M5,LONG,2024-01-03 11:20,2024-01-03 11:55,3.921,3.84364286,1000.0,-19.7289,0.707,-20.4359,EMERGENCY_SL
ORDI,M5,LONG,2024-01-03 11:20,2024-01-03 11:50,83.881,81.18721429,1000.0,-32.1144,0.7025,-32.8169,EMERGENCY_SL
RIF,M5,LONG,2024-01-03 11:20,2024-01-03 11:50,0.13273,0.13046714,1000.0,-17.0486,0.7079,-17.7565,EMERGENCY_SL
STEEM,M5,LONG,2024-01-03 11:20,2024-01-03 11:50,0.2618,0.25738571,1000.0,-16.8613,0.708,-17.5693,EMERGENCY_SL
STORJ,M5,LONG,2024-01-03 11:20,2024-01-03 11:55,0.7109,0.69332857,1000.0,-24.7172,0.7052,-25.4223,EMERGENCY_SL
XRP,M5,LONG,2024-01-03 11:20,2024-01-03 11:50,0.6282,0.62256429,1000.0,-8.9712,0.7108,-9.682,EMERGENCY_SL
RUNE,M5,LONG,2024-01-03 11:55,2024-01-03 12:00,5.848,5.67764286,1000.0,-29.1308,0.7036,-29.8344,EMERGENCY_SL
ALICE,M5,LONG,2024-01-03 12:15,2024-01-03 13:50,1.246,1.27928571,1000.0,26.7141,0.7235,25.9905,TRAIL
API3,M5,LONG,2024-01-03 12:15,2024-01-03 14:45,1.7293,1.8151,1000.0,49.6155,0.7317,48.8837,TIMEOUT
ARKM,M5,LONG,2024-01-03 12:15,2024-01-03 13:50,0.5151,0.52895714,1000.0,26.9018,0.7236,26.1782,TRAIL
BLUR,M5,LONG,2024-01-03 12:15,2024-01-03 12:50,0.4682,0.52572098,1000.0,122.8556,0.7579,122.0977,VWAP_REVERT
BNB,M5,LONG,2024-01-03 12:15,2024-01-03 12:20,298.29,302.30357143,1000.0,13.4553,0.7188,12.7365,TRAIL
DUSK,M5,LONG,2024-01-03 12:15,2024-01-03 12:45,0.17494,0.18927281,1000.0,81.9298,0.7432,81.1866,VWAP_REVERT
ENS,M5,LONG,2024-01-03 12:15,2024-01-03 13:35,8.757,9.42983505,1000.0,76.834,0.7414,76.0925,VWAP_REVERT
ICP,M5,LONG,2024-01-03 12:15,2024-01-03 12:20,12.974,13.68635714,1000.0,54.9065,0.7336,54.1729,TRAIL
ID,M5,LONG,2024-01-03 12:15,2024-01-03 13:15,0.2665,0.28752717,1000.0,78.9012,0.7422,78.159,VWAP_REVERT
LDO,M5,LONG,2024-01-03 12:15,2024-01-03 12:20,2.6771,2.76153571,1000.0,31.54,0.7253,30.8147,TRAIL
LQTY,M5,LONG,2024-01-03 12:15,2024-01-03 14:15,1.2955,1.31247857,1000.0,13.1058,0.7187,12.3871,TRAIL
STG,M5,LONG,2024-01-03 12:15,2024-01-03 12:20,0.546,0.55783571,1002.12,21.7231,0.7233,20.9999,TRAIL
YGG,M5,LONG,2024-01-03 12:15,2024-01-03 12:45,0.411,0.47901188,1000.0,165.479,0.7731,164.706,VWAP_REVERT
BLUR,M5,LONG,2024-01-03 14:30,2024-01-03 14:40,0.4968,0.50478571,1036.63,16.6631,0.7461,15.917,TRAIL
ID,M5,LONG,2024-01-04 01:30,2024-01-04 01:55,0.3185,0.31955714,1023.45,3.397,0.732,2.665,TRAIL
PENDLE,M5,LONG,2024-01-04 01:30,2024-01-04 01:35,1.3004,1.30389286,1000.0,2.686,0.715,1.971,TRAIL
SEI,M5,LONG,2024-01-04 08:15,2024-01-04 08:30,0.7643,0.76438571,1000.0,0.1121,0.714,-0.6019,TRAIL
PEOPLE,M5,LONG,2024-01-04 10:30,2024-01-04 10:55,0.02339,0.02361786,1000.0,9.7416,0.7175,9.0242,TRAIL
ARB,M5,LONG,2024-01-05 00:45,2024-01-05 01:05,1.9816,1.98263571,1000.0,0.5227,0.7142,-0.1915,TRAIL
ENS,M5,LONG,2024-01-05 06:40,2024-01-05 07:50,13.668,13.94418589,1022.83,20.668,0.7377,19.9303,VWAP_REVERT
1000LUNC,M5,LONG,2024-01-06 01:15,2024-01-06 01:45,0.12263,0.122785,1000.0,1.264,0.7145,0.5495,TRAIL
TRB,M5,LONG,2024-01-06 04:55,2024-01-06 05:05,143.346,138.24707143,1000.0,-35.5708,0.7013,-36.2721,EMERGENCY_SL
PEOPLE,M5,LONG,2024-01-06 05:15,2024-01-06 05:40,0.0376,0.03764929,1002.71,1.3143,0.7164,0.5979,TRAIL
TRB,M5,LONG,2024-01-06 05:15,2024-01-06 06:50,138.987,132.76735714,989.12,-44.2629,0.6904,-44.9533,EMERGENCY_SL
CFX,M5,LONG,2024-01-06 19:25,2024-01-06 21:55,0.1822,0.1817,1000.0,-2.7442,0.713,-3.4573,TIMEOUT
JTO,M5,LONG,2024-01-06 23:15,2024-01-06 23:40,1.6915,1.72974411,1000.0,22.6096,0.7221,21.8875,VWAP_REVERT
YFI,M5,LONG,2024-01-07 04:25,2024-01-07 04:35,7693.0,7694.78571429,1000.0,0.2321,0.7141,-0.482,TRAIL
BTC,M5,LONG,2024-01-07 06:05,2024-01-07 06:10,43882.5,43947.61696893,998.17,1.4812,0.7132,0.768,VWAP_REVERT
1INCH,M5,LONG,2024-01-07 08:55,2024-01-07 09:30,0.4808,0.46573571,1000.0,-31.3317,0.7028,-32.0345,EMERGENCY_SL
ETH,M5,LONG,2024-01-07 08:55,2024-01-07 09:30,2242.02,2232.53142857,995.24,-4.212,0.7091,-4.9211,EMERGENCY_SL
YFI,M5,LONG,2024-01-07 09:00,2024-01-07 09:30,7673.0,7582.35714286,999.86,-11.8115,0.7097,-12.5212,EMERGENCY_SL
LQTY,M5,LONG,2024-01-07 09:05,2024-01-07 11:35,1.2861,1.2854,1003.72,-0.5463,0.7165,-1.2628,TIMEOUT
QTUM,M5,LONG,2024-01-07 14:30,2024-01-07 15:10,3.087,3.09228571,1000.0,1.7122,0.7146,0.9976,TRAIL
ETH,M5,LONG,2024-01-07 15:35,2024-01-07 15:40,2234.57,2224.18142857,993.76,-4.62,0.7079,-5.3279,EMERGENCY_SL
SUI,M5,LONG,2024-01-07 15:35,2024-01-07 16:30,0.8292,0.81488571,1000.0,-17.2628,0.7078,-17.9706,EMERGENCY_SL
PEOPLE,M5,LONG,2024-01-07 16:40,2024-01-07 16:45,0.047,0.04019214,1002.89,-145.2661,0.6642,-145.9303,EMERGENCY_SL
BCH,M5,LONG,2024-01-07 16:55,2024-01-07 17:55,234.17,235.03285714,1000.0,3.6847,0.7153,2.9694,TRAIL
IOTA,M5,LONG,2024-01-07 16:55,2024-01-07 17:25,0.2504,0.25125714,1000.0,3.4231,0.7152,2.7079,TRAIL
YFI,M5,LONG,2024-01-07 16:55,2024-01-07 17:50,7407.0,7530.35131518,996.1,16.5884,0.7171,15.8712,VWAP_REVERT
MASK,M5,LONG,2024-01-07 20:55,2024-01-07 21:00,4.251,4.26235714,1000.0,2.6716,0.715,1.9567,TRAIL
BAT,M5,LONG,2024-01-07 22:15,2024-01-07 22:20,0.2362,0.23397143,1000.0,-9.4351,0.7106,-10.1457,EMERGENCY_SL
TRX,M5,LONG,2024-01-07 22:25,2024-01-07 22:30,0.10314,0.10333929,1000.0,1.9322,0.7147,1.2175,TRAIL
BAT,M5,LONG,2024-01-07 22:30,2024-01-07 22:35,0.2338,0.23056429,996.96,-13.7975,0.7069,-14.5044,EMERGENCY_SL
BIGTIME,M5,LONG,2024-01-09 00:40,2024-01-09 01:00,0.4337,0.44504701,1000.0,26.1633,0.7233,25.4399,VWAP_REVERT
BCH,M5,LONG,2024-01-09 00:45,2024-01-09 03:15,249.88,248.29,1000.89,-6.3687,0.7124,-7.0811,TIMEOUT
BLUR,M5,LONG,2024-01-09 04:10,2024-01-09 04:40,0.4624,0.46575714,1041.4,7.5609,0.7463,6.8146,TRAIL
RIF,M5,LONG,2024-01-09 05:50,2024-01-09 05:55,0.15662,0.1591886,994.67,16.3128,0.716,15.5968,VWAP_REVERT
1000BONK,M5,LONG,2024-01-09 09:50,2024-01-09 10:25,0.012712,0.012738,1000.0,2.0453,0.7147,1.3306,TRAIL
LDO,M5,LONG,2024-01-09 14:45,2024-01-09 16:10,3.1766,3.2273009,1009.24,16.1083,0.7264,15.3819,VWAP_REVERT
BIGTIME,M5,LONG,2024-01-09 17:40,2024-01-09 19:20,0.3861,0.37341429,1007.63,-33.1068,0.7076,-33.8144,EMERGENCY_SL
BTCDOM,M5,LONG,2024-01-09 21:30,2024-01-09 21:35,2302.9,2306.0,1000.0,1.3461,0.7145,0.6316,TRAIL
1000SHIB,M5,LONG,2024-01-10 05:05,2024-01-10 07:05,0.009578,0.00946229,1000.0,-12.0813,0.7097,-12.7909,EMERGENCY_SL
DOGE,M5,LONG,2024-01-10 05:05,2024-01-10 05:10,0.07921,0.07922214,1000.0,0.1533,0.7141,-0.5608,TRAIL
