symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
1000BONK,248,248,0,33.47,38.71,747.5628,194.4677,942.0305,2.1394,3.0482,0.7579,"{""SL"": 208, ""TP"": 40}"
JTO,251,251,0,35.86,41.04,700.1496,206.8228,906.9725,2.1128,3.4135,1.1434,"{""SL"": 205, ""TP"": 46}"
1000PEPE,300,300,0,33.67,38.67,655.3923,232.244,887.6363,1.9083,2.7626,1.0852,"{""OPEN"": 1, ""SL"": 257, ""TP"": 42}"
WIF,213,213,0,32.39,39.91,551.8052,163.3642,715.1693,1.8566,2.3726,0.9364,"{""SL"": 179, ""TP"": 34}"
1000FLOKI,220,220,0,36.82,41.36,494.8344,168.9721,663.8065,1.9061,2.458,0.7678,"{""OPEN"": 1, ""SL"": 183, ""TP"": 36}"
JUP,232,232,0,35.34,41.38,446.9275,176.6087,623.5362,1.9629,3.1444,0.4406,"{""SL"": 187, ""TP"": 45}"
1INCH,295,295,0,36.95,46.78,439.0247,223.5022,662.527,2.0718,3.5674,0.3531,"{""SL"": 251, ""TP"": 44}"
XVG,247,247,0,36.03,42.51,419.8784,182.35,602.2283,2.0304,1.8099,0.5615,"{""SL"": 216, ""TP"": 31}"
ARKM,285,285,0,29.82,37.89,413.7421,219.3921,633.1342,1.6549,2.4895,0.4933,"{""SL"": 242, ""TP"": 43}"
IMX,296,296,0,33.45,38.85,406.6554,224.5756,631.231,1.7609,2.9164,0.4599,"{""SL"": 251, ""TP"": 45}"
ENS,228,228,0,36.84,42.11,403.8631,170.1775,574.0407,1.8629,2.6192,0.6259,"{""SL"": 193, ""TP"": 35}"
SEI,251,251,0,31.08,35.46,396.957,187.0618,584.0188,1.6527,2.1646,0.7202,"{""SL"": 211, ""TP"": 40}"
DYM,219,219,0,35.62,41.55,388.3016,164.7717,553.0732,1.8032,2.5152,0.8565,"{""SL"": 178, ""TP"": 41}"
WLD,271,271,0,31.37,36.53,384.1623,205.8881,590.0503,1.6215,2.3877,0.852,"{""SL"": 230, ""TP"": 41}"
