symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
LDO,M15->M5,LONG,2024-01-01 14:45,2024-01-01 15:10,2.7842,2.77500952,1000.0,-3.3009,0.7128,-4.0138,SL
1INCH,M15->M5,LONG,2024-01-01 15:00,2024-01-01 15:05,0.5004,0.50257107,1000.0,4.3387,0.7155,3.6231,SL
1INCH,M15->M5,LONG,2024-01-01 15:15,2024-01-01 16:20,0.504,0.50108766,1001.09,-5.7847,0.7127,-6.4974,SL
RUNE,M15->M5,LONG,2024-01-01 20:45,2024-01-01 20:50,5.14,5.15432967,1000.0,2.7879,0.715,2.0729,SL
AR,M15->M5,LONG,2024-01-01 22:15,2024-01-01 22:20,10.098,10.07951901,1000.0,-1.8302,0.7133,-2.5435,SL
AR,M15->M5,LONG,2024-01-01 22:30,2024-01-01 22:50,10.067,10.04670845,999.24,-2.0141,0.7127,-2.7268,SL
ENJ,M15->M5,LONG,2024-01-02 00:15,2024-01-02 00:20,0.3833,0.386205,1000.0,7.5789,0.7167,6.8622,TP
GMT,M15->M5,LONG,2024-01-02 00:15,2024-01-02 00:20,0.3496,0.3490815,1000.0,-1.4831,0.7135,-2.1966,SL
OP,M15->M5,LONG,2024-01-02 00:15,2024-01-02 00:20,3.8784,3.87146612,1000.0,-1.7878,0.7134,-2.5012,SL
XTZ,M15->M5,LONG,2024-01-02 00:15,2024-01-02 01:00,1.093,1.10305,1000.0,9.1949,0.7173,8.4776,TP
OP,M15->M5,LONG,2024-01-02 00:30,2024-01-02 03:05,3.8508,3.86077162,999.25,2.5875,0.7144,1.8732,SL
SUSHI,M15->M5,LONG,2024-01-02 03:15,2024-01-02 03:20,1.3527,1.35052821,1000.0,-1.6055,0.7134,-2.3189,SL
FET,M15->M5,LONG,2024-01-02 03:30,2024-01-02 03:35,0.7223,0.72002254,1000.0,-3.1531,0.7129,-3.8659,SL
SUSHI,M15->M5,LONG,2024-01-02 03:30,2024-01-02 03:35,1.3487,1.34602659,999.3,-1.9808,0.7128,-2.6936,SL
SUSHI,M15->M5,LONG,2024-01-02 04:00,2024-01-02 04:30,1.3411,1.3367758,998.5,-3.2195,0.7118,-3.9313,SL
TIA,M15->M5,LONG,2024-01-02 04:30,2024-01-02 04:35,13.5089,13.52921053,1000.0,1.5035,0.7145,0.789,SL
1000LUNC,M15->M5,LONG,2024-01-02 06:00,2024-01-02 06:55,0.14489,0.14471423,1000.0,-1.2131,0.7136,-1.9267,SL
1000PEPE,M15->M5,LONG,2024-01-02 06:00,2024-01-02 06:05,0.001405,0.0014067,1000.0,1.2095,0.7144,0.495,SL
AAVE,M15->M5,LONG,2024-01-02 06:00,2024-01-02 06:05,116.29,116.15984262,1000.0,-1.1192,0.7136,-1.8328,SL
XRP,M15->M5,LONG,2024-01-02 06:00,2024-01-02 06:05,0.6307,0.63088632,1000.0,0.2954,0.7141,-0.4187,SL
1000PEPE,M15->M5,LONG,2024-01-02 06:15,2024-01-02 06:20,0.0013993,0.00140175,1000.15,1.7534,0.7147,1.0387,SL
LTC,M15->M5,LONG,2024-01-02 06:15,2024-01-02 08:20,74.72,75.1215,1000.0,5.3734,0.7159,4.6575,TP
TIA,M15->M5,LONG,2024-01-02 06:15,2024-01-02 06:40,13.3239,13.26345087,1000.24,-4.538,0.7125,-5.2505,SL
XRP,M15->M5,LONG,2024-01-02 06:15,2024-01-02 06:20,0.63,0.63021438,999.87,0.3402,0.714,-0.3738,SL
ZEN,M15->M5,LONG,2024-01-02 06:15,2024-01-02 06:35,9.276,9.25219599,1000.0,-2.5662,0.7131,-3.2793,SL
1000PEPE,M15->M5,LONG,2024-01-02 06:30,2024-01-02 06:35,0.0013992,0.00139795,1000.46,-0.8936,0.714,-1.6076,SL
XRP,M15->M5,LONG,2024-01-02 06:30,2024-01-02 06:35,0.6302,0.62963718,999.76,-0.8929,0.7135,-1.6064,SL
1000PEPE,M15->M5,LONG,2024-01-02 06:45,2024-01-02 06:55,0.0013955,0.00139384,999.98,-1.1883,0.7136,-1.9018,SL
1000BONK,M15->M5,LONG,2024-01-02 07:00,2024-01-02 07:15,0.014371,0.01430633,1000.0,-4.5004,0.7124,-5.2128,SL
1000PEPE,M15->M5,LONG,2024-01-02 07:00,2024-01-02 08:20,0.0013885,0.00141632,999.41,20.0241,0.7207,19.3034,TP
1000SHIB,M15->M5,LONG,2024-01-02 07:00,2024-01-02 07:25,0.010713,0.01079125,1000.0,7.3042,0.7166,6.5876,TP
ADA,M15->M5,LONG,2024-01-02 07:00,2024-01-02 07:25,0.6224,0.628335,1000.0,9.5357,0.7174,8.8183,TP
ENS,M15->M5,LONG,2024-01-02 07:00,2024-01-02 08:00,10.323,10.29976183,1000.0,-2.2511,0.7132,-2.9643,SL
POLYX,M15->M5,LONG,2024-01-02 07:00,2024-01-02 07:05,0.1946,0.19483269,1000.0,1.1957,0.7144,0.4813,SL
XRP,M15->M5,LONG,2024-01-02 07:00,2024-01-02 08:20,0.6289,0.63324,999.28,6.896,0.7159,6.18,TP
ZEN,M15->M5,LONG,2024-01-02 07:00,2024-01-02 07:10,9.207,9.21169411,999.02,0.5093,0.7135,-0.2041,SL
