trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,ETHUSDT,2024-01-01 11:56:00+00:00,2024-01-01 12:40:00+00:00,LONG,2306.69,2308.9967,21.676081,50.0,35.0,15.0,WIN,10015.0
2,ETHUSDT,2024-01-01 12:42:00+00:00,2024-01-01 15:25:00+00:00,LONG,2308.8,2311.1088,21.656272,50.0,35.0,15.0,WIN,10030.0
3,ETHUSDT,2024-01-01 15:26:00+00:00,2024-01-01 15:32:00+00:00,LONG,2311.17,2313.4812,21.634064,50.0,35.0,15.0,WIN,10045.0
4,ETHUSDT,2024-01-01 21:29:00+00:00,2024-01-01 21:38:00+00:00,SHORT,2340.33,2337.9897,21.364508,50.0,35.0,15.0,WIN,10060.0
5,ETHUSDT,2024-01-01 23:06:00+00:00,2024-01-01 23:26:00+00:00,LONG,2344.72,2347.0647,21.324508,50.0,35.0,15.0,WIN,10075.0
6,ETHUSDT,2024-01-02 01:52:00+00:00,2024-01-02 14:47:00+00:00,SHORT,2375.11,2372.7349,21.051657,50.0,35.0,15.0,WIN,10090.0
7,ETHUSDT,2024-01-02 18:36:00+00:00,2024-01-02 19:05:00+00:00,LONG,2370.5,2372.8705,21.092596,50.0,35.0,15.0,WIN,10105.0
8,ETHUSDT,2024-01-02 19:29:00+00:00,2024-01-02 19:30:00+00:00,SHORT,2361.94,2359.5781,21.169039,50.0,35.0,15.0,WIN,10120.0
9,ETHUSDT,2024-01-02 21:01:00+00:00,2024-01-02 21:01:00+00:00,SHORT,2362.79,2360.4272,21.161424,50.0,35.0,15.0,WIN,10135.0
10,ETHUSDT,2024-01-02 22:07:00+00:00,2024-01-02 22:09:00+00:00,LONG,2369.95,2372.3199,21.097492,50.0,35.0,15.0,WIN,10150.0
11,ETHUSDT,2024-01-02 23:08:00+00:00,2024-01-02 23:49:00+00:00,SHORT,2356.03,2353.674,21.222141,50.0,35.0,15.0,WIN,10165.0
12,ETHUSDT,2024-01-03 03:09:00+00:00,2024-01-03 04:35:00+00:00,SHORT,2367.72,2365.3523,21.117362,50.0,35.0,15.0,WIN,10180.0
13,ETHUSDT,2024-01-03 07:04:00+00:00,2024-01-03 07:42:00+00:00,SHORT,2375.39,2373.0146,21.049175,50.0,35.0,15.0,WIN,10195.0
14,ETHUSDT,2024-01-03 09:11:00+00:00,2024-01-03 09:13:00+00:00,LONG,2375.75,2378.1257,21.045985,50.0,35.0,15.0,WIN,10210.0
15,ETHUSDT,2024-01-03 10:39:00+00:00,2024-01-03 10:39:00+00:00,SHORT,2369.44,2367.0706,21.102033,50.0,35.0,15.0,WIN,10225.0
16,ETHUSDT,2024-01-03 14:16:00+00:00,2024-01-03 14:16:00+00:00,SHORT,2200.49,2198.2895,22.722212,50.0,35.0,15.0,WIN,10240.0
17,ETHUSDT,2024-01-03 15:42:00+00:00,2024-01-03 15:42:00+00:00,LONG,2215.25,2217.4652,22.570816,50.0,35.0,15.0,WIN,10255.0
18,ETHUSDT,2024-01-03 17:22:00+00:00,2024-01-03 17:46:00+00:00,SHORT,2221.55,2219.3284,22.506808,50.0,35.0,15.0,WIN,10270.0
19,ETHUSDT,2024-01-03 20:20:00+00:00,2024-01-03 20:31:00+00:00,LONG,2215.56,2217.7756,22.567658,50.0,35.0,15.0,WIN,10285.0
20,ETHUSDT,2024-01-03 22:30:00+00:00,2024-01-03 22:35:00+00:00,SHORT,2211.15,2208.9388,22.612668,50.0,35.0,15.0,WIN,10300.0
21,ETHUSDT,2024-01-04 00:09:00+00:00,2024-01-04 00:11:00+00:00,LONG,2214.49,2216.7045,22.578562,50.0,35.0,15.0,WIN,10315.0
22,ETHUSDT,2024-01-04 01:24:00+00:00,2024-01-04 01:24:00+00:00,SHORT,2205.41,2203.2046,22.671521,50.0,35.0,15.0,WIN,10330.0
23,ETHUSDT,2024-01-04 01:57:00+00:00,2024-01-07 23:28:00+00:00,SHORT,2205.82,2203.6142,22.667307,50.0,35.0,15.0,WIN,10345.0
24,ETHUSDT,2024-01-07 23:59:00+00:00,2024-01-08 00:05:00+00:00,LONG,2221.12,2223.3411,22.511166,50.0,35.0,15.0,WIN,10360.0
25,ETHUSDT,2024-01-08 02:17:00+00:00,2024-01-08 02:17:00+00:00,SHORT,2193.1,2190.9069,22.798778,50.0,35.0,15.0,WIN,10375.0
26,ETHUSDT,2024-01-08 02:33:00+00:00,2024-01-08 02:36:00+00:00,SHORT,2197.22,2195.0228,22.756028,50.0,35.0,15.0,WIN,10390.0
27,ETHUSDT,2024-01-08 04:17:00+00:00,2024-01-08 04:36:00+00:00,LONG,2192.58,2194.7726,22.804185,50.0,35.0,15.0,WIN,10405.0
28,ETHUSDT,2024-01-08 05:35:00+00:00,2024-01-23 14:01:00+00:00,SHORT,2189.79,2187.6002,22.83324,50.0,35.0,15.0,WIN,10420.0
