trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,PAXGUSDT,2025-03-27 20:44:00+00:00,2025-03-28 00:20:00+00:00,LONG,3058.04,3061.098,16.350342,50.0,35.0,15.0,WIN,10015.0
2,PAXGUSDT,2025-03-28 03:37:00+00:00,2025-03-28 05:00:00+00:00,SHORT,3069.01,3065.941,16.291899,50.0,35.0,15.0,WIN,10030.0
3,PAXGUSDT,2025-03-28 05:04:00+00:00,2025-03-28 05:36:00+00:00,LONG,3077.75,3080.8277,16.245634,50.0,35.0,15.0,WIN,10045.0
4,PAXGUSDT,2025-03-28 07:34:00+00:00,2025-03-28 07:34:00+00:00,SHORT,3078.56,3075.4814,16.24136,50.0,35.0,15.0,WIN,10060.0
5,PAXGUSDT,2025-03-28 08:58:00+00:00,2025-03-28 11:39:00+00:00,LONG,3080.94,3084.0209,16.228813,50.0,35.0,15.0,WIN,10075.0
6,PAXGUSDT,2025-03-28 13:43:00+00:00,2025-04-04 14:16:00+00:00,SHORT,3077.84,3074.7622,16.245159,50.0,35.0,15.0,WIN,10090.0
7,PAXGUSDT,2025-04-04 19:23:00+00:00,2025-04-04 19:27:00+00:00,LONG,3050.46,3053.5105,16.390971,50.0,35.0,15.0,WIN,10105.0
8,PAXGUSDT,2025-04-04 21:14:00+00:00,2025-04-04 21:14:00+00:00,SHORT,3055.26,3052.2047,16.365219,50.0,35.0,15.0,WIN,10120.0
9,PAXGUSDT,2025-04-04 23:14:00+00:00,2025-04-04 23:14:00+00:00,LONG,3051.81,3054.8618,16.38372,50.0,35.0,15.0,WIN,10135.0
10,PAXGUSDT,2025-04-05 01:16:00+00:00,2025-04-05 09:02:00+00:00,SHORT,3051.31,3048.2587,16.386405,50.0,35.0,15.0,WIN,10150.0
11,PAXGUSDT,2025-04-05 14:52:00+00:00,2025-04-05 15:02:00+00:00,SHORT,3062.93,3059.8671,16.324239,50.0,35.0,15.0,WIN,10165.0
