trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,BTCUSDT,2024-01-03 02:35:00+00:00,2024-01-03 09:35:00+00:00,LONG,TP,45385.0,45430.385,1.101686,50.0,35.0,15.0,WIN,10015.0
2,BTCUSDT,2024-01-03 11:15:00+00:00,2024-01-03 11:20:00+00:00,SHORT,TP,44757.2,44712.4428,1.117139,50.0,35.0,15.0,WIN,10030.0
3,BTCUSDT,2024-01-04 12:20:00+00:00,2024-01-04 13:50:00+00:00,LONG,TP,43390.9,43434.2909,1.152315,50.0,35.0,15.0,WIN,10045.0
4,BTCUSDT,2024-01-05 01:50:00+00:00,2024-01-05 01:50:00+00:00,SHORT,TP,43176.5,43133.3235,1.158037,50.0,35.0,15.0,WIN,10060.0
5,BTCUSDT,2024-01-05 09:00:00+00:00,2024-01-05 09:00:00+00:00,LONG,TP,43911.6,43955.5116,1.138651,50.0,35.0,15.0,WIN,10075.0
6,BTCUSDT,2024-01-05 15:00:00+00:00,2024-01-05 15:50:00+00:00,SHORT,TP,43483.4,43439.9166,1.149864,50.0,35.0,15.0,WIN,10090.0
7,BTCUSDT,2024-01-05 22:05:00+00:00,2024-01-05 22:05:00+00:00,LONG,TP,43908.7,43952.6087,1.138726,50.0,35.0,15.0,WIN,10105.0
8,BTCUSDT,2024-01-06 05:30:00+00:00,2024-01-06 05:50:00+00:00,SHORT,TP,43669.3,43625.6307,1.144969,50.0,35.0,15.0,WIN,10120.0
9,BTCUSDT,2024-01-06 13:50:00+00:00,2024-01-06 14:00:00+00:00,LONG,TP,43740.9,43784.6409,1.143095,50.0,35.0,15.0,WIN,10135.0
10,BTCUSDT,2024-01-06 23:25:00+00:00,2024-01-07 17:00:00+00:00,SHORT,TP,43800.2,43756.3998,1.141547,50.0,35.0,15.0,WIN,10150.0
11,BTCUSDT,2024-01-08 06:35:00+00:00,2024-01-08 10:50:00+00:00,LONG,TP,44053.2,44097.2532,1.134991,50.0,35.0,15.0,WIN,10165.0
12,BTCUSDT,2024-01-09 02:05:00+00:00,2024-01-09 09:25:00+00:00,SHORT,TP,46527.8,46481.2722,1.074626,50.0,35.0,15.0,WIN,10180.0
13,BTCUSDT,2024-01-09 16:20:00+00:00,2024-01-09 16:55:00+00:00,LONG,TP,46882.1,46928.9821,1.066505,50.0,35.0,15.0,WIN,10195.0
14,BTCUSDT,2024-01-09 21:35:00+00:00,2024-01-09 21:45:00+00:00,SHORT,TP,45910.9,45864.9891,1.089066,50.0,35.0,15.0,WIN,10210.0
15,BTCUSDT,2024-01-10 09:05:00+00:00,2024-01-10 09:05:00+00:00,SHORT,TP,45461.4,45415.9386,1.099834,50.0,35.0,15.0,WIN,10225.0
16,BTCUSDT,2024-01-10 17:50:00+00:00,2024-01-10 17:50:00+00:00,LONG,TP,46116.8,46162.9168,1.084204,50.0,35.0,15.0,WIN,10240.0
17,BTCUSDT,2024-01-11 05:45:00+00:00,2024-01-11 05:45:00+00:00,SHORT,TP,46027.4,45981.3726,1.086309,50.0,35.0,15.0,WIN,10255.0
18,BTCUSDT,2024-01-11 10:55:00+00:00,2024-01-11 11:10:00+00:00,LONG,TP,46840.8,46887.6408,1.067445,50.0,35.0,15.0,WIN,10270.0
19,BTCUSDT,2024-01-11 17:35:00+00:00,2024-01-11 17:35:00+00:00,SHORT,TP,45974.6,45928.6254,1.087557,50.0,35.0,15.0,WIN,10285.0
20,BTCUSDT,2024-01-12 01:25:00+00:00,2024-01-12 01:25:00+00:00,SHORT,TP,45948.6,45902.6514,1.088172,50.0,35.0,15.0,WIN,10300.0
21,BTCUSDT,2024-01-13 05:30:00+00:00,2024-01-13 05:40:00+00:00,LONG,TP,42957.2,43000.1572,1.163949,50.0,35.0,15.0,WIN,10315.0
22,BTCUSDT,2024-01-13 11:45:00+00:00,2024-01-13 11:50:00+00:00,SHORT,TP,42565.1,42522.5349,1.174671,50.0,35.0,15.0,WIN,10330.0
23,BTCUSDT,2024-01-14 07:00:00+00:00,2024-01-14 07:00:00+00:00,LONG,TP,42996.6,43039.5966,1.162883,50.0,35.0,15.0,WIN,10345.0
24,BTCUSDT,2024-01-14 14:25:00+00:00,2024-01-14 19:15:00+00:00,SHORT,TP,42806.4,42763.5936,1.16805,50.0,35.0,15.0,WIN,10360.0
25,BTCUSDT,2024-01-14 19:55:00+00:00,2024-01-14 19:55:00+00:00,SHORT,TP,42719.9,42677.1801,1.170415,50.0,35.0,15.0,WIN,10375.0
26,BTCUSDT,2024-01-15 14:35:00+00:00,2024-01-15 14:35:00+00:00,SHORT,TP,42369.2,42326.8308,1.180103,50.0,35.0,15.0,WIN,10390.0
27,BTCUSDT,2024-01-15 18:10:00+00:00,2024-01-15 18:20:00+00:00,LONG,TP,42769.1,42811.8691,1.169068,50.0,35.0,15.0,WIN,10405.0
28,BTCUSDT,2024-01-16 05:20:00+00:00,2024-01-16 05:25:00+00:00,LONG,TP,42844.3,42887.1443,1.167016,50.0,35.0,15.0,WIN,10420.0
29,BTCUSDT,2024-01-16 14:45:00+00:00,2024-01-18 16:40:00+00:00,SHORT,TP,42107.4,42065.2926,1.18744,50.0,35.0,15.0,WIN,10435.0
30,BTCUSDT,2024-01-19 06:55:00+00:00,2024-01-19 06:55:00+00:00,LONG,TP,41435.6,41477.0356,1.206692,50.0,35.0,15.0,WIN,10450.0
31,BTCUSDT,2024-01-19 18:55:00+00:00,2024-01-19 18:55:00+00:00,LONG,TP,41874.7,41916.5747,1.194038,50.0,35.0,15.0,WIN,10465.0
32,BTCUSDT,2024-01-20 07:45:00+00:00,2024-01-20 20:40:00+00:00,LONG,TP,41735.1,41776.8351,1.198032,50.0,35.0,15.0,WIN,10480.0
33,BTCUSDT,2024-01-20 21:00:00+00:00,2024-01-20 21:05:00+00:00,LONG,TP,41748.7,41790.4487,1.197642,50.0,35.0,15.0,WIN,10495.0
34,BTCUSDT,2024-01-21 04:25:00+00:00,2024-01-21 06:15:00+00:00,SHORT,TP,41664.4,41622.7356,1.200065,50.0,35.0,15.0,WIN,10510.0
35,BTCUSDT,2024-01-21 13:15:00+00:00,2024-01-21 13:35:00+00:00,LONG,TP,41799.6,41841.3996,1.196184,50.0,35.0,15.0,WIN,10525.0
36,BTCUSDT,2024-01-23 04:25:00+00:00,2024-01-24 00:50:00+00:00,LONG,TP,40151.6,40191.7516,1.24528,50.0,35.0,15.0,WIN,10540.0
37,BTCUSDT,2024-01-24 09:05:00+00:00,2024-01-24 09:10:00+00:00,LONG,TP,40003.4,40043.4034,1.249894,50.0,35.0,15.0,WIN,10555.0
