trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,PAXGUSDT,2025-03-29 11:55:00+00:00,2025-03-29 13:00:00+00:00,LONG,TP,3104.47,3107.5745,16.105809,50.0,35.0,15.0,WIN,10015.0
2,PAXGUSDT,2025-03-29 20:45:00+00:00,2025-04-03 11:00:00+00:00,SHORT,TP,3106.87,3103.7631,16.093367,50.0,35.0,15.0,WIN,10030.0
3,PAXGUSDT,2025-04-03 22:45:00+00:00,2025-04-03 23:25:00+00:00,LONG,TP,3125.36,3128.4854,15.998157,50.0,35.0,15.0,WIN,10045.0
4,PAXGUSDT,2025-04-04 02:10:00+00:00,2025-04-04 02:20:00+00:00,SHORT,TP,3117.39,3114.2726,16.039058,50.0,35.0,15.0,WIN,10060.0
5,PAXGUSDT,2025-04-05 22:25:00+00:00,2025-04-09 09:45:00+00:00,LONG,TP,3066.09,3069.1561,16.307414,50.0,35.0,15.0,WIN,10075.0
6,PAXGUSDT,2025-04-10 00:35:00+00:00,2025-04-10 02:05:00+00:00,LONG,TP,3113.08,3116.1931,16.061264,50.0,35.0,15.0,WIN,10090.0
7,PAXGUSDT,2025-04-11 10:10:00+00:00,2025-04-11 10:10:00+00:00,LONG,TP,3256.15,3259.4061,15.355558,50.0,35.0,15.0,WIN,10105.0
8,PAXGUSDT,2025-04-11 23:55:00+00:00,2025-04-12 00:10:00+00:00,LONG,TP,3263.53,3266.7935,15.320834,50.0,35.0,15.0,WIN,10120.0
9,PAXGUSDT,2025-04-12 09:50:00+00:00,2025-04-12 10:35:00+00:00,SHORT,TP,3280.28,3276.9997,15.242601,50.0,35.0,15.0,WIN,10135.0
10,PAXGUSDT,2025-04-13 06:25:00+00:00,2025-04-13 06:30:00+00:00,LONG,TP,3247.71,3250.9577,15.395463,50.0,35.0,15.0,WIN,10150.0
11,PAXGUSDT,2025-04-13 15:45:00+00:00,2025-04-13 15:45:00+00:00,LONG,TP,3256.43,3259.6864,15.354238,50.0,35.0,15.0,WIN,10165.0
12,PAXGUSDT,2025-04-13 22:35:00+00:00,2025-04-13 22:35:00+00:00,SHORT,TP,3244.81,3241.5652,15.409223,50.0,35.0,15.0,WIN,10180.0
13,PAXGUSDT,2025-04-14 01:55:00+00:00,2025-04-14 02:00:00+00:00,LONG,TP,3262.71,3265.9727,15.324684,50.0,35.0,15.0,WIN,10195.0
14,PAXGUSDT,2025-04-14 08:40:00+00:00,2025-04-14 08:40:00+00:00,SHORT,TP,3247.04,3243.793,15.39864,50.0,35.0,15.0,WIN,10210.0
15,PAXGUSDT,2025-04-14 20:00:00+00:00,2025-04-14 23:55:00+00:00,LONG,TP,3232.3,3235.5323,15.468861,50.0,35.0,15.0,WIN,10225.0
16,PAXGUSDT,2025-04-15 17:55:00+00:00,2025-04-15 22:00:00+00:00,LONG,TP,3245.03,3248.275,15.408178,50.0,35.0,15.0,WIN,10240.0
