symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
APT,H1,SHORT,2025-08-01 00:00,2025-08-05 00:00,4.3092,4.3581,1000.0,-11.3478,0.7181,-12.0659,REV
APT,H1,LONG,2025-08-05 00:00,2025-08-12 00:00,4.3581,4.5719,1000.0,49.0581,0.7315,48.3266,REV
APT,H1,SHORT,2025-08-12 00:00,2025-08-13 11:00,4.5719,4.9627,1000.0,-85.4787,0.7445,-86.2232,REV
APT,H1,LONG,2025-08-13 11:00,2025-08-16 06:00,4.9627,4.6441,1000.0,-64.1989,0.6911,-64.89,REV
APT,H1,SHORT,2025-08-16 06:00,2025-08-22 18:00,4.6441,4.7093,1000.0,-14.0393,0.719,-14.7583,REV
APT,H1,LONG,2025-08-22 18:00,2025-08-25 20:00,4.7093,4.2124,1000.0,-105.5146,0.6763,-106.191,REV
APT,H1,SHORT,2025-08-25 20:00,2025-09-02 09:00,4.2124,4.3005,1000.0,-20.9144,0.7215,-21.6359,REV
APT,H1,LONG,2025-09-02 09:00,2025-09-04 22:00,4.3005,4.27,1000.0,-7.0922,0.7115,-7.8037,REV
APT,H1,SHORT,2025-09-04 22:00,2025-09-05 07:00,4.27,4.3324,1000.0,-14.6136,0.7192,-15.3328,REV
APT,H1,LONG,2025-09-05 07:00,2025-09-06 02:00,4.3324,4.2467,1000.0,-19.7812,0.7069,-20.4881,REV
APT,H1,SHORT,2025-09-06 02:00,2025-09-08 04:00,4.2467,4.3439,1000.0,-22.8884,0.7222,-23.6105,REV
APT,H1,LONG,2025-09-08 04:00,2025-09-15 10:00,4.3439,4.4003,1000.0,12.9837,0.7186,12.2651,REV
APT,H1,SHORT,2025-09-15 10:00,2025-09-18 03:00,4.4003,4.6356,1000.0,-53.4736,0.7331,-54.2067,REV
APT,H1,LONG,2025-09-18 03:00,2025-09-22 01:00,4.6356,4.5022,1000.0,-28.7773,0.7037,-29.481,REV
APT,H1,SHORT,2025-09-22 01:00,2025-09-28 23:00,4.5022,4.2264,1000.0,61.2589,0.6921,60.5668,REV
APT,H1,LONG,2025-09-28 23:00,2025-10-07 17:00,4.2264,5.269,1000.0,246.6875,0.8021,245.8854,REV
APT,H1,SHORT,2025-10-07 17:00,2025-10-08 04:00,5.269,5.3543,1000.0,-16.189,0.7198,-16.9088,REV
APT,H1,LONG,2025-10-08 04:00,2025-10-08 20:00,5.3543,5.1995,1000.0,-28.9113,0.7037,-29.615,REV
APT,H1,SHORT,2025-10-08 20:00,2025-10-20 22:00,5.1995,3.2711,1000.0,370.8818,0.5816,370.3002,REV
APT,H1,LONG,2025-10-20 22:00,2025-10-30 12:00,3.2711,3.2944,1000.0,7.123,0.7165,6.4064,REV
APT,H1,SHORT,2025-10-30 12:00,2025-11-07 07:00,3.2944,3.1699,1000.0,37.7914,0.7005,37.0909,REV
APT,H1,LONG,2025-11-07 07:00,2025-11-13 08:00,3.1699,3.1022,1000.0,-21.3571,0.7064,-22.0635,REV
APT,H1,SHORT,2025-11-13 08:00,2025-11-20 05:00,3.1022,2.951,1000.0,48.7396,0.6966,48.043,REV
APT,H1,LONG,2025-11-20 05:00,2025-11-20 20:00,2.951,2.733,1000.0,-73.8733,0.6876,-74.5609,REV
APT,H1,SHORT,2025-11-20 20:00,2025-12-04 15:00,2.733,1.9935,1000.0,270.5818,0.6174,269.9644,REV
APT,H1,LONG,2025-12-04 15:00,2025-12-05 18:00,1.9935,1.722,1000.0,-136.1926,0.6654,-136.858,REV
APT,H1,SHORT,2025-12-05 18:00,2025-12-09 16:00,1.722,1.886,1000.0,-95.2381,0.748,-95.9861,REV
APT,H1,LONG,2025-12-09 16:00,2025-12-12 09:00,1.886,1.7175,1000.0,-89.3425,0.6821,-90.0246,REV
APT,H1,SHORT,2025-12-12 09:00,2025-12-19 20:00,1.7175,1.6552,1000.0,36.2737,0.7011,35.5726,REV
APT,H1,LONG,2025-12-19 20:00,2025-12-23 10:00,1.6552,1.5971,1000.0,-35.1015,0.7015,-35.803,REV
APT,H1,SHORT,2025-12-23 10:00,2025-12-25 03:00,1.5971,1.6485,1000.0,-32.1833,0.7255,-32.9088,REV
APT,H1,LONG,2025-12-25 03:00,2025-12-31 10:00,1.6485,1.6881,1000.0,24.0218,0.7226,23.2993,REV
APT,H1,SHORT,2025-12-31 10:00,2026-01-01 17:00,1.6881,1.8234,1000.0,-80.1493,0.7426,-80.8919,REV
APT,H1,LONG,2026-01-01 17:00,2026-01-07 19:00,1.8234,1.8864,1000.0,34.5508,0.7263,33.8245,REV
APT,H1,SHORT,2026-01-07 19:00,2026-01-13 15:00,1.8864,1.9114,1000.0,-13.2528,0.7187,-13.9715,REV
APT,H1,LONG,2026-01-13 15:00,2026-01-17 03:00,1.9114,1.807,1000.0,-54.6197,0.6945,-55.3142,REV
APT,H1,SHORT,2026-01-17 03:00,2026-01-28 00:00,1.807,1.5912,1000.0,119.4245,0.6714,118.7531,REV
APT,H1,LONG,2026-01-28 00:00,2026-01-29 18:00,1.5912,1.4427,1000.0,-93.3258,0.6807,-94.0065,REV
APT,H1,SHORT,2026-01-29 18:00,2026-02-15 07:00,1.4427,0.9846,1000.0,317.5296,0.6006,316.929,REV
APT,H1,LONG,2026-02-15 07:00,2026-02-17 23:00,0.9846,0.9164,1000.0,-69.2667,0.6893,-69.956,REV
APT,H1,SHORT,2026-02-17 23:00,2026-02-25 15:00,0.9164,0.954,1000.0,-41.0301,0.7286,-41.7588,REV
