symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
APT,M15,SHORT,2025-08-01 00:00,2025-08-03 10:15,4.2872,4.2133,1000.0,17.2374,0.7078,16.5295,REV
APT,M15,LONG,2025-08-03 10:15,2025-08-05 14:30,4.2133,4.2502,1000.0,8.758,0.7171,8.0409,REV
APT,M15,SHORT,2025-08-05 14:30,2025-08-06 19:45,4.2502,4.2496,1000.0,0.1412,0.7139,-0.5728,REV
APT,M15,LONG,2025-08-06 19:45,2025-08-06 21:00,4.2496,4.2403,1000.0,-2.1884,0.7132,-2.9017,REV
APT,M15,SHORT,2025-08-06 21:00,2025-08-07 00:15,4.2403,4.2487,1000.0,-1.981,0.7147,-2.6957,REV
APT,M15,LONG,2025-08-07 00:15,2025-08-07 03:15,4.2487,4.2197,1000.0,-6.8256,0.7116,-7.5372,REV
APT,M15,SHORT,2025-08-07 03:15,2025-08-07 10:00,4.2197,4.3012,1000.0,-19.3142,0.7209,-20.0351,REV
APT,M15,LONG,2025-08-07 10:00,2025-08-10 06:00,4.3012,4.7795,1000.0,111.2015,0.7537,110.4478,REV
APT,M15,SHORT,2025-08-10 06:00,2025-08-11 04:30,4.7795,4.8085,1000.0,-6.0676,0.7162,-6.7837,REV
APT,M15,LONG,2025-08-11 04:30,2025-08-11 12:15,4.8085,4.6146,1000.0,-40.3244,0.6996,-41.024,REV
APT,M15,SHORT,2025-08-11 12:15,2025-08-12 15:15,4.6146,4.7422,1000.0,-27.6514,0.7239,-28.3752,REV
APT,M15,LONG,2025-08-12 15:15,2025-08-14 09:00,4.7422,4.9219,1000.0,37.8938,0.7275,37.1663,REV
APT,M15,SHORT,2025-08-14 09:00,2025-08-16 13:15,4.9219,4.6759,1000.0,49.9807,0.6962,49.2845,REV
APT,M15,LONG,2025-08-16 13:15,2025-08-18 02:00,4.6759,4.653,1000.0,-4.8975,0.7123,-5.6097,REV
APT,M15,SHORT,2025-08-18 02:00,2025-08-20 15:15,4.653,4.4411,1000.0,45.5405,0.6977,44.8428,REV
APT,M15,LONG,2025-08-20 15:15,2025-08-21 14:30,4.4411,4.3894,1000.0,-11.6413,0.7098,-12.3511,REV
APT,M15,SHORT,2025-08-21 14:30,2025-08-22 14:15,4.3894,4.4874,1000.0,-22.3265,0.722,-23.0485,REV
APT,M15,LONG,2025-08-22 14:15,2025-08-24 07:00,4.4874,4.6307,1000.0,31.9339,0.7254,31.2085,REV
APT,M15,SHORT,2025-08-24 07:00,2025-08-26 17:30,4.6307,4.333,1000.0,64.2883,0.691,63.5973,REV
APT,M15,LONG,2025-08-26 17:30,2025-08-28 02:00,4.333,4.3643,1000.0,7.2236,0.7166,6.5071,REV
APT,M15,SHORT,2025-08-28 02:00,2025-08-28 08:00,4.3643,4.4324,1000.0,-15.6039,0.7196,-16.3234,REV
APT,M15,LONG,2025-08-28 08:00,2025-08-29 07:00,4.4324,4.3268,1000.0,-23.8246,0.7055,-24.5301,REV
APT,M15,SHORT,2025-08-29 07:00,2025-08-30 15:00,4.3268,4.2782,1000.0,11.2323,0.71,10.5223,REV
APT,M15,LONG,2025-08-30 15:00,2025-08-31 20:30,4.2782,4.2987,1000.0,4.7917,0.7157,4.076,REV
APT,M15,SHORT,2025-08-31 20:30,2025-09-01 09:00,4.2987,4.4175,1000.0,-27.6363,0.7239,-28.3601,REV
APT,M15,LONG,2025-09-01 09:00,2025-09-01 12:45,4.4175,4.2703,1000.0,-33.322,0.7021,-34.0241,REV
APT,M15,SHORT,2025-09-01 12:45,2025-09-02 02:00,4.2703,4.2219,1000.0,11.3341,0.71,10.6241,REV
APT,M15,LONG,2025-09-02 02:00,2025-09-03 07:30,4.2219,4.2752,1000.0,12.6246,0.7185,11.9061,REV
APT,M15,SHORT,2025-09-03 07:30,2025-09-03 10:15,4.2752,4.3227,1000.0,-11.1106,0.718,-11.8286,REV
APT,M15,LONG,2025-09-03 10:15,2025-09-04 07:30,4.3227,4.2831,1000.0,-9.1609,0.7107,-9.8717,REV
