symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ARB,H1,SHORT,2025-08-01 00:00,2025-08-04 18:00,0.3941,0.405,1000.0,-27.658,0.7239,-28.3818,REV
ARB,H1,LONG,2025-08-04 18:00,2025-08-17 03:00,0.405,0.5,1000.0,234.5679,0.7977,233.7702,REV
ARB,H1,SHORT,2025-08-17 03:00,2025-08-22 16:00,0.5,0.5624,1000.0,-124.8,0.7586,-125.5586,REV
ARB,H1,LONG,2025-08-22 16:00,2025-08-26 07:00,0.5624,0.5284,1000.0,-60.4552,0.6924,-61.1476,REV
ARB,H1,SHORT,2025-08-26 07:00,2025-09-05 10:00,0.5284,0.5004,1000.0,52.9902,0.6951,52.2951,REV
ARB,H1,LONG,2025-09-05 10:00,2025-09-06 15:00,0.5004,0.4843,1000.0,-32.1743,0.7025,-32.8768,REV
ARB,H1,SHORT,2025-09-06 15:00,2025-09-08 08:00,0.4843,0.497,1000.0,-26.2234,0.7234,-26.9468,REV
ARB,H1,LONG,2025-09-08 08:00,2025-09-14 18:00,0.497,0.5134,1000.0,32.998,0.7258,32.2722,REV
ARB,H1,SHORT,2025-09-14 18:00,2025-09-18 04:00,0.5134,0.5251,1000.0,-22.7892,0.7221,-23.5114,REV
ARB,H1,LONG,2025-09-18 04:00,2025-09-20 11:00,0.5251,0.4897,1000.0,-67.4157,0.6899,-68.1057,REV
ARB,H1,SHORT,2025-09-20 11:00,2025-09-29 00:00,0.4897,0.4265,1000.0,129.0586,0.6679,128.3907,REV
ARB,H1,LONG,2025-09-29 00:00,2025-09-30 09:00,0.4265,0.4073,1000.0,-45.0176,0.6979,-45.7155,REV
ARB,H1,SHORT,2025-09-30 09:00,2025-10-01 11:00,0.4073,0.4336,1000.0,-64.5716,0.7371,-65.3086,REV
ARB,H1,LONG,2025-10-01 11:00,2025-10-06 08:00,0.4336,0.4408,1000.0,16.6052,0.7199,15.8852,REV
ARB,H1,SHORT,2025-10-06 08:00,2025-10-06 17:00,0.4408,0.4626,1000.0,-49.4555,0.7317,-50.1872,REV
ARB,H1,LONG,2025-10-06 17:00,2025-10-07 17:00,0.4626,0.426,1000.0,-79.118,0.6858,-79.8038,REV
ARB,H1,SHORT,2025-10-07 17:00,2025-10-14 14:00,0.426,0.331,1000.0,223.0047,0.6344,222.3703,REV
ARB,H1,LONG,2025-10-14 14:00,2025-10-16 21:00,0.331,0.3156,1000.0,-46.5257,0.6974,-47.2231,REV
ARB,H1,SHORT,2025-10-16 21:00,2025-10-20 21:00,0.3156,0.3216,1000.0,-19.0114,0.7208,-19.7322,REV
ARB,H1,LONG,2025-10-20 21:00,2025-10-30 10:00,0.3216,0.3087,1000.0,-40.1119,0.6997,-40.8116,REV
ARB,H1,SHORT,2025-10-30 10:00,2025-11-07 08:00,0.3087,0.2759,1000.0,106.252,0.6761,105.576,REV
ARB,H1,LONG,2025-11-07 08:00,2025-11-11 10:00,0.2759,0.2919,1000.0,57.992,0.7347,57.2573,REV
ARB,H1,SHORT,2025-11-11 10:00,2025-11-24 21:00,0.2919,0.2182,1000.0,252.4837,0.6239,251.8599,REV
ARB,H1,LONG,2025-11-24 21:00,2025-12-01 00:00,0.2182,0.1962,1000.0,-100.8249,0.678,-101.5029,REV
ARB,H1,SHORT,2025-12-01 00:00,2025-12-04 08:00,0.1962,0.2225,1000.0,-134.0469,0.7619,-134.8087,REV
ARB,H1,LONG,2025-12-04 08:00,2025-12-06 06:00,0.2225,0.2031,1000.0,-87.191,0.6829,-87.8739,REV
ARB,H1,SHORT,2025-12-06 06:00,2025-12-09 06:00,0.2031,0.2113,1000.0,-40.3742,0.7284,-41.1026,REV
ARB,H1,LONG,2025-12-09 06:00,2025-12-11 09:00,0.2113,0.2053,1000.0,-28.3956,0.7039,-29.0995,REV
ARB,H1,SHORT,2025-12-11 09:00,2025-12-21 10:00,0.2053,0.1892,1000.0,78.4218,0.686,77.7358,REV
ARB,H1,LONG,2025-12-21 10:00,2025-12-23 07:00,0.1892,0.1848,1000.0,-23.2558,0.7057,-23.9615,REV
ARB,H1,SHORT,2025-12-23 07:00,2025-12-25 05:00,0.1848,0.1901,1000.0,-28.6797,0.7242,-29.4039,REV
ARB,H1,LONG,2025-12-25 05:00,2025-12-26 01:00,0.1901,0.1857,1000.0,-23.1457,0.7057,-23.8514,REV
ARB,H1,SHORT,2025-12-26 01:00,2025-12-26 11:00,0.1857,0.1908,1000.0,-27.4637,0.7238,-28.1875,REV
ARB,H1,LONG,2025-12-26 11:00,2025-12-31 12:00,0.1908,0.1897,1000.0,-5.7652,0.7119,-6.4771,REV
ARB,H1,SHORT,2025-12-31 12:00,2026-01-01 23:00,0.1897,0.2012,1000.0,-60.622,0.7356,-61.3577,REV
ARB,H1,LONG,2026-01-01 23:00,2026-01-08 06:00,0.2012,0.2073,1000.0,30.3181,0.7248,29.5933,REV
ARB,H1,SHORT,2026-01-08 06:00,2026-01-13 15:00,0.2073,0.2141,1000.0,-32.8027,0.7257,-33.5284,REV
ARB,H1,LONG,2026-01-13 15:00,2026-01-19 00:00,0.2141,0.193,1000.0,-98.5521,0.6788,-99.2309,REV
ARB,H1,SHORT,2026-01-19 00:00,2026-02-13 19:00,0.193,0.1157,1000.0,400.5181,0.571,399.9471,REV
ARB,H1,LONG,2026-02-13 19:00,2026-02-17 23:00,0.1157,0.1127,1000.0,-25.9291,0.7047,-26.6339,REV
ARB,H1,SHORT,2026-02-17 23:00,2026-02-25 17:00,0.1127,0.1026,1000.0,89.6185,0.682,88.9364,REV
ARB,H1,LONG,2026-02-25 17:00,2026-03-01 21:00,0.1026,0.0977,1000.0,-47.7583,0.697,-48.4552,REV
ARB,H1,SHORT,2026-03-01 21:00,2026-03-02 04:00,0.0977,0.1022,1000.0,-46.0594,0.7304,-46.7898,REV
ARB,H1,LONG,2026-03-02 04:00,2026-03-06 17:00,0.1022,0.0983,1000.0,-38.1605,0.7004,-38.8608,REV
ARB,H1,SHORT,2026-03-06 17:00,2026-03-11 11:00,0.0983,0.0991,1000.0,-8.1384,0.7169,-8.8553,REV
ARB,H1,LONG,2026-03-11 11:00,2026-03-19 11:00,0.0991,0.1006,1000.0,15.1362,0.7194,14.4168,REV
ARB,H1,SHORT,2026-03-19 11:00,2026-03-25 14:00,0.1006,0.0994,1000.0,11.9284,0.7097,11.2187,REV
ARB,H1,LONG,2026-03-25 14:00,2026-03-27 09:00,0.0994,0.0927,1000.0,-67.4044,0.6899,-68.0944,REV
ARB,H1,SHORT,2026-03-27 09:00,2026-03-31 03:00,0.0927,0.0925,1000.0,2.1575,0.7132,1.4443,REV
ARB,H1,LONG,2026-03-31 03:00,2026-04-02 23:00,0.0925,0.0907,1000.0,-19.4595,0.7071,-20.1665,REV
ARB,H1,SHORT,2026-04-02 23:00,2026-04-03 07:00,0.0907,0.0934,1000.0,-29.7685,0.7246,-30.4931,REV
