symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ARB,M15,SHORT,2025-08-01 00:00,2025-08-03 08:00,0.3917,0.378,1000.0,34.9757,0.7015,34.2742,REV
ARB,M15,LONG,2025-08-03 08:00,2025-08-05 13:15,0.378,0.3922,1000.0,37.5661,0.7274,36.8387,REV
ARB,M15,SHORT,2025-08-05 13:15,2025-08-06 16:15,0.3922,0.3856,1000.0,16.8281,0.708,16.1202,REV
ARB,M15,LONG,2025-08-06 16:15,2025-08-10 08:00,0.3856,0.4528,1000.0,174.2739,0.7762,173.4976,REV
ARB,M15,SHORT,2025-08-10 08:00,2025-08-11 03:15,0.4528,0.4738,1000.0,-46.3781,0.7306,-47.1086,REV
ARB,M15,LONG,2025-08-11 03:15,2025-08-11 11:45,0.4738,0.4464,1000.0,-57.8303,0.6934,-58.5237,REV
ARB,M15,SHORT,2025-08-11 11:45,2025-08-12 13:30,0.4464,0.4563,1000.0,-22.1774,0.7219,-22.8993,REV
ARB,M15,LONG,2025-08-12 13:30,2025-08-14 13:15,0.4563,0.5187,1000.0,136.7521,0.7628,135.9893,REV
ARB,M15,SHORT,2025-08-14 13:15,2025-08-16 17:00,0.5187,0.4846,1000.0,65.7413,0.6905,65.0507,REV
ARB,M15,LONG,2025-08-16 17:00,2025-08-18 08:45,0.4846,0.5145,1000.0,61.7004,0.736,60.9643,REV
ARB,M15,SHORT,2025-08-18 08:45,2025-08-20 15:15,0.5145,0.5048,1000.0,18.8533,0.7073,18.146,REV
ARB,M15,LONG,2025-08-20 15:15,2025-08-21 13:00,0.5048,0.4927,1000.0,-23.9699,0.7054,-24.6753,REV
ARB,M15,SHORT,2025-08-21 13:00,2025-08-22 08:15,0.4927,0.5048,1000.0,-24.5586,0.7228,-25.2813,REV
ARB,M15,LONG,2025-08-22 08:15,2025-08-22 11:45,0.5048,0.4868,1000.0,-35.6577,0.7013,-36.359,REV
ARB,M15,SHORT,2025-08-22 11:45,2025-08-22 14:15,0.4868,0.5276,1000.0,-83.8127,0.7439,-84.5566,REV
ARB,M15,LONG,2025-08-22 14:15,2025-08-24 07:30,0.5276,0.5774,1000.0,94.3897,0.7477,93.642,REV
ARB,M15,SHORT,2025-08-24 07:30,2025-08-26 18:15,0.5774,0.5307,1000.0,80.8798,0.6851,80.1947,REV
ARB,M15,LONG,2025-08-26 18:15,2025-08-27 01:30,0.5307,0.5207,1000.0,-18.843,0.7073,-19.5503,REV
ARB,M15,SHORT,2025-08-27 01:30,2025-08-28 22:00,0.5207,0.52,1000.0,1.3443,0.7135,0.6308,REV
ARB,M15,LONG,2025-08-28 22:00,2025-08-29 05:45,0.52,0.514,1000.0,-11.5385,0.7099,-12.2483,REV
ARB,M15,SHORT,2025-08-29 05:45,2025-08-30 07:45,0.514,0.5002,1000.0,26.8482,0.7044,26.1438,REV
ARB,M15,LONG,2025-08-30 07:45,2025-08-31 23:30,0.5002,0.4965,1000.0,-7.397,0.7114,-8.1084,REV
ARB,M15,SHORT,2025-08-31 23:30,2025-09-02 14:15,0.4965,0.4974,1000.0,-1.8127,0.7146,-2.5273,REV
ARB,M15,LONG,2025-09-02 14:15,2025-09-04 07:30,0.4974,0.4951,1000.0,-4.624,0.7123,-5.3364,REV
