symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
AVAX,H1,SHORT,2025-08-01 00:00,2025-08-04 21:00,22.266,22.825,1000.0,-25.1055,0.723,-25.8285,REV
AVAX,H1,LONG,2025-08-04 21:00,2025-08-11 23:00,22.825,22.775,1000.0,-2.1906,0.7132,-2.9038,REV
AVAX,H1,SHORT,2025-08-11 23:00,2025-08-13 06:00,22.775,24.589,1000.0,-79.6487,0.7424,-80.3912,REV
AVAX,H1,LONG,2025-08-13 06:00,2025-08-14 18:00,24.589,23.618,1000.0,-39.4892,0.6999,-40.1891,REV
AVAX,H1,SHORT,2025-08-14 18:00,2025-08-15 03:00,23.618,24.859,1000.0,-52.5447,0.7328,-53.2774,REV
AVAX,H1,LONG,2025-08-15 03:00,2025-08-16 08:00,24.859,23.976,1000.0,-35.5203,0.7013,-36.2217,REV
AVAX,H1,SHORT,2025-08-16 08:00,2025-08-22 17:00,23.976,24.987,1000.0,-42.1672,0.7291,-42.8962,REV
AVAX,H1,LONG,2025-08-22 17:00,2025-08-26 06:00,24.987,23.238,1000.0,-69.9964,0.689,-70.6854,REV
AVAX,H1,SHORT,2025-08-26 06:00,2025-08-29 00:00,23.238,24.879,1000.0,-70.6171,0.7392,-71.3563,REV
AVAX,H1,LONG,2025-08-29 00:00,2025-08-30 10:00,24.879,23.589,1000.0,-51.851,0.6955,-52.5464,REV
AVAX,H1,SHORT,2025-08-30 10:00,2025-09-02 07:00,23.589,23.896,1000.0,-13.0145,0.7186,-13.7332,REV
AVAX,H1,LONG,2025-09-02 07:00,2025-09-06 22:00,23.896,24.362,1000.0,19.5012,0.721,18.7802,REV
AVAX,H1,SHORT,2025-09-06 22:00,2025-09-08 08:00,24.362,25.094,1000.0,-30.0468,0.7247,-30.7715,REV
AVAX,H1,LONG,2025-09-08 08:00,2025-09-22 02:00,25.094,31.5,1000.0,255.2801,0.8051,254.475,REV
AVAX,H1,SHORT,2025-09-22 02:00,2025-09-23 07:00,31.5,34.957,1000.0,-109.746,0.7532,-110.4992,REV
AVAX,H1,LONG,2025-09-23 07:00,2025-09-25 03:00,34.957,31.825,1000.0,-89.5958,0.682,-90.2778,REV
AVAX,H1,SHORT,2025-09-25 03:00,2025-09-29 14:00,31.825,30.176,1000.0,51.8146,0.6955,51.1191,REV
AVAX,H1,LONG,2025-09-29 14:00,2025-10-05 01:00,30.176,29.91,1000.0,-8.815,0.7109,-9.5258,REV
AVAX,H1,SHORT,2025-10-05 01:00,2025-10-14 15:00,29.91,22.78,1000.0,238.3818,0.6289,237.7529,REV
AVAX,H1,LONG,2025-10-14 15:00,2025-10-16 18:00,22.78,21.073,1000.0,-74.9342,0.6872,-75.6214,REV
AVAX,H1,SHORT,2025-10-16 18:00,2025-10-20 23:00,21.073,20.332,1000.0,35.1635,0.7014,34.462,REV
AVAX,H1,LONG,2025-10-20 23:00,2025-10-22 20:00,20.332,18.922,1000.0,-69.3488,0.6892,-70.0381,REV
AVAX,H1,SHORT,2025-10-22 20:00,2025-10-26 11:00,18.922,20.356,1000.0,-75.7848,0.7411,-76.5259,REV
AVAX,H1,LONG,2025-10-26 11:00,2025-10-30 12:00,20.356,18.756,1000.0,-78.6009,0.6859,-79.2868,REV
AVAX,H1,SHORT,2025-10-30 12:00,2025-11-07 18:00,18.756,17.731,1000.0,54.6492,0.6945,53.9547,REV
AVAX,H1,LONG,2025-11-07 18:00,2025-11-11 18:00,17.731,17.404,1000.0,-18.4423,0.7074,-19.1497,REV
AVAX,H1,SHORT,2025-11-11 18:00,2025-11-24 21:00,17.404,13.903,1000.0,201.1607,0.6422,200.5185,REV
AVAX,H1,LONG,2025-11-24 21:00,2025-11-30 09:00,13.903,14.133,1000.0,16.5432,0.7199,15.8233,REV
AVAX,H1,SHORT,2025-11-30 09:00,2025-12-03 21:00,14.133,14.898,1000.0,-54.1286,0.7333,-54.862,REV
AVAX,H1,LONG,2025-12-03 21:00,2025-12-06 07:00,14.898,13.227,1000.0,-112.1627,0.674,-112.8367,REV
AVAX,H1,SHORT,2025-12-06 07:00,2025-12-09 09:00,13.227,13.575,1000.0,-26.3098,0.7234,-27.0332,REV
AVAX,H1,LONG,2025-12-09 09:00,2025-12-11 09:00,13.575,13.344,1000.0,-17.0166,0.7079,-17.7245,REV
AVAX,H1,SHORT,2025-12-11 09:00,2025-12-21 09:00,13.344,12.272,1000.0,80.3357,0.6853,79.6504,REV
AVAX,H1,LONG,2025-12-21 09:00,2025-12-23 16:00,12.272,12.037,1000.0,-19.1493,0.7072,-19.8564,REV
AVAX,H1,SHORT,2025-12-23 16:00,2025-12-25 18:00,12.037,12.475,1000.0,-36.3878,0.727,-37.1148,REV
