symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
BNB,H1,SHORT,2025-08-01 00:00,2025-08-06 07:00,789.07,763.49,1000.0,32.4179,0.7024,31.7155,REV
BNB,H1,LONG,2025-08-06 07:00,2025-08-16 22:00,763.49,836.99,1000.0,96.2685,0.7484,95.5201,REV
BNB,H1,SHORT,2025-08-16 22:00,2025-08-17 08:00,836.99,857.04,1000.0,-23.9549,0.7226,-24.6774,REV
BNB,H1,LONG,2025-08-17 08:00,2025-08-18 06:00,857.04,829.14,1000.0,-32.5539,0.7024,-33.2563,REV
BNB,H1,SHORT,2025-08-18 06:00,2025-08-19 03:00,829.14,842.37,1000.0,-15.9563,0.7197,-16.676,REV
BNB,H1,LONG,2025-08-19 03:00,2025-08-20 13:00,842.37,824.78,1000.0,-20.8816,0.7065,-21.5881,REV
BNB,H1,SHORT,2025-08-20 13:00,2025-08-20 20:00,824.78,873.4,1000.0,-58.9491,0.735,-59.6841,REV
BNB,H1,LONG,2025-08-20 20:00,2025-08-24 12:00,873.4,861.56,1000.0,-13.5562,0.7092,-14.2654,REV
BNB,H1,SHORT,2025-08-24 12:00,2025-08-24 21:00,861.56,876.41,1000.0,-17.2362,0.7202,-17.9563,REV
BNB,H1,LONG,2025-08-24 21:00,2025-08-25 23:00,876.41,839.63,1000.0,-41.9667,0.699,-42.6657,REV
BNB,H1,SHORT,2025-08-25 23:00,2025-08-28 22:00,839.63,877.51,1000.0,-45.1151,0.7301,-45.8452,REV
BNB,H1,LONG,2025-08-28 22:00,2025-09-01 02:00,877.51,856.47,1000.0,-23.9769,0.7054,-24.6824,REV
BNB,H1,SHORT,2025-09-01 02:00,2025-09-05 13:00,856.47,856.43,1000.0,0.0467,0.714,-0.6673,REV
BNB,H1,LONG,2025-09-05 13:00,2025-09-24 13:00,856.43,1009.79,1000.0,179.0689,0.7779,178.291,REV
BNB,H1,SHORT,2025-09-24 13:00,2025-09-29 05:00,1009.79,1011.08,1000.0,-1.2775,0.7145,-1.9919,REV
BNB,H1,LONG,2025-09-29 05:00,2025-10-10 20:00,1011.08,1199.37,1000.0,186.2266,0.7805,185.4461,REV
BNB,H1,SHORT,2025-10-10 20:00,2025-10-13 02:00,1199.37,1301.98,1000.0,-85.5532,0.7445,-86.2978,REV
BNB,H1,LONG,2025-10-13 02:00,2025-10-15 23:00,1301.98,1163.09,1000.0,-106.676,0.6759,-107.3519,REV
BNB,H1,SHORT,2025-10-15 23:00,2025-10-20 22:00,1163.09,1099.65,1000.0,54.5444,0.6945,53.8498,REV
BNB,H1,LONG,2025-10-20 22:00,2025-10-21 23:00,1099.65,1056.56,1000.0,-39.1852,0.7,-39.8852,REV
BNB,H1,SHORT,2025-10-21 23:00,2025-10-24 04:00,1056.56,1139.98,1000.0,-78.9543,0.7422,-79.6965,REV
BNB,H1,LONG,2025-10-24 04:00,2025-10-30 13:00,1139.98,1079.42,1000.0,-53.1237,0.695,-53.8188,REV
BNB,H1,SHORT,2025-10-30 13:00,2025-11-07 21:00,1079.42,994.91,1000.0,78.292,0.686,77.606,REV
