symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
BNB,M15,SHORT,2025-08-01 00:00,2025-08-03 13:30,781.75,750.42,1000.0,40.0768,0.6997,39.3771,REV
BNB,M15,LONG,2025-08-03 13:30,2025-08-05 13:45,750.42,757.42,1000.0,9.3281,0.7173,8.6108,REV
BNB,M15,SHORT,2025-08-05 13:45,2025-08-06 10:45,757.42,763.07,1000.0,-7.4595,0.7167,-8.1762,REV
BNB,M15,LONG,2025-08-06 10:45,2025-08-10 07:30,763.07,799.24,1000.0,47.4006,0.7309,46.6697,REV
BNB,M15,SHORT,2025-08-10 07:30,2025-08-11 02:45,799.24,825.88,1000.0,-33.3317,0.7259,-34.0576,REV
BNB,M15,LONG,2025-08-11 02:45,2025-08-11 12:15,825.88,798.08,1000.0,-33.6611,0.702,-34.363,REV
BNB,M15,SHORT,2025-08-11 12:15,2025-08-11 18:45,798.08,810.17,1000.0,-15.1489,0.7194,-15.8683,REV
BNB,M15,LONG,2025-08-11 18:45,2025-08-11 22:00,810.17,801.26,1000.0,-10.9977,0.7101,-11.7078,REV
BNB,M15,SHORT,2025-08-11 22:00,2025-08-12 12:45,801.26,814.39,1000.0,-16.3867,0.7199,-17.1065,REV
BNB,M15,LONG,2025-08-12 12:45,2025-08-14 13:30,814.39,837.96,1000.0,28.9419,0.7243,28.2176,REV
BNB,M15,SHORT,2025-08-14 13:30,2025-08-14 15:00,837.96,853.35,1000.0,-18.366,0.7206,-19.0866,REV
BNB,M15,LONG,2025-08-14 15:00,2025-08-14 17:15,853.35,842.09,1000.0,-13.1951,0.7093,-13.9043,REV
BNB,M15,SHORT,2025-08-14 17:15,2025-08-15 10:45,842.09,846.12,1000.0,-4.7857,0.7157,-5.5014,REV
BNB,M15,LONG,2025-08-15 10:45,2025-08-15 12:15,846.12,841.78,1000.0,-5.1293,0.7122,-5.8415,REV
BNB,M15,SHORT,2025-08-15 12:15,2025-08-16 13:00,841.78,831.99,1000.0,11.6301,0.7098,10.9203,REV
BNB,M15,LONG,2025-08-16 13:00,2025-08-18 02:30,831.99,842.64,1000.0,12.8006,0.7186,12.0821,REV
BNB,M15,SHORT,2025-08-18 02:30,2025-08-18 23:15,842.64,852.6,1000.0,-11.82,0.7182,-12.5382,REV
BNB,M15,LONG,2025-08-18 23:15,2025-08-19 14:45,852.6,830.94,1000.0,-25.4046,0.7049,-26.1096,REV
BNB,M15,SHORT,2025-08-19 14:45,2025-08-20 16:00,830.94,836.44,1000.0,-6.619,0.7164,-7.3354,REV
BNB,M15,LONG,2025-08-20 16:00,2025-08-21 16:15,836.44,843.34,1000.0,8.2492,0.7169,7.5323,REV
BNB,M15,SHORT,2025-08-21 16:15,2025-08-22 13:45,843.34,850.84,1000.0,-8.8932,0.7172,-9.6104,REV
BNB,M15,LONG,2025-08-22 13:45,2025-08-23 15:45,850.84,889.17,1000.0,45.0496,0.7301,44.3195,REV
BNB,M15,SHORT,2025-08-23 15:45,2025-08-25 05:45,889.17,874.83,1000.0,16.1274,0.7082,15.4192,REV
BNB,M15,LONG,2025-08-25 05:45,2025-08-25 10:45,874.83,852.32,1000.0,-25.7307,0.7048,-26.4355,REV
BNB,M15,SHORT,2025-08-25 10:45,2025-08-26 18:15,852.32,854.6,1000.0,-2.6751,0.715,-3.39,REV
BNB,M15,LONG,2025-08-26 18:15,2025-08-28 00:15,854.6,854.85,1000.0,0.2925,0.7141,-0.4216,REV
BNB,M15,SHORT,2025-08-28 00:15,2025-08-28 04:30,854.85,866.8,1000.0,-13.9791,0.719,-14.6981,REV
BNB,M15,LONG,2025-08-28 04:30,2025-08-29 07:30,866.8,859.23,1000.0,-8.7333,0.7109,-9.4442,REV
BNB,M15,SHORT,2025-08-29 07:30,2025-08-30 06:30,859.23,861.73,1000.0,-2.9096,0.715,-3.6246,REV
BNB,M15,LONG,2025-08-30 06:30,2025-08-30 13:15,861.73,853.31,1000.0,-9.771,0.7105,-10.4816,REV
BNB,M15,SHORT,2025-08-30 13:15,2025-08-30 23:15,853.31,864.35,1000.0,-12.9379,0.7186,-13.6565,REV
BNB,M15,LONG,2025-08-30 23:15,2025-08-31 23:45,864.35,858.08,1000.0,-7.254,0.7114,-7.9654,REV
BNB,M15,SHORT,2025-08-31 23:45,2025-09-01 08:00,858.08,865.61,1000.0,-8.7754,0.7171,-9.4925,REV
BNB,M15,LONG,2025-09-01 08:00,2025-09-01 10:30,865.61,853.79,1000.0,-13.6551,0.7091,-14.3642,REV
BNB,M15,SHORT,2025-09-01 10:30,2025-09-02 09:00,853.79,855.27,1000.0,-1.7334,0.7146,-2.4481,REV
BNB,M15,LONG,2025-09-02 09:00,2025-09-02 11:30,855.27,849.53,1000.0,-6.7113,0.7116,-7.4229,REV
