symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
DOT,H1,SHORT,2025-08-01 00:00,2025-08-04 22:00,3.67,3.732,1000.0,-16.8937,0.72,-17.6138,REV
DOT,H1,LONG,2025-08-04 22:00,2025-08-12 09:00,3.732,3.865,1000.0,35.6377,0.7267,34.911,REV
DOT,H1,SHORT,2025-08-12 09:00,2025-08-12 17:00,3.865,4.164,1000.0,-77.3609,0.7416,-78.1025,REV
DOT,H1,LONG,2025-08-12 17:00,2025-08-14 16:00,4.164,3.972,1000.0,-46.1095,0.6975,-46.807,REV
DOT,H1,SHORT,2025-08-14 16:00,2025-08-22 17:00,3.972,4.067,1000.0,-23.9174,0.7225,-24.64,REV
DOT,H1,LONG,2025-08-22 17:00,2025-08-25 22:00,4.067,3.741,1000.0,-80.1574,0.6854,-80.8427,REV
DOT,H1,SHORT,2025-08-25 22:00,2025-08-29 00:00,3.741,3.975,1000.0,-62.5501,0.7363,-63.2865,REV
DOT,H1,LONG,2025-08-29 00:00,2025-08-30 09:00,3.975,3.783,1000.0,-48.3019,0.6968,-48.9986,REV
DOT,H1,SHORT,2025-08-30 09:00,2025-09-03 02:00,3.783,3.83,1000.0,-12.424,0.7184,-13.1424,REV
DOT,H1,LONG,2025-09-03 02:00,2025-09-05 00:00,3.83,3.758,1000.0,-18.799,0.7073,-19.5062,REV
DOT,H1,SHORT,2025-09-05 00:00,2025-09-05 06:00,3.758,3.792,1000.0,-9.0474,0.7172,-9.7646,REV
DOT,H1,LONG,2025-09-05 06:00,2025-09-15 12:00,3.792,4.162,1000.0,97.5738,0.7488,96.825,REV
DOT,H1,SHORT,2025-09-15 12:00,2025-09-18 03:00,4.162,4.474,1000.0,-74.964,0.7408,-75.7047,REV
DOT,H1,LONG,2025-09-18 03:00,2025-09-21 14:00,4.474,4.299,1000.0,-39.1149,0.7,-39.8149,REV
DOT,H1,SHORT,2025-09-21 14:00,2025-09-29 01:00,4.299,3.965,1000.0,77.6925,0.6863,77.0062,REV
DOT,H1,LONG,2025-09-29 01:00,2025-10-05 22:00,3.965,4.137,1000.0,43.3796,0.7295,42.6501,REV
DOT,H1,SHORT,2025-10-05 22:00,2025-10-06 16:00,4.137,4.368,1000.0,-55.8376,0.7339,-56.5715,REV
DOT,H1,LONG,2025-10-06 16:00,2025-10-07 17:00,4.368,4.152,1000.0,-49.4505,0.6963,-50.1469,REV
DOT,H1,SHORT,2025-10-07 17:00,2025-10-14 15:00,4.152,3.235,1000.0,220.8574,0.6352,220.2223,REV
DOT,H1,LONG,2025-10-14 15:00,2025-10-16 18:00,3.235,3.062,1000.0,-53.4776,0.6949,-54.1725,REV
DOT,H1,SHORT,2025-10-16 18:00,2025-10-20 21:00,3.062,3.08,1000.0,-5.8785,0.7161,-6.5946,REV
DOT,H1,LONG,2025-10-20 21:00,2025-10-30 11:00,3.08,2.992,1000.0,-28.5714,0.7038,-29.2752,REV
DOT,H1,SHORT,2025-10-30 11:00,2025-11-07 05:00,2.992,2.826,1000.0,55.4813,0.6942,54.7871,REV
