symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ENA,H1,SHORT,2025-08-01 00:00,2025-08-04 10:00,0.5928,0.6138,1000.0,-35.4251,0.7266,-36.1517,REV
ENA,H1,LONG,2025-08-04 10:00,2025-08-14 07:00,0.6138,0.735,1000.0,197.4585,0.7845,196.674,REV
ENA,H1,SHORT,2025-08-14 07:00,2025-08-22 17:00,0.735,0.7348,1000.0,0.2721,0.7139,-0.4418,REV
ENA,H1,LONG,2025-08-22 17:00,2025-08-25 22:00,0.7348,0.6204,1000.0,-155.6886,0.6584,-156.347,REV
ENA,H1,SHORT,2025-08-25 22:00,2025-08-29 00:00,0.6204,0.6707,1000.0,-81.0767,0.7429,-81.8197,REV
ENA,H1,LONG,2025-08-29 00:00,2025-09-01 04:00,0.6707,0.6318,1000.0,-57.9991,0.6933,-58.6924,REV
ENA,H1,SHORT,2025-09-01 04:00,2025-09-02 05:00,0.6318,0.6798,1000.0,-75.9734,0.7411,-76.7145,REV
ENA,H1,LONG,2025-09-02 05:00,2025-09-12 13:00,0.6798,0.7525,1000.0,106.9432,0.7522,106.191,REV
ENA,H1,SHORT,2025-09-12 13:00,2025-09-28 23:00,0.7525,0.5995,1000.0,203.3223,0.6414,202.6808,REV
ENA,H1,LONG,2025-09-28 23:00,2025-09-30 04:00,0.5995,0.5564,1000.0,-71.8932,0.6883,-72.5816,REV
ENA,H1,SHORT,2025-09-30 04:00,2025-10-01 12:00,0.5564,0.5818,1000.0,-45.6506,0.7303,-46.3809,REV
ENA,H1,LONG,2025-10-01 12:00,2025-10-05 21:00,0.5818,0.5835,1000.0,2.922,0.715,2.2069,REV
ENA,H1,SHORT,2025-10-05 21:00,2025-10-15 02:00,0.5835,0.4408,1000.0,244.5587,0.6267,243.932,REV
ENA,H1,LONG,2025-10-15 02:00,2025-10-16 22:00,0.4408,0.4,1000.0,-92.559,0.681,-93.2399,REV
ENA,H1,SHORT,2025-10-16 22:00,2025-10-18 14:00,0.4,0.4652,1000.0,-163.0,0.7722,-163.7722,REV
ENA,H1,LONG,2025-10-18 14:00,2025-10-22 18:00,0.4652,0.4317,1000.0,-72.012,0.6883,-72.7003,REV
ENA,H1,SHORT,2025-10-22 18:00,2025-10-24 12:00,0.4317,0.4828,1000.0,-118.3692,0.7563,-119.1255,REV
ENA,H1,LONG,2025-10-24 12:00,2025-10-29 23:00,0.4828,0.4426,1000.0,-83.2643,0.6843,-83.9486,REV
ENA,H1,SHORT,2025-10-29 23:00,2025-11-07 21:00,0.4426,0.3427,1000.0,225.7117,0.6334,225.0783,REV
ENA,H1,LONG,2025-11-07 21:00,2025-11-09 05:00,0.3427,0.3135,1000.0,-85.2057,0.6836,-85.8893,REV
ENA,H1,SHORT,2025-11-09 05:00,2025-11-10 01:00,0.3135,0.3406,1000.0,-86.4434,0.7449,-87.1882,REV
ENA,H1,LONG,2025-11-10 01:00,2025-11-13 13:00,0.3406,0.311,1000.0,-86.9055,0.683,-87.5884,REV
ENA,H1,SHORT,2025-11-13 13:00,2025-11-20 08:00,0.311,0.273,1000.0,122.1865,0.6704,121.5161,REV
ENA,H1,LONG,2025-11-20 08:00,2025-11-20 18:00,0.273,0.2503,1000.0,-83.1502,0.6843,-83.8345,REV
ENA,H1,SHORT,2025-11-20 18:00,2025-11-24 20:00,0.2503,0.2606,1000.0,-41.1506,0.7287,-41.8793,REV
ENA,H1,LONG,2025-11-24 20:00,2025-11-29 17:00,0.2606,0.2807,1000.0,77.1297,0.7415,76.3882,REV
ENA,H1,SHORT,2025-11-29 17:00,2025-11-30 04:00,0.2807,0.294,1000.0,-47.3815,0.7309,-48.1125,REV
