symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ENA,M15,SHORT,2025-08-01 00:00,2025-08-01 19:15,0.5618,0.5972,1000.0,-63.0117,0.7365,-63.7482,REV
ENA,M15,LONG,2025-08-01 19:15,2025-08-01 22:45,0.5972,0.5704,1000.0,-44.8761,0.698,-45.5741,REV
ENA,M15,SHORT,2025-08-01 22:45,2025-08-03 08:15,0.5704,0.5592,1000.0,19.6353,0.707,18.9284,REV
ENA,M15,LONG,2025-08-03 08:15,2025-08-05 00:30,0.5592,0.6063,1000.0,84.2275,0.7441,83.4834,REV
ENA,M15,SHORT,2025-08-05 00:30,2025-08-06 15:45,0.6063,0.593,1000.0,21.9363,0.7062,21.2302,REV
ENA,M15,LONG,2025-08-06 15:45,2025-08-08 07:30,0.593,0.6213,1000.0,47.7234,0.731,46.9924,REV
ENA,M15,SHORT,2025-08-08 07:30,2025-08-08 14:00,0.6213,0.6373,1000.0,-25.7525,0.7232,-26.4756,REV
ENA,M15,LONG,2025-08-08 14:00,2025-08-11 21:45,0.6373,0.784,1000.0,230.1899,0.7962,229.3937,REV
ENA,M15,SHORT,2025-08-11 21:45,2025-08-12 16:00,0.784,0.8149,1000.0,-39.4133,0.7281,-40.1413,REV
ENA,M15,LONG,2025-08-12 16:00,2025-08-12 22:30,0.8149,0.797,1000.0,-21.9659,0.7062,-22.672,REV
ENA,M15,SHORT,2025-08-12 22:30,2025-08-15 06:45,0.797,0.7429,1000.0,67.8795,0.6898,67.1898,REV
ENA,M15,LONG,2025-08-15 06:45,2025-08-15 12:00,0.7429,0.7217,1000.0,-28.5368,0.7038,-29.2406,REV
ENA,M15,SHORT,2025-08-15 12:00,2025-08-16 15:00,0.7217,0.7192,1000.0,3.464,0.7128,2.7513,REV
ENA,M15,LONG,2025-08-16 15:00,2025-08-17 17:30,0.7192,0.7136,1000.0,-7.7864,0.7112,-8.4976,REV
ENA,M15,SHORT,2025-08-17 17:30,2025-08-20 15:15,0.7136,0.6567,1000.0,79.7365,0.6855,79.051,REV
ENA,M15,LONG,2025-08-20 15:15,2025-08-21 06:00,0.6567,0.6419,1000.0,-22.5369,0.706,-23.2429,REV
ENA,M15,SHORT,2025-08-21 06:00,2025-08-22 04:30,0.6419,0.6486,1000.0,-10.4378,0.7177,-11.1555,REV
ENA,M15,LONG,2025-08-22 04:30,2025-08-23 21:45,0.6486,0.7367,1000.0,135.831,0.7625,135.0685,REV
ENA,M15,SHORT,2025-08-23 21:45,2025-08-26 20:15,0.7367,0.6415,1000.0,129.2249,0.6679,128.5571,REV
ENA,M15,LONG,2025-08-26 20:15,2025-08-27 01:45,0.6415,0.6187,1000.0,-35.5417,0.7013,-36.243,REV
ENA,M15,SHORT,2025-08-27 01:45,2025-08-28 05:00,0.6187,0.6338,1000.0,-24.406,0.7227,-25.1287,REV
ENA,M15,LONG,2025-08-28 05:00,2025-08-29 10:00,0.6338,0.6515,1000.0,27.9268,0.724,27.2028,REV
ENA,M15,SHORT,2025-08-29 10:00,2025-08-30 05:30,0.6515,0.6587,1000.0,-11.0514,0.7179,-11.7694,REV
ENA,M15,LONG,2025-08-30 05:30,2025-08-31 23:15,0.6587,0.6486,1000.0,-15.3332,0.7085,-16.0418,REV
ENA,M15,SHORT,2025-08-31 23:15,2025-09-02 01:45,0.6486,0.6463,1000.0,3.5461,0.7127,2.8334,REV
ENA,M15,LONG,2025-09-02 01:45,2025-09-04 08:00,0.6463,0.7105,1000.0,99.3347,0.7495,98.5852,REV
ENA,M15,SHORT,2025-09-04 08:00,2025-09-05 13:30,0.7105,0.6843,1000.0,36.8754,0.7008,36.1746,REV
ENA,M15,LONG,2025-09-05 13:30,2025-09-06 22:00,0.6843,0.7318,1000.0,69.414,0.7388,68.6752,REV
ENA,M15,SHORT,2025-09-06 22:00,2025-09-07 03:15,0.7318,0.75,1000.0,-24.8702,0.7229,-25.5931,REV
ENA,M15,LONG,2025-09-07 03:15,2025-09-07 08:00,0.75,0.7327,1000.0,-23.0667,0.7058,-23.7724,REV
ENA,M15,SHORT,2025-09-07 08:00,2025-09-07 16:45,0.7327,0.7436,1000.0,-14.8765,0.7193,-15.5958,REV
ENA,M15,LONG,2025-09-07 16:45,2025-09-10 04:45,0.7436,0.8031,1000.0,80.0161,0.7426,79.2736,REV
ENA,M15,SHORT,2025-09-10 04:45,2025-09-10 12:30,0.8031,0.8166,1000.0,-16.8099,0.72,-17.5299,REV
ENA,M15,LONG,2025-09-10 12:30,2025-09-10 15:45,0.8166,0.7943,1000.0,-27.3084,0.7043,-28.0126,REV
ENA,M15,SHORT,2025-09-10 15:45,2025-09-13 09:30,0.7943,0.7727,1000.0,27.1938,0.7043,26.4895,REV
ENA,M15,LONG,2025-09-13 09:30,2025-09-13 16:00,0.7727,0.7578,1000.0,-19.283,0.7071,-19.9901,REV
ENA,M15,SHORT,2025-09-13 16:00,2025-09-15 01:15,0.7578,0.7533,1000.0,5.9382,0.7119,5.2264,REV
ENA,M15,LONG,2025-09-15 01:15,2025-09-15 10:30,0.7533,0.7325,1000.0,-27.6118,0.7041,-28.316,REV
ENA,M15,SHORT,2025-09-15 10:30,2025-09-17 21:30,0.7325,0.7096,1000.0,31.2628,0.7028,30.56,REV
ENA,M15,LONG,2025-09-17 21:30,2025-09-18 19:15,0.7096,0.695,1000.0,-20.575,0.7067,-21.2816,REV
ENA,M15,SHORT,2025-09-18 19:15,2025-09-20 08:15,0.695,0.6722,1000.0,32.8058,0.7023,32.1035,REV
ENA,M15,LONG,2025-09-20 08:15,2025-09-20 11:15,0.6722,0.6629,1000.0,-13.8352,0.7091,-14.5442,REV
ENA,M15,SHORT,2025-09-20 11:15,2025-09-21 01:00,0.6629,0.6759,1000.0,-19.6108,0.721,-20.3318,REV
ENA,M15,LONG,2025-09-21 01:00,2025-09-21 09:45,0.6759,0.6553,1000.0,-30.4779,0.7031,-31.181,REV
ENA,M15,SHORT,2025-09-21 09:45,2025-09-23 07:45,0.6553,0.6071,1000.0,73.5541,0.6877,72.8664,REV
ENA,M15,LONG,2025-09-23 07:45,2025-09-24 05:00,0.6071,0.5967,1000.0,-17.1306,0.7079,-17.8385,REV
ENA,M15,SHORT,2025-09-24 05:00,2025-09-26 09:00,0.5967,0.5813,1000.0,25.8086,0.7048,25.1038,REV
ENA,M15,LONG,2025-09-26 09:00,2025-09-26 12:00,0.5813,0.563,1000.0,-31.4812,0.7028,-32.1839,REV
