symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ETH,H1,SHORT,2025-08-01 00:00,2025-08-04 23:00,3680.01,3719.42,1000.0,-10.7092,0.7178,-11.427,REV
ETH,H1,LONG,2025-08-04 23:00,2025-08-16 09:00,3719.42,4395.41,1000.0,181.7461,0.7789,180.9672,REV
ETH,H1,SHORT,2025-08-16 09:00,2025-08-22 15:00,4395.41,4613.93,1000.0,-49.7155,0.7317,-50.4472,REV
ETH,H1,LONG,2025-08-22 15:00,2025-08-26 05:00,4613.93,4428.18,1000.0,-40.2585,0.6996,-40.9581,REV
ETH,H1,SHORT,2025-08-26 05:00,2025-09-02 06:00,4428.18,4410.38,1000.0,4.0197,0.7126,3.3071,REV
ETH,H1,LONG,2025-09-02 06:00,2025-09-02 20:00,4410.38,4311.05,1000.0,-22.5219,0.706,-23.2278,REV
ETH,H1,SHORT,2025-09-02 20:00,2025-09-05 10:00,4311.05,4408.31,1000.0,-22.5606,0.7221,-23.2827,REV
ETH,H1,LONG,2025-09-05 10:00,2025-09-05 18:00,4408.31,4310.39,1000.0,-22.2126,0.7061,-22.9187,REV
ETH,H1,SHORT,2025-09-05 18:00,2025-09-10 12:00,4310.39,4369.27,1000.0,-13.66,0.7189,-14.3789,REV
ETH,H1,LONG,2025-09-10 12:00,2025-09-16 06:00,4369.27,4506.57,1000.0,31.424,0.7252,30.6988,REV
ETH,H1,SHORT,2025-09-16 06:00,2025-09-19 00:00,4506.57,4607.48,1000.0,-22.3918,0.722,-23.1137,REV
ETH,H1,LONG,2025-09-19 00:00,2025-09-19 18:00,4607.48,4446.67,1000.0,-34.9019,0.7015,-35.6035,REV
ETH,H1,SHORT,2025-09-19 18:00,2025-09-28 22:00,4446.67,4130.47,1000.0,71.1094,0.6886,70.4208,REV
ETH,H1,LONG,2025-09-28 22:00,2025-10-08 18:00,4130.47,4521.42,1000.0,94.6502,0.7478,93.9025,REV
ETH,H1,SHORT,2025-10-08 18:00,2025-10-14 15:00,4521.42,4083.25,1000.0,96.9098,0.6794,96.2304,REV
ETH,H1,LONG,2025-10-14 15:00,2025-10-16 08:00,4083.25,3992.62,1000.0,-22.1956,0.7061,-22.9016,REV
ETH,H1,SHORT,2025-10-16 08:00,2025-10-20 07:00,3992.62,4053.36,1000.0,-15.2131,0.7194,-15.9325,REV
ETH,H1,LONG,2025-10-20 07:00,2025-10-22 21:00,4053.36,3742.54,1000.0,-76.6821,0.6866,-77.3687,REV
ETH,H1,SHORT,2025-10-22 21:00,2025-10-25 22:00,3742.54,3959.7,1000.0,-58.0248,0.7347,-58.7595,REV
ETH,H1,LONG,2025-10-25 22:00,2025-10-30 02:00,3959.7,3943.95,1000.0,-3.9776,0.7126,-4.6902,REV
ETH,H1,SHORT,2025-10-30 02:00,2025-11-08 08:00,3943.95,3453.28,1000.0,124.4108,0.6696,123.7412,REV
ETH,H1,LONG,2025-11-08 08:00,2025-11-13 12:00,3453.28,3499.65,1000.0,13.4278,0.7188,12.709,REV
ETH,H1,SHORT,2025-11-13 12:00,2025-11-24 18:00,3499.65,2955.68,1000.0,155.4355,0.6585,154.777,REV
ETH,H1,LONG,2025-11-24 18:00,2025-12-01 00:00,2955.68,2834.82,1000.0,-40.8908,0.6994,-41.5902,REV
ETH,H1,SHORT,2025-12-01 00:00,2025-12-03 06:00,2834.82,3065.36,1000.0,-81.3244,0.743,-82.0674,REV
ETH,H1,LONG,2025-12-03 06:00,2025-12-07 07:00,3065.36,3035.91,1000.0,-9.6074,0.7106,-10.3179,REV
ETH,H1,SHORT,2025-12-07 07:00,2025-12-09 07:00,3035.91,3121.57,1000.0,-28.2156,0.7241,-28.9397,REV
ETH,H1,LONG,2025-12-09 07:00,2025-12-12 20:00,3121.57,3079.96,1000.0,-13.3298,0.7092,-14.0391,REV
ETH,H1,SHORT,2025-12-12 20:00,2025-12-19 21:00,3079.96,2976.4,1000.0,33.6238,0.702,32.9218,REV
