symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
ETH,M15,SHORT,2025-08-01 00:00,2025-08-03 13:30,3656.88,3487.69,1000.0,46.2662,0.6975,45.5687,REV
ETH,M15,LONG,2025-08-03 13:30,2025-08-05 13:45,3487.69,3645.29,1000.0,45.1875,0.7301,44.4574,REV
ETH,M15,SHORT,2025-08-05 13:45,2025-08-06 12:15,3645.29,3595.37,1000.0,13.6944,0.7091,12.9853,REV
ETH,M15,LONG,2025-08-06 12:15,2025-08-10 17:45,3595.37,4222.9,1000.0,174.5384,0.7763,173.7621,REV
ETH,M15,SHORT,2025-08-10 17:45,2025-08-11 01:15,4222.9,4290.66,1000.0,-16.0458,0.7197,-16.7656,REV
ETH,M15,LONG,2025-08-11 01:15,2025-08-11 12:30,4290.66,4172.16,1000.0,-27.6181,0.7041,-28.3223,REV
ETH,M15,SHORT,2025-08-11 12:30,2025-08-11 14:30,4172.16,4282.29,1000.0,-26.3964,0.7234,-27.1198,REV
ETH,M15,LONG,2025-08-11 14:30,2025-08-11 22:00,4282.29,4203.19,1000.0,-18.4714,0.7074,-19.1788,REV
ETH,M15,SHORT,2025-08-11 22:00,2025-08-12 07:30,4203.19,4315.63,1000.0,-26.7511,0.7236,-27.4747,REV
ETH,M15,LONG,2025-08-12 07:30,2025-08-14 13:15,4315.63,4534.2,1000.0,50.6461,0.7321,49.9141,REV
ETH,M15,SHORT,2025-08-14 13:15,2025-08-15 10:45,4534.2,4634.77,1000.0,-22.1803,0.7219,-22.9022,REV
ETH,M15,LONG,2025-08-15 10:45,2025-08-15 15:15,4634.77,4433.69,1000.0,-43.3851,0.6985,-44.0836,REV
ETH,M15,SHORT,2025-08-15 15:15,2025-08-17 07:30,4433.69,4467.24,1000.0,-7.5671,0.7167,-8.2838,REV
ETH,M15,LONG,2025-08-17 07:30,2025-08-18 02:00,4467.24,4374.91,1000.0,-20.6682,0.7066,-21.3749,REV
ETH,M15,SHORT,2025-08-18 02:00,2025-08-20 15:15,4374.91,4296.53,1000.0,17.9158,0.7076,17.2082,REV
ETH,M15,LONG,2025-08-20 15:15,2025-08-21 15:00,4296.53,4233.42,1000.0,-14.6886,0.7088,-15.3974,REV
ETH,M15,SHORT,2025-08-21 15:00,2025-08-22 07:15,4233.42,4336.43,1000.0,-24.3326,0.7227,-25.0553,REV
ETH,M15,LONG,2025-08-22 07:15,2025-08-23 14:45,4336.43,4724.75,1000.0,89.5483,0.746,88.8023,REV
ETH,M15,SHORT,2025-08-23 14:45,2025-08-24 00:30,4724.75,4811.25,1000.0,-18.3078,0.7205,-19.0284,REV
ETH,M15,LONG,2025-08-24 00:30,2025-08-25 01:30,4811.25,4714.0,1000.0,-20.213,0.7068,-20.9198,REV
ETH,M15,SHORT,2025-08-25 01:30,2025-08-26 17:30,4714.0,4514.52,1000.0,42.3165,0.6989,41.6176,REV
ETH,M15,LONG,2025-08-26 17:30,2025-08-28 00:30,4514.52,4492.75,1000.0,-4.8222,0.7123,-5.5345,REV
ETH,M15,SHORT,2025-08-28 00:30,2025-08-30 06:30,4492.75,4394.0,1000.0,21.9799,0.7062,21.2737,REV
ETH,M15,LONG,2025-08-30 06:30,2025-08-31 23:30,4394.0,4384.88,1000.0,-2.0756,0.7133,-2.7888,REV
ETH,M15,SHORT,2025-08-31 23:30,2025-09-03 10:15,4384.88,4366.91,1000.0,4.0982,0.7125,3.3856,REV
ETH,M15,LONG,2025-09-03 10:15,2025-09-04 11:45,4366.91,4404.4,1000.0,8.585,0.7171,7.868,REV
ETH,M15,SHORT,2025-09-04 11:45,2025-09-05 11:15,4404.4,4417.09,1000.0,-2.8812,0.715,-3.5962,REV
ETH,M15,LONG,2025-09-05 11:15,2025-09-06 03:00,4417.09,4316.1,1000.0,-22.8635,0.7058,-23.5693,REV
ETH,M15,SHORT,2025-09-06 03:00,2025-09-07 13:00,4316.1,4294.46,1000.0,5.0138,0.7122,4.3016,REV
ETH,M15,LONG,2025-09-07 13:00,2025-09-08 20:30,4294.46,4286.03,1000.0,-1.963,0.7133,-2.6763,REV
ETH,M15,SHORT,2025-09-08 20:30,2025-09-08 23:00,4286.03,4312.6,1000.0,-6.1992,0.7162,-6.9154,REV
ETH,M15,LONG,2025-09-08 23:00,2025-09-09 15:00,4312.6,4289.78,1000.0,-5.2915,0.7121,-6.0036,REV
ETH,M15,SHORT,2025-09-09 15:00,2025-09-09 23:00,4289.78,4310.75,1000.0,-4.8884,0.7157,-5.6041,REV
ETH,M15,LONG,2025-09-09 23:00,2025-09-10 04:30,4310.75,4308.93,1000.0,-0.4222,0.7138,-1.136,REV
ETH,M15,SHORT,2025-09-10 04:30,2025-09-10 12:15,4308.93,4343.22,1000.0,-7.9579,0.7168,-8.6747,REV
ETH,M15,LONG,2025-09-10 12:15,2025-09-13 17:45,4343.22,4631.48,1000.0,66.3701,0.7377,65.6324,REV
ETH,M15,SHORT,2025-09-13 17:45,2025-09-17 07:00,4631.48,4544.75,1000.0,18.7262,0.7073,18.0189,REV
ETH,M15,LONG,2025-09-17 07:00,2025-09-17 18:30,4544.75,4440.19,1000.0,-23.0068,0.7058,-23.7126,REV
ETH,M15,SHORT,2025-09-17 18:30,2025-09-17 22:15,4440.19,4561.4,1000.0,-27.2984,0.7237,-28.0221,REV
ETH,M15,LONG,2025-09-17 22:15,2025-09-18 23:00,4561.4,4580.37,1000.0,4.1588,0.7155,3.4433,REV
ETH,M15,SHORT,2025-09-18 23:00,2025-09-20 15:15,4580.37,4501.67,1000.0,17.182,0.7079,16.4742,REV
ETH,M15,LONG,2025-09-20 15:15,2025-09-21 12:30,4501.67,4463.0,1000.0,-8.5901,0.7109,-9.3011,REV
ETH,M15,SHORT,2025-09-21 12:30,2025-09-23 07:15,4463.0,4199.95,1000.0,58.9402,0.693,58.2472,REV
ETH,M15,LONG,2025-09-23 07:15,2025-09-23 20:15,4199.95,4149.61,1000.0,-11.9859,0.7097,-12.6956,REV
ETH,M15,SHORT,2025-09-23 20:15,2025-09-24 15:30,4149.61,4189.3,1000.0,-9.5648,0.7174,-10.2822,REV
ETH,M15,LONG,2025-09-24 15:30,2025-09-25 02:15,4189.3,4080.38,1000.0,-25.9996,0.7047,-26.7043,REV
ETH,M15,SHORT,2025-09-25 02:15,2025-09-26 14:45,4080.38,3929.64,1000.0,36.9426,0.7008,36.2418,REV
ETH,M15,LONG,2025-09-26 14:45,2025-09-27 16:00,3929.64,4010.05,1000.0,20.4624,0.7213,19.7411,REV
ETH,M15,SHORT,2025-09-27 16:00,2025-09-28 16:15,4010.05,4029.1,1000.0,-4.7506,0.7157,-5.4663,REV
ETH,M15,LONG,2025-09-28 16:15,2025-09-30 15:45,4029.1,4118.09,1000.0,22.0868,0.7219,21.3649,REV
ETH,M15,SHORT,2025-09-30 15:45,2025-10-01 08:30,4118.09,4270.65,1000.0,-37.0463,0.7272,-37.7735,REV
ETH,M15,LONG,2025-10-01 08:30,2025-10-04 14:30,4270.65,4496.06,1000.0,52.7812,0.7328,52.0483,REV
ETH,M15,SHORT,2025-10-04 14:30,2025-10-05 03:15,4496.06,4544.36,1000.0,-10.7427,0.7178,-11.4606,REV
ETH,M15,LONG,2025-10-05 03:15,2025-10-06 00:45,4544.36,4497.8,1000.0,-10.2457,0.7103,-10.956,REV
ETH,M15,SHORT,2025-10-06 00:45,2025-10-06 10:00,4497.8,4562.88,1000.0,-14.4693,0.7192,-15.1885,REV
ETH,M15,LONG,2025-10-06 10:00,2025-10-07 14:30,4562.88,4621.4,1000.0,12.8252,0.7186,12.1067,REV
ETH,M15,SHORT,2025-10-07 14:30,2025-10-08 17:45,4621.4,4536.99,1000.0,18.265,0.7075,17.5575,REV
ETH,M15,LONG,2025-10-08 17:45,2025-10-09 06:00,4536.99,4436.0,1000.0,-22.2593,0.7061,-22.9653,REV
ETH,M15,SHORT,2025-10-09 06:00,2025-10-10 13:15,4436.0,4362.98,1000.0,16.4608,0.7081,15.7527,REV
ETH,M15,LONG,2025-10-10 13:15,2025-10-10 15:15,4362.98,4159.35,1000.0,-46.6722,0.6973,-47.3696,REV
ETH,M15,SHORT,2025-10-10 15:15,2025-10-12 15:00,4159.35,4030.0,1000.0,31.0986,0.7029,30.3957,REV
ETH,M15,LONG,2025-10-12 15:00,2025-10-14 05:15,4030.0,4099.14,1000.0,17.1563,0.7201,16.4362,REV
ETH,M15,SHORT,2025-10-14 05:15,2025-10-15 04:15,4099.14,4100.33,1000.0,-0.2903,0.7141,-1.0044,REV
ETH,M15,LONG,2025-10-15 04:15,2025-10-15 14:45,4100.33,4007.86,1000.0,-22.5518,0.7059,-23.2578,REV
ETH,M15,SHORT,2025-10-15 14:45,2025-10-16 13:15,4007.86,4043.8,1000.0,-8.9674,0.7172,-9.6846,REV
ETH,M15,LONG,2025-10-16 13:15,2025-10-16 16:15,4043.8,3877.2,1000.0,-41.1989,0.6993,-41.8982,REV
ETH,M15,SHORT,2025-10-16 16:15,2025-10-18 04:30,3877.2,3842.34,1000.0,8.991,0.7108,8.2802,REV
ETH,M15,LONG,2025-10-18 04:30,2025-10-20 17:00,3842.34,3940.44,1000.0,25.5313,0.7231,24.8082,REV
ETH,M15,SHORT,2025-10-20 17:00,2025-10-21 15:15,3940.44,4053.0,1000.0,-28.5653,0.7242,-29.2895,REV
ETH,M15,LONG,2025-10-21 15:15,2025-10-21 22:15,4053.0,3910.38,1000.0,-35.1887,0.7014,-35.8902,REV
ETH,M15,SHORT,2025-10-21 22:15,2025-10-23 07:00,3910.38,3877.78,1000.0,8.3368,0.711,7.6258,REV
ETH,M15,LONG,2025-10-23 07:00,2025-10-25 02:30,3877.78,3927.91,1000.0,12.9275,0.7186,12.2089,REV
ETH,M15,SHORT,2025-10-25 02:30,2025-10-25 12:15,3927.91,3951.42,1000.0,-5.9854,0.7161,-6.7015,REV
ETH,M15,LONG,2025-10-25 12:15,2025-10-27 21:15,3951.42,4106.99,1000.0,39.3707,0.7281,38.6426,REV
ETH,M15,SHORT,2025-10-27 21:15,2025-10-31 10:45,4106.99,3834.0,1000.0,66.4696,0.6903,65.7793,REV
ETH,M15,LONG,2025-10-31 10:45,2025-11-02 14:00,3834.0,3858.24,1000.0,6.3224,0.7163,5.6061,REV
