symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
INJ,H1,SHORT,2025-08-01 00:00,2025-08-04 18:00,13.052,13.383,1000.0,-25.3601,0.7231,-26.0832,REV
INJ,H1,LONG,2025-08-04 18:00,2025-08-11 22:00,13.383,13.592,1000.0,15.6168,0.7196,14.8973,REV
INJ,H1,SHORT,2025-08-11 22:00,2025-08-13 05:00,13.592,14.809,1000.0,-89.538,0.746,-90.2839,REV
INJ,H1,LONG,2025-08-13 05:00,2025-08-16 09:00,14.809,14.204,1000.0,-40.8535,0.6994,-41.553,REV
INJ,H1,SHORT,2025-08-16 09:00,2025-08-22 18:00,14.204,14.849,1000.0,-45.4097,0.7302,-46.14,REV
INJ,H1,LONG,2025-08-22 18:00,2025-08-25 21:00,14.849,12.753,1000.0,-141.1543,0.6636,-141.8179,REV
INJ,H1,SHORT,2025-08-25 21:00,2025-08-28 22:00,12.753,14.123,1000.0,-107.4257,0.7524,-108.1781,REV
INJ,H1,LONG,2025-08-28 22:00,2025-08-30 03:00,14.123,13.032,1000.0,-77.2499,0.6864,-77.9363,REV
INJ,H1,SHORT,2025-08-30 03:00,2025-09-03 11:00,13.032,13.191,1000.0,-12.2007,0.7184,-12.9191,REV
INJ,H1,LONG,2025-09-03 11:00,2025-09-04 21:00,13.191,12.559,1000.0,-47.9115,0.6969,-48.6084,REV
INJ,H1,SHORT,2025-09-04 21:00,2025-09-05 11:00,12.559,12.858,1000.0,-23.8076,0.7225,-24.5301,REV
INJ,H1,LONG,2025-09-05 11:00,2025-09-06 23:00,12.858,12.911,1000.0,4.1219,0.7155,3.4065,REV
INJ,H1,SHORT,2025-09-06 23:00,2025-09-08 02:00,12.911,13.16,1000.0,-19.2859,0.7209,-20.0068,REV
INJ,H1,LONG,2025-09-08 02:00,2025-09-15 09:00,13.16,13.633,1000.0,35.9422,0.7268,35.2154,REV
INJ,H1,SHORT,2025-09-15 09:00,2025-09-18 01:00,13.633,14.447,1000.0,-59.7081,0.7353,-60.4434,REV
INJ,H1,LONG,2025-09-18 01:00,2025-09-21 10:00,14.447,13.65,1000.0,-55.1672,0.6943,-55.8615,REV
INJ,H1,SHORT,2025-09-21 10:00,2025-09-29 06:00,13.65,11.937,1000.0,125.4945,0.6692,124.8253,REV
INJ,H1,LONG,2025-09-29 06:00,2025-10-07 09:00,11.937,12.807,1000.0,72.8826,0.74,72.1426,REV
INJ,H1,SHORT,2025-10-07 09:00,2025-10-14 14:00,12.807,9.292,1000.0,274.4593,0.616,273.8433,REV
INJ,H1,LONG,2025-10-14 14:00,2025-10-16 08:00,9.292,9.046,1000.0,-26.4744,0.7045,-27.1789,REV
