symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
LINK,H1,SHORT,2025-08-01 00:00,2025-08-04 21:00,16.811,17.076,1000.0,-15.7635,0.7196,-16.4831,REV
LINK,H1,LONG,2025-08-04 21:00,2025-08-16 04:00,17.076,21.85,1000.0,279.5737,0.8138,278.7599,REV
LINK,H1,SHORT,2025-08-16 04:00,2025-08-17 08:00,21.85,24.656,1000.0,-128.4211,0.7598,-129.1809,REV
LINK,H1,LONG,2025-08-17 08:00,2025-08-22 10:00,24.656,24.663,1000.0,0.2839,0.7141,-0.4302,REV
LINK,H1,SHORT,2025-08-22 10:00,2025-08-22 16:00,24.663,27.403,1000.0,-111.0976,0.7537,-111.8513,REV
LINK,H1,LONG,2025-08-22 16:00,2025-08-24 11:00,27.403,25.473,1000.0,-70.4302,0.6889,-71.1191,REV
LINK,H1,SHORT,2025-08-24 11:00,2025-09-08 12:00,25.473,23.117,1000.0,92.4901,0.681,91.8091,REV
LINK,H1,LONG,2025-09-08 12:00,2025-09-15 11:00,23.117,23.408,1000.0,12.5881,0.7185,11.8696,REV
LINK,H1,SHORT,2025-09-15 11:00,2025-09-18 16:00,23.408,24.411,1000.0,-42.8486,0.7293,-43.5779,REV
LINK,H1,LONG,2025-09-18 16:00,2025-09-20 10:00,24.411,23.14,1000.0,-52.0667,0.6954,-52.7621,REV
LINK,H1,SHORT,2025-09-20 10:00,2025-09-28 23:00,23.14,21.668,1000.0,63.6128,0.6913,62.9215,REV
LINK,H1,LONG,2025-09-28 23:00,2025-10-05 19:00,21.668,21.936,1000.0,12.3685,0.7184,11.6501,REV
LINK,H1,SHORT,2025-10-05 19:00,2025-10-06 18:00,21.936,23.406,1000.0,-67.0131,0.7379,-67.7511,REV
LINK,H1,LONG,2025-10-06 18:00,2025-10-10 15:00,23.406,21.365,1000.0,-87.1999,0.6829,-87.8827,REV
LINK,H1,SHORT,2025-10-10 15:00,2025-10-14 15:00,21.365,19.033,1000.0,109.1505,0.675,108.4754,REV
LINK,H1,LONG,2025-10-14 15:00,2025-10-16 07:00,19.033,18.039,1000.0,-52.2251,0.6954,-52.9204,REV
LINK,H1,SHORT,2025-10-16 07:00,2025-10-20 08:00,18.039,18.775,1000.0,-40.8005,0.7286,-41.5291,REV
LINK,H1,LONG,2025-10-20 08:00,2025-10-23 20:00,18.775,17.248,1000.0,-81.3316,0.685,-82.0165,REV
LINK,H1,SHORT,2025-10-23 20:00,2025-10-25 22:00,17.248,18.042,1000.0,-46.0343,0.7304,-46.7648,REV
LINK,H1,LONG,2025-10-25 22:00,2025-10-30 13:00,18.042,17.121,1000.0,-51.0476,0.6958,-51.7433,REV
LINK,H1,SHORT,2025-10-30 13:00,2025-11-07 19:00,17.121,16.061,1000.0,61.9123,0.6919,61.2204,REV
LINK,H1,LONG,2025-11-07 19:00,2025-11-11 23:00,16.061,15.275,1000.0,-48.9384,0.6965,-49.635,REV
LINK,H1,SHORT,2025-11-11 23:00,2025-11-12 11:00,15.275,16.106,1000.0,-54.4026,0.7334,-55.136,REV
LINK,H1,LONG,2025-11-12 11:00,2025-11-13 13:00,16.106,15.479,1000.0,-38.9296,0.7001,-39.6297,REV
LINK,H1,SHORT,2025-11-13 13:00,2025-11-24 21:00,15.479,13.014,1000.0,159.248,0.6571,158.5909,REV
LINK,H1,LONG,2025-11-24 21:00,2025-11-30 09:00,13.014,13.092,1000.0,5.9935,0.7161,5.2774,REV
LINK,H1,SHORT,2025-11-30 09:00,2025-12-02 19:00,13.092,13.407,1000.0,-24.0605,0.7226,-24.7831,REV
LINK,H1,LONG,2025-12-02 19:00,2025-12-06 20:00,13.407,13.965,1000.0,41.62,0.7289,40.8912,REV
LINK,H1,SHORT,2025-12-06 20:00,2025-12-09 15:00,13.965,14.403,1000.0,-31.3641,0.7252,-32.0893,REV
LINK,H1,LONG,2025-12-09 15:00,2025-12-11 08:00,14.403,13.482,1000.0,-63.945,0.6912,-64.6362,REV
LINK,H1,SHORT,2025-12-11 08:00,2025-12-12 07:00,13.482,14.05,1000.0,-42.1302,0.729,-42.8593,REV
LINK,H1,LONG,2025-12-12 07:00,2025-12-13 05:00,14.05,13.778,1000.0,-19.3594,0.7071,-20.0665,REV
LINK,H1,SHORT,2025-12-13 05:00,2025-12-21 09:00,13.778,12.663,1000.0,80.9261,0.6851,80.241,REV
LINK,H1,LONG,2025-12-21 09:00,2025-12-23 11:00,12.663,12.361,1000.0,-23.849,0.7055,-24.5545,REV
LINK,H1,SHORT,2025-12-23 11:00,2025-12-27 22:00,12.361,12.377,1000.0,-1.2944,0.7145,-2.0089,REV
LINK,H1,LONG,2025-12-27 22:00,2025-12-31 19:00,12.377,12.233,1000.0,-11.6345,0.7098,-12.3443,REV
LINK,H1,SHORT,2025-12-31 19:00,2026-01-02 02:00,12.233,12.677,1000.0,-36.2953,0.727,-37.0222,REV
LINK,H1,LONG,2026-01-02 02:00,2026-01-08 07:00,12.677,13.31,1000.0,49.9329,0.7318,49.2011,REV
LINK,H1,SHORT,2026-01-08 07:00,2026-01-12 04:00,13.31,13.417,1000.0,-8.0391,0.7169,-8.7559,REV
LINK,H1,LONG,2026-01-12 04:00,2026-01-17 12:00,13.417,13.705,1000.0,21.4653,0.7217,20.7436,REV
LINK,H1,SHORT,2026-01-17 12:00,2026-02-09 17:00,13.705,8.92,1000.0,349.1426,0.5894,348.5533,REV
LINK,H1,LONG,2026-02-09 17:00,2026-02-10 09:00,8.92,8.558,1000.0,-40.583,0.6995,-41.2825,REV
LINK,H1,SHORT,2026-02-10 09:00,2026-02-13 22:00,8.558,8.814,1000.0,-29.9135,0.7247,-30.6382,REV
LINK,H1,LONG,2026-02-13 22:00,2026-02-18 10:00,8.814,8.842,1000.0,3.1768,0.7151,2.4616,REV
LINK,H1,SHORT,2026-02-18 10:00,2026-02-22 10:00,8.842,8.821,1000.0,2.375,0.7132,1.6619,REV
