symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
NEAR,H1,SHORT,2025-08-01 00:00,2025-08-04 21:00,2.514,2.552,1000.0,-15.1154,0.7194,-15.8348,REV
NEAR,H1,LONG,2025-08-04 21:00,2025-08-11 23:00,2.552,2.6,1000.0,18.8088,0.7207,18.0881,REV
NEAR,H1,SHORT,2025-08-11 23:00,2025-08-13 10:00,2.6,2.915,1000.0,-121.1538,0.7573,-121.9111,REV
NEAR,H1,LONG,2025-08-13 10:00,2025-08-16 09:00,2.915,2.696,1000.0,-75.1286,0.6872,-75.8158,REV
NEAR,H1,SHORT,2025-08-16 09:00,2025-08-22 18:00,2.696,2.673,1000.0,8.5312,0.711,7.8202,REV
NEAR,H1,LONG,2025-08-22 18:00,2025-08-25 22:00,2.673,2.391,1000.0,-105.4994,0.6763,-106.1758,REV
NEAR,H1,SHORT,2025-08-25 22:00,2025-09-03 21:00,2.391,2.483,1000.0,-38.4776,0.7277,-39.2054,REV
NEAR,H1,LONG,2025-09-03 21:00,2025-09-05 00:00,2.483,2.369,1000.0,-45.9122,0.6976,-46.6098,REV
NEAR,H1,SHORT,2025-09-05 00:00,2025-09-05 07:00,2.369,2.429,1000.0,-25.3271,0.723,-26.0502,REV
NEAR,H1,LONG,2025-09-05 07:00,2025-09-06 13:00,2.429,2.392,1000.0,-15.2326,0.7086,-15.9412,REV
NEAR,H1,SHORT,2025-09-06 13:00,2025-09-07 20:00,2.392,2.465,1000.0,-30.5184,0.7249,-31.2433,REV
NEAR,H1,LONG,2025-09-07 20:00,2025-09-14 15:00,2.465,2.687,1000.0,90.0609,0.7462,89.3147,REV
NEAR,H1,SHORT,2025-09-14 15:00,2025-09-18 00:00,2.687,2.81,1000.0,-45.776,0.7303,-46.5063,REV
NEAR,H1,LONG,2025-09-18 00:00,2025-09-22 06:00,2.81,2.875,1000.0,23.1317,0.7223,22.4094,REV
NEAR,H1,SHORT,2025-09-22 06:00,2025-09-29 20:00,2.875,2.817,1000.0,20.1739,0.7068,19.4671,REV
NEAR,H1,LONG,2025-09-29 20:00,2025-09-30 08:00,2.817,2.67,1000.0,-52.1832,0.6954,-52.8785,REV
NEAR,H1,SHORT,2025-09-30 08:00,2025-10-01 12:00,2.67,2.781,1000.0,-41.573,0.7288,-42.3019,REV
NEAR,H1,LONG,2025-10-01 12:00,2025-10-07 18:00,2.781,2.913,1000.0,47.4649,0.7309,46.734,REV
NEAR,H1,SHORT,2025-10-07 18:00,2025-10-10 13:00,2.913,3.175,1000.0,-89.9416,0.7461,-90.6878,REV
NEAR,H1,LONG,2025-10-10 13:00,2025-10-10 20:00,3.175,2.784,1000.0,-123.1496,0.67,-123.8196,REV
NEAR,H1,SHORT,2025-10-10 20:00,2025-10-15 07:00,2.784,2.473,1000.0,111.7098,0.6741,111.0357,REV
NEAR,H1,LONG,2025-10-15 07:00,2025-10-16 07:00,2.473,2.319,1000.0,-62.2725,0.6918,-62.9643,REV
NEAR,H1,SHORT,2025-10-16 07:00,2025-10-20 10:00,2.319,2.298,1000.0,9.0556,0.7108,8.3449,REV
NEAR,H1,LONG,2025-10-20 10:00,2025-10-23 03:00,2.298,2.148,1000.0,-65.2742,0.6907,-65.9648,REV
NEAR,H1,SHORT,2025-10-23 03:00,2025-10-24 21:00,2.148,2.271,1000.0,-57.2626,0.7344,-57.997,REV
NEAR,H1,LONG,2025-10-24 21:00,2025-10-30 04:00,2.271,2.213,1000.0,-25.5394,0.7049,-26.2443,REV
NEAR,H1,SHORT,2025-10-30 04:00,2025-11-07 00:00,2.213,2.15,1000.0,28.4681,0.7038,27.7643,REV
NEAR,H1,LONG,2025-11-07 00:00,2025-11-11 10:00,2.15,2.638,1000.0,226.9767,0.795,226.1817,REV
NEAR,H1,SHORT,2025-11-11 10:00,2025-12-04 14:00,2.638,1.821,1000.0,309.7043,0.6034,309.1009,REV
NEAR,H1,LONG,2025-12-04 14:00,2025-12-06 04:00,1.821,1.67,1000.0,-82.9215,0.6844,-83.6059,REV
NEAR,H1,SHORT,2025-12-06 04:00,2025-12-09 14:00,1.67,1.756,1000.0,-51.497,0.7324,-52.2294,REV
NEAR,H1,LONG,2025-12-09 14:00,2025-12-11 09:00,1.756,1.663,1000.0,-52.9613,0.6951,-53.6564,REV
NEAR,H1,SHORT,2025-12-11 09:00,2025-12-21 10:00,1.663,1.515,1000.0,88.9958,0.6822,88.3136,REV
NEAR,H1,LONG,2025-12-21 10:00,2025-12-23 06:00,1.515,1.478,1000.0,-24.4224,0.7053,-25.1277,REV
NEAR,H1,SHORT,2025-12-23 06:00,2025-12-25 06:00,1.478,1.497,1000.0,-12.8552,0.7186,-13.5738,REV
NEAR,H1,LONG,2025-12-25 06:00,2025-12-25 14:00,1.497,1.483,1000.0,-9.352,0.7107,-10.0627,REV
NEAR,H1,SHORT,2025-12-25 14:00,2025-12-26 12:00,1.483,1.53,1000.0,-31.6925,0.7253,-32.4178,REV
NEAR,H1,LONG,2025-12-26 12:00,2025-12-31 05:00,1.53,1.517,1000.0,-8.4967,0.711,-9.2077,REV
NEAR,H1,SHORT,2025-12-31 05:00,2026-01-01 21:00,1.517,1.619,1000.0,-67.238,0.738,-67.976,REV
NEAR,H1,LONG,2026-01-01 21:00,2026-01-08 06:00,1.619,1.674,1000.0,33.9716,0.7261,33.2455,REV
NEAR,H1,SHORT,2026-01-08 06:00,2026-01-12 02:00,1.674,1.748,1000.0,-44.2055,0.7298,-44.9353,REV
NEAR,H1,LONG,2026-01-12 02:00,2026-01-16 19:00,1.748,1.692,1000.0,-32.0366,0.7026,-32.7392,REV
NEAR,H1,SHORT,2026-01-16 19:00,2026-02-14 02:00,1.692,1.026,1000.0,393.617,0.5735,393.0435,REV
NEAR,H1,LONG,2026-02-14 02:00,2026-02-18 09:00,1.026,1.049,1000.0,22.4172,0.722,21.6952,REV
NEAR,H1,SHORT,2026-02-18 09:00,2026-02-21 09:00,1.049,1.088,1000.0,-37.1783,0.7273,-37.9055,REV
NEAR,H1,LONG,2026-02-21 09:00,2026-02-23 19:00,1.088,0.97,1000.0,-108.4559,0.6753,-109.1312,REV
NEAR,H1,SHORT,2026-02-23 19:00,2026-02-25 15:00,0.97,1.104,1000.0,-138.1443,0.7633,-138.9076,REV
NEAR,H1,LONG,2026-02-25 15:00,2026-03-06 07:00,1.104,1.267,1000.0,147.6449,0.7667,146.8782,REV
NEAR,H1,SHORT,2026-03-06 07:00,2026-03-10 08:00,1.267,1.292,1000.0,-19.7316,0.721,-20.4527,REV
NEAR,H1,LONG,2026-03-10 08:00,2026-03-19 17:00,1.292,1.333,1000.0,31.7337,0.7253,31.0084,REV
NEAR,H1,SHORT,2026-03-19 17:00,2026-03-31 19:00,1.333,1.186,1000.0,110.2776,0.6746,109.6029,REV
NEAR,H1,LONG,2026-03-31 19:00,2026-04-02 15:00,1.186,1.156,1000.0,-25.2951,0.705,-26.0001,REV
NEAR,H1,SHORT,2026-04-02 15:00,2026-04-03 07:00,1.156,1.204,1000.0,-41.5225,0.7288,-42.2513,REV
NEAR,H1,LONG,2026-04-03 07:00,2026-04-12 05:00,1.204,1.339,1000.0,112.1262,0.754,111.3722,REV
NEAR,H1,SHORT,2026-04-12 05:00,2026-04-12 20:00,1.339,1.361,1000.0,-16.4302,0.7199,-17.15,REV
NEAR,H1,LONG,2026-04-12 20:00,2026-04-15 07:00,1.361,1.343,1000.0,-13.2256,0.7093,-13.9348,REV
NEAR,H1,SHORT,2026-04-15 07:00,2026-04-15 16:00,1.343,1.398,1000.0,-40.9531,0.7286,-41.6817,REV
NEAR,H1,LONG,2026-04-15 16:00,2026-04-19 01:00,1.398,1.337,1000.0,-43.6338,0.6984,-44.3322,REV
NEAR,H1,SHORT,2026-04-19 01:00,2026-04-22 05:00,1.337,1.408,1000.0,-53.104,0.733,-53.8369,REV
NEAR,H1,LONG,2026-04-22 05:00,2026-04-25 20:00,1.408,1.398,1000.0,-7.1023,0.7115,-7.8137,REV
NEAR,H1,SHORT,2026-04-25 20:00,2026-04-27 00:00,1.398,1.406,1000.0,-5.7225,0.716,-6.4385,REV
NEAR,H1,LONG,2026-04-27 00:00,2026-04-27 07:00,1.406,1.368,1000.0,-27.027,0.7044,-27.7314,REV
NEAR,H1,SHORT,2026-04-27 07:00,2026-05-05 23:00,1.368,1.295,1000.0,53.3626,0.6949,52.6676,REV
NEAR,H1,LONG,2026-05-05 23:00,2026-05-12 05:00,1.295,1.54,1000.0,189.1892,0.7815,188.4076,REV
NEAR,H1,SHORT,2026-05-12 05:00,2026-05-12 22:00,1.54,1.614,1000.0,-48.0519,0.7312,-48.7831,REV
NEAR,H1,LONG,2026-05-12 22:00,2026-05-16 00:00,1.614,1.539,1000.0,-46.4684,0.6974,-47.1658,REV
NEAR,H1,SHORT,2026-05-16 00:00,2026-05-18 23:00,1.539,1.625,1000.0,-55.8804,0.7339,-56.6144,REV
NEAR,H1,LONG,2026-05-18 23:00,2026-05-29 04:00,1.625,2.486,1000.0,529.8462,0.9032,528.943,REV
