symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
NEAR,M15,SHORT,2025-08-01 00:00,2025-08-03 10:15,2.505,2.422,1000.0,33.1337,0.7022,32.4316,REV
NEAR,M15,LONG,2025-08-03 10:15,2025-08-05 08:15,2.422,2.456,1000.0,14.038,0.719,13.319,REV
NEAR,M15,SHORT,2025-08-05 08:15,2025-08-05 10:30,2.456,2.53,1000.0,-30.1303,0.7248,-30.855,REV
NEAR,M15,LONG,2025-08-05 10:30,2025-08-05 14:15,2.53,2.489,1000.0,-16.2055,0.7082,-16.9137,REV
NEAR,M15,SHORT,2025-08-05 14:15,2025-08-06 15:00,2.489,2.493,1000.0,-1.6071,0.7146,-2.3216,REV
NEAR,M15,LONG,2025-08-06 15:00,2025-08-10 06:45,2.493,2.775,1000.0,113.1167,0.7544,112.3623,REV
NEAR,M15,SHORT,2025-08-10 06:45,2025-08-11 04:00,2.775,2.822,1000.0,-16.9369,0.72,-17.657,REV
NEAR,M15,LONG,2025-08-11 04:00,2025-08-11 11:15,2.822,2.672,1000.0,-53.1538,0.695,-53.8488,REV
NEAR,M15,SHORT,2025-08-11 11:15,2025-08-12 15:15,2.672,2.714,1000.0,-15.7186,0.7196,-16.4382,REV
NEAR,M15,LONG,2025-08-12 15:15,2025-08-14 12:45,2.714,2.785,1000.0,26.1606,0.7233,25.4373,REV
NEAR,M15,SHORT,2025-08-14 12:45,2025-08-16 13:15,2.785,2.721,1000.0,22.9803,0.7058,22.2745,REV
NEAR,M15,LONG,2025-08-16 13:15,2025-08-18 00:45,2.721,2.686,1000.0,-12.8629,0.7094,-13.5723,REV
NEAR,M15,SHORT,2025-08-18 00:45,2025-08-20 15:30,2.686,2.514,1000.0,64.0357,0.6911,63.3446,REV
NEAR,M15,LONG,2025-08-20 15:30,2025-08-21 12:45,2.514,2.469,1000.0,-17.8998,0.7076,-18.6074,REV
NEAR,M15,SHORT,2025-08-21 12:45,2025-08-22 14:30,2.469,2.55,1000.0,-32.8068,0.7257,-33.5325,REV
NEAR,M15,LONG,2025-08-22 14:30,2025-08-24 07:00,2.55,2.645,1000.0,37.2549,0.7273,36.5276,REV
NEAR,M15,SHORT,2025-08-24 07:00,2025-08-24 18:30,2.645,2.759,1000.0,-43.1002,0.7294,-43.8296,REV
NEAR,M15,LONG,2025-08-24 18:30,2025-08-24 22:15,2.759,2.623,1000.0,-49.2932,0.6964,-49.9896,REV
NEAR,M15,SHORT,2025-08-24 22:15,2025-08-26 17:00,2.623,2.512,1000.0,42.318,0.6989,41.6191,REV
NEAR,M15,LONG,2025-08-26 17:00,2025-08-28 02:00,2.512,2.509,1000.0,-1.1943,0.7136,-1.9078,REV
NEAR,M15,SHORT,2025-08-28 02:00,2025-08-30 06:30,2.509,2.451,1000.0,23.1168,0.7057,22.411,REV
NEAR,M15,LONG,2025-08-30 06:30,2025-08-31 21:15,2.451,2.422,1000.0,-11.8319,0.7098,-12.5417,REV
NEAR,M15,SHORT,2025-08-31 21:15,2025-09-02 02:30,2.422,2.354,1000.0,28.076,0.704,27.372,REV
NEAR,M15,LONG,2025-09-02 02:30,2025-09-02 08:00,2.354,2.355,1000.0,0.4248,0.7142,-0.2893,REV
NEAR,M15,SHORT,2025-09-02 08:00,2025-09-02 14:00,2.355,2.391,1000.0,-15.2866,0.7195,-16.0061,REV
NEAR,M15,LONG,2025-09-02 14:00,2025-09-04 06:00,2.391,2.416,1000.0,10.4559,0.7177,9.7381,REV
NEAR,M15,SHORT,2025-09-04 06:00,2025-09-05 11:15,2.416,2.425,1000.0,-3.7252,0.7153,-4.4405,REV
