symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
SEI,H1,SHORT,2025-08-01 00:00,2025-08-04 17:00,0.2895,0.302,1000.0,-43.1779,0.7294,-43.9073,REV
SEI,H1,LONG,2025-08-04 17:00,2025-08-12 09:00,0.302,0.3026,1000.0,1.9868,0.7147,1.272,REV
SEI,H1,SHORT,2025-08-12 09:00,2025-08-13 11:00,0.3026,0.3456,1000.0,-142.1018,0.7647,-142.8665,REV
SEI,H1,LONG,2025-08-13 11:00,2025-08-16 12:00,0.3456,0.3197,1000.0,-74.9421,0.6872,-75.6294,REV
SEI,H1,SHORT,2025-08-16 12:00,2025-08-22 20:00,0.3197,0.3262,1000.0,-20.3316,0.7213,-21.0528,REV
SEI,H1,LONG,2025-08-22 20:00,2025-08-25 21:00,0.3262,0.2807,1000.0,-139.485,0.6642,-140.1492,REV
SEI,H1,SHORT,2025-08-25 21:00,2025-08-29 00:00,0.2807,0.3038,1000.0,-82.2943,0.7434,-83.0376,REV
SEI,H1,LONG,2025-08-29 00:00,2025-08-30 03:00,0.3038,0.2887,1000.0,-49.7038,0.6963,-50.4,REV
SEI,H1,SHORT,2025-08-30 03:00,2025-09-05 06:00,0.2887,0.2853,1000.0,11.7769,0.7098,11.0671,REV
SEI,H1,LONG,2025-09-05 06:00,2025-09-15 10:00,0.2853,0.3191,1000.0,118.4718,0.7563,117.7155,REV
SEI,H1,SHORT,2025-09-15 10:00,2025-09-18 17:00,0.3191,0.3426,1000.0,-73.6446,0.7403,-74.3849,REV
SEI,H1,LONG,2025-09-18 17:00,2025-09-21 12:00,0.3426,0.3156,1000.0,-78.8091,0.6859,-79.495,REV
SEI,H1,SHORT,2025-09-21 12:00,2025-09-29 09:00,0.3156,0.2802,1000.0,112.1673,0.674,111.4933,REV
SEI,H1,LONG,2025-09-29 09:00,2025-09-30 09:00,0.2802,0.2729,1000.0,-26.0528,0.7047,-26.7575,REV
SEI,H1,SHORT,2025-09-30 09:00,2025-10-01 10:00,0.2729,0.2874,1000.0,-53.133,0.733,-53.866,REV
SEI,H1,LONG,2025-10-01 10:00,2025-10-05 18:00,0.2874,0.2908,1000.0,11.8302,0.7182,11.112,REV
SEI,H1,SHORT,2025-10-05 18:00,2025-10-06 17:00,0.2908,0.3046,1000.0,-47.4553,0.7309,-48.1862,REV
SEI,H1,LONG,2025-10-06 17:00,2025-10-07 18:00,0.3046,0.2853,1000.0,-63.3618,0.6914,-64.0532,REV
SEI,H1,SHORT,2025-10-07 18:00,2025-10-15 08:00,0.2853,0.2268,1000.0,205.0473,0.6408,204.4065,REV
SEI,H1,LONG,2025-10-15 08:00,2025-10-16 07:00,0.2268,0.2158,1000.0,-48.5009,0.6967,-49.1976,REV
SEI,H1,SHORT,2025-10-16 07:00,2025-10-20 23:00,0.2158,0.199,1000.0,77.8499,0.6862,77.1637,REV
SEI,H1,LONG,2025-10-20 23:00,2025-10-22 23:00,0.199,0.1834,1000.0,-78.392,0.686,-79.078,REV
SEI,H1,SHORT,2025-10-22 23:00,2025-10-25 20:00,0.1834,0.2003,1000.0,-92.1483,0.7469,-92.8952,REV
SEI,H1,LONG,2025-10-25 20:00,2025-10-30 08:00,0.2003,0.1943,1000.0,-29.9551,0.7033,-30.6584,REV
SEI,H1,SHORT,2025-10-30 08:00,2025-11-07 18:00,0.1943,0.1796,1000.0,75.6562,0.687,74.9692,REV
SEI,H1,LONG,2025-11-07 18:00,2025-11-11 21:00,0.1796,0.1755,1000.0,-22.8285,0.7059,-23.5344,REV
SEI,H1,SHORT,2025-11-11 21:00,2025-11-25 00:00,0.1755,0.1374,1000.0,217.094,0.6365,216.4575,REV
SEI,H1,LONG,2025-11-25 00:00,2025-11-30 10:00,0.1374,0.1369,1000.0,-3.639,0.7127,-4.3517,REV
SEI,H1,SHORT,2025-11-30 10:00,2025-12-02 19:00,0.1369,0.1393,1000.0,-17.531,0.7203,-18.2513,REV
SEI,H1,LONG,2025-12-02 19:00,2025-12-06 04:00,0.1393,0.1261,1000.0,-94.7595,0.6802,-95.4397,REV
SEI,H1,SHORT,2025-12-06 04:00,2025-12-09 08:00,0.1261,0.1307,1000.0,-36.479,0.727,-37.206,REV
SEI,H1,LONG,2025-12-09 08:00,2025-12-11 23:00,0.1307,0.1317,1000.0,7.6511,0.7167,6.9344,REV
SEI,H1,SHORT,2025-12-11 23:00,2025-12-22 10:00,0.1317,0.1124,1000.0,146.5452,0.6617,145.8835,REV
SEI,H1,LONG,2025-12-22 10:00,2025-12-23 12:00,0.1124,0.1098,1000.0,-23.1317,0.7057,-23.8374,REV
SEI,H1,SHORT,2025-12-23 12:00,2025-12-25 04:00,0.1098,0.1109,1000.0,-10.0182,0.7176,-10.7358,REV
SEI,H1,LONG,2025-12-25 04:00,2025-12-25 23:00,0.1109,0.1069,1000.0,-36.0685,0.7011,-36.7697,REV
SEI,H1,SHORT,2025-12-25 23:00,2025-12-27 15:00,0.1069,0.1143,1000.0,-69.2236,0.7387,-69.9623,REV
SEI,H1,LONG,2025-12-27 15:00,2025-12-31 12:00,0.1143,0.1131,1000.0,-10.4987,0.7103,-11.2089,REV
SEI,H1,SHORT,2025-12-31 12:00,2026-01-02 02:00,0.1131,0.1159,1000.0,-24.7569,0.7228,-25.4797,REV
SEI,H1,LONG,2026-01-02 02:00,2026-01-08 06:00,0.1159,0.1222,1000.0,54.3572,0.7334,53.6238,REV
SEI,H1,SHORT,2026-01-08 06:00,2026-01-13 15:00,0.1222,0.1244,1000.0,-18.0033,0.7204,-18.7237,REV
SEI,H1,LONG,2026-01-13 15:00,2026-01-15 19:00,0.1244,0.1202,1000.0,-33.7621,0.7019,-34.464,REV
SEI,H1,SHORT,2026-01-15 19:00,2026-02-13 19:00,0.1202,0.0761,1000.0,366.8885,0.583,366.3055,REV
SEI,H1,LONG,2026-02-13 19:00,2026-02-18 01:00,0.0761,0.074,1000.0,-27.5953,0.7041,-28.2994,REV
SEI,H1,SHORT,2026-02-18 01:00,2026-02-25 19:00,0.074,0.0722,1000.0,24.3243,0.7053,23.619,REV
SEI,H1,LONG,2026-02-25 19:00,2026-02-28 11:00,0.0722,0.06381,1000.0,-116.205,0.6725,-116.8775,REV
SEI,H1,SHORT,2026-02-28 11:00,2026-03-04 08:00,0.06381,0.06864,1000.0,-75.6935,0.741,-76.4345,REV
SEI,H1,LONG,2026-03-04 08:00,2026-03-05 16:00,0.06864,0.06739,1000.0,-18.211,0.7075,-18.9185,REV
SEI,H1,SHORT,2026-03-05 16:00,2026-03-12 21:00,0.06739,0.06455,1000.0,42.1428,0.699,41.4438,REV
SEI,H1,LONG,2026-03-12 21:00,2026-03-18 16:00,0.06455,0.06473,1000.0,2.7885,0.715,2.0735,REV
SEI,H1,SHORT,2026-03-18 16:00,2026-03-26 01:00,0.06473,0.06093,1000.0,58.7054,0.693,58.0123,REV
SEI,H1,LONG,2026-03-26 01:00,2026-03-26 15:00,0.06093,0.05828,1000.0,-43.4925,0.6985,-44.191,REV
SEI,H1,SHORT,2026-03-26 15:00,2026-04-01 11:00,0.05828,0.05499,1000.0,56.4516,0.6938,55.7578,REV
SEI,H1,LONG,2026-04-01 11:00,2026-04-02 16:00,0.05499,0.05128,1000.0,-67.4668,0.6899,-68.1567,REV
SEI,H1,SHORT,2026-04-02 16:00,2026-04-03 08:00,0.05128,0.05351,1000.0,-43.4867,0.7295,-44.2163,REV
SEI,H1,LONG,2026-04-03 08:00,2026-04-05 01:00,0.05351,0.0534,1000.0,-2.0557,0.7133,-2.769,REV
SEI,H1,SHORT,2026-04-05 01:00,2026-04-06 00:00,0.0534,0.0538,1000.0,-7.4906,0.7167,-8.2073,REV
SEI,H1,LONG,2026-04-06 00:00,2026-04-07 05:00,0.0538,0.05278,1000.0,-18.9591,0.7072,-19.6663,REV
SEI,H1,SHORT,2026-04-07 05:00,2026-04-07 23:00,0.05278,0.05627,1000.0,-66.1235,0.7376,-66.8611,REV
SEI,H1,LONG,2026-04-07 23:00,2026-04-12 01:00,0.05627,0.05447,1000.0,-31.9886,0.7026,-32.6912,REV
SEI,H1,SHORT,2026-04-12 01:00,2026-04-15 19:00,0.05447,0.05625,1000.0,-32.6785,0.7257,-33.4042,REV
SEI,H1,LONG,2026-04-15 19:00,2026-04-19 10:00,0.05625,0.05498,1000.0,-22.5778,0.7059,-23.2837,REV
SEI,H1,SHORT,2026-04-19 10:00,2026-04-22 02:00,0.05498,0.05895,1000.0,-72.2081,0.7398,-72.9479,REV
SEI,H1,LONG,2026-04-22 02:00,2026-04-25 20:00,0.05895,0.06047,1000.0,25.7846,0.7232,25.0614,REV
SEI,H1,SHORT,2026-04-25 20:00,2026-04-26 15:00,0.06047,0.06376,1000.0,-54.4071,0.7334,-55.1406,REV
SEI,H1,LONG,2026-04-26 15:00,2026-04-27 12:00,0.06376,0.06044,1000.0,-52.0703,0.6954,-52.7657,REV
SEI,H1,SHORT,2026-04-27 12:00,2026-05-03 19:00,0.06044,0.05842,1000.0,33.4216,0.7021,32.7195,REV
SEI,H1,LONG,2026-05-03 19:00,2026-05-13 15:00,0.05842,0.06598,1000.0,129.4077,0.7602,128.6475,REV
SEI,H1,SHORT,2026-05-13 15:00,2026-05-21 19:00,0.06598,0.06361,1000.0,35.92,0.7012,35.2188,REV
SEI,H1,LONG,2026-05-21 19:00,2026-05-24 21:00,0.06361,0.05973,1000.0,-60.9967,0.6922,-61.6889,REV
SEI,H1,SHORT,2026-05-24 21:00,2026-05-26 11:00,0.05973,0.06462,1000.0,-81.8684,0.7432,-82.6116,REV
SEI,H1,LONG,2026-05-26 11:00,2026-05-30 19:00,0.06462,0.06731,1000.0,41.628,0.7289,40.8991,REV
SEI,H1,SHORT,2026-05-30 19:00,2026-06-01 18:00,0.06731,0.06921,1000.0,-28.2276,0.7241,-28.9517,REV
SEI,H1,LONG,2026-06-01 18:00,2026-06-02 18:00,0.06921,0.06478,1000.0,-64.0081,0.6911,-64.6992,REV
SEI,H1,SHORT,2026-06-02 18:00,2026-06-03 23:00,0.06478,0.05939,1000.0,83.2047,0.6843,82.5204,OPEN
