symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
SOL,H1,SHORT,2025-08-01 00:00,2025-08-05 10:00,170.24,170.97,1000.0,-4.2881,0.7155,-5.0036,REV
SOL,H1,LONG,2025-08-05 10:00,2025-08-12 09:00,170.97,174.45,1000.0,20.3544,0.7213,19.6332,REV
SOL,H1,SHORT,2025-08-12 09:00,2025-08-12 16:00,174.45,184.78,1000.0,-59.2147,0.7351,-59.9498,REV
SOL,H1,LONG,2025-08-12 16:00,2025-08-16 11:00,184.78,185.66,1000.0,4.7624,0.7157,4.0467,REV
SOL,H1,SHORT,2025-08-16 11:00,2025-08-22 16:00,185.66,194.86,1000.0,-49.5529,0.7317,-50.2846,REV
SOL,H1,LONG,2025-08-22 16:00,2025-08-26 06:00,194.86,187.82,1000.0,-36.1285,0.7011,-36.8296,REV
SOL,H1,SHORT,2025-08-26 06:00,2025-08-28 05:00,187.82,211.58,1000.0,-126.5041,0.7592,-127.2633,REV
SOL,H1,LONG,2025-08-28 05:00,2025-08-31 06:00,211.58,202.88,1000.0,-41.1192,0.6993,-41.8185,REV
SOL,H1,SHORT,2025-08-31 06:00,2025-09-02 23:00,202.88,209.54,1000.0,-32.8273,0.7257,-33.553,REV
SOL,H1,LONG,2025-09-02 23:00,2025-09-06 10:00,209.54,202.8,1000.0,-32.1657,0.7025,-32.8682,REV
SOL,H1,SHORT,2025-09-06 10:00,2025-09-08 07:00,202.8,207.85,1000.0,-24.9014,0.7229,-25.6243,REV
SOL,H1,LONG,2025-09-08 07:00,2025-09-15 19:00,207.85,232.9,1000.0,120.5196,0.757,119.7626,REV
SOL,H1,SHORT,2025-09-15 19:00,2025-09-18 11:00,232.9,245.84,1000.0,-55.5603,0.7338,-56.2942,REV
SOL,H1,LONG,2025-09-18 11:00,2025-09-21 13:00,245.84,239.38,1000.0,-26.2773,0.7046,-26.9819,REV
SOL,H1,SHORT,2025-09-21 13:00,2025-09-28 23:00,239.38,210.7,1000.0,119.8095,0.6712,119.1383,REV
SOL,H1,LONG,2025-09-28 23:00,2025-10-07 15:00,210.7,223.65,1000.0,61.4618,0.7359,60.7259,REV
SOL,H1,SHORT,2025-10-07 15:00,2025-10-14 14:00,223.65,195.76,1000.0,124.7038,0.6695,124.0343,REV
SOL,H1,LONG,2025-10-14 14:00,2025-10-16 17:00,195.76,189.54,1000.0,-31.7736,0.7027,-32.4763,REV
SOL,H1,SHORT,2025-10-16 17:00,2025-10-20 09:00,189.54,193.13,1000.0,-18.9406,0.7208,-19.6614,REV
SOL,H1,LONG,2025-10-20 09:00,2025-10-22 20:00,193.13,180.07,1000.0,-67.6228,0.6899,-68.3127,REV
SOL,H1,SHORT,2025-10-22 20:00,2025-10-24 18:00,180.07,191.7,1000.0,-64.586,0.7371,-65.3231,REV
SOL,H1,LONG,2025-10-24 18:00,2025-10-30 11:00,191.7,191.75,1000.0,0.2608,0.7141,-0.4533,REV
SOL,H1,SHORT,2025-10-30 11:00,2025-11-07 21:00,191.75,163.43,1000.0,147.6923,0.6613,147.031,REV
SOL,H1,LONG,2025-11-07 21:00,2025-11-11 21:00,163.43,156.0,1000.0,-45.4629,0.6978,-46.1607,REV
SOL,H1,SHORT,2025-11-11 21:00,2025-11-20 05:00,156.0,144.06,1000.0,76.5385,0.6867,75.8518,REV
SOL,H1,LONG,2025-11-20 05:00,2025-11-20 18:00,144.06,132.47,1000.0,-80.4526,0.6853,-81.1379,REV
SOL,H1,SHORT,2025-11-20 18:00,2025-11-24 19:00,132.47,137.19,1000.0,-35.6307,0.7267,-36.3574,REV
SOL,H1,LONG,2025-11-24 19:00,2025-11-29 21:00,137.19,136.38,1000.0,-5.9042,0.7119,-6.6161,REV
SOL,H1,SHORT,2025-11-29 21:00,2025-12-03 04:00,136.38,142.21,1000.0,-42.7482,0.7293,-43.4775,REV
SOL,H1,LONG,2025-12-03 04:00,2025-12-06 06:00,142.21,132.88,1000.0,-65.6072,0.6906,-66.2978,REV
SOL,H1,SHORT,2025-12-06 06:00,2025-12-09 16:00,132.88,143.64,1000.0,-80.9753,0.7429,-81.7182,REV
SOL,H1,LONG,2025-12-09 16:00,2025-12-11 07:00,143.64,130.93,1000.0,-88.4851,0.6824,-89.1675,REV
SOL,H1,SHORT,2025-12-11 07:00,2025-12-12 07:00,130.93,139.06,1000.0,-62.0942,0.7362,-62.8304,REV
SOL,H1,LONG,2025-12-12 07:00,2025-12-13 05:00,139.06,132.6,1000.0,-46.4548,0.6974,-47.1522,REV
SOL,H1,SHORT,2025-12-13 05:00,2025-12-21 09:00,132.6,126.21,1000.0,48.19,0.6968,47.4932,REV
SOL,H1,LONG,2025-12-21 09:00,2025-12-23 11:00,126.21,124.79,1000.0,-11.2511,0.71,-11.9611,REV
SOL,H1,SHORT,2025-12-23 11:00,2025-12-27 20:00,124.79,123.5,1000.0,10.3374,0.7103,9.6271,REV
SOL,H1,LONG,2025-12-27 20:00,2026-01-01 16:00,123.5,124.41,1000.0,7.3684,0.7166,6.6518,REV
SOL,H1,SHORT,2026-01-01 16:00,2026-01-02 02:00,124.41,126.54,1000.0,-17.1208,0.7201,-17.8409,REV
SOL,H1,LONG,2026-01-02 02:00,2026-01-09 20:00,126.54,135.51,1000.0,70.8867,0.7393,70.1474,REV
SOL,H1,SHORT,2026-01-09 20:00,2026-01-11 16:00,135.51,139.98,1000.0,-32.9865,0.7258,-33.7123,REV
SOL,H1,LONG,2026-01-11 16:00,2026-01-17 14:00,139.98,143.83,1000.0,27.5039,0.7238,26.7801,REV
