symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
SUI,H1,SHORT,2025-08-01 00:00,2025-08-05 00:00,3.5771,3.5802,1000.0,-0.8666,0.7143,-1.5809,REV
SUI,H1,LONG,2025-08-05 00:00,2025-08-05 17:00,3.5802,3.416,1000.0,-45.8634,0.6976,-46.561,REV
SUI,H1,SHORT,2025-08-05 17:00,2025-08-06 15:00,3.416,3.4935,1000.0,-22.6874,0.7221,-23.4095,REV
SUI,H1,LONG,2025-08-06 15:00,2025-08-11 19:00,3.4935,3.6978,1000.0,58.48,0.7349,57.7452,REV
SUI,H1,SHORT,2025-08-11 19:00,2025-08-13 12:00,3.6978,4.0172,1000.0,-86.3757,0.7448,-87.1205,REV
SUI,H1,LONG,2025-08-13 12:00,2025-08-14 16:00,4.0172,3.7633,1000.0,-63.2032,0.6914,-63.8947,REV
SUI,H1,SHORT,2025-08-14 16:00,2025-08-15 08:00,3.7633,3.8637,1000.0,-26.6787,0.7235,-27.4022,REV
SUI,H1,LONG,2025-08-15 08:00,2025-08-16 06:00,3.8637,3.6997,1000.0,-42.4464,0.6988,-43.1452,REV
SUI,H1,SHORT,2025-08-16 06:00,2025-08-22 18:00,3.6997,3.7221,1000.0,-6.0545,0.7162,-6.7707,REV
SUI,H1,LONG,2025-08-22 18:00,2025-08-25 22:00,3.7221,3.3407,1000.0,-102.469,0.6774,-103.1465,REV
SUI,H1,SHORT,2025-08-25 22:00,2025-09-03 03:00,3.3407,3.3263,1000.0,4.3105,0.7125,3.598,REV
SUI,H1,LONG,2025-09-03 03:00,2025-09-15 10:00,3.3263,3.5317,1000.0,61.7503,0.736,61.0142,REV
SUI,H1,SHORT,2025-09-15 10:00,2025-09-18 02:00,3.5317,3.7924,1000.0,-73.8171,0.7404,-74.5575,REV
SUI,H1,LONG,2025-09-18 02:00,2025-09-21 11:00,3.7924,3.6183,1000.0,-45.9076,0.6976,-46.6052,REV
SUI,H1,SHORT,2025-09-21 11:00,2025-09-29 01:00,3.6183,3.2647,1000.0,97.7255,0.6791,97.0463,REV
SUI,H1,LONG,2025-09-29 01:00,2025-10-07 18:00,3.2647,3.4513,1000.0,57.1569,0.7344,56.4225,REV
SUI,H1,SHORT,2025-10-07 18:00,2025-10-14 14:00,3.4513,2.7362,1000.0,207.1973,0.64,206.5573,REV
SUI,H1,LONG,2025-10-14 14:00,2025-10-16 08:00,2.7362,2.6524,1000.0,-30.6264,0.7031,-31.3295,REV
SUI,H1,SHORT,2025-10-16 08:00,2025-10-20 13:00,2.6524,2.6362,1000.0,6.1077,0.7118,5.3959,REV
SUI,H1,LONG,2025-10-20 13:00,2025-10-22 23:00,2.6362,2.3811,1000.0,-96.7681,0.6795,-97.4475,REV
SUI,H1,SHORT,2025-10-22 23:00,2025-10-25 21:00,2.3811,2.5345,1000.0,-64.424,0.737,-65.161,REV
SUI,H1,LONG,2025-10-25 21:00,2025-10-30 04:00,2.5345,2.4313,1000.0,-40.7181,0.6995,-41.4176,REV
SUI,H1,SHORT,2025-10-30 04:00,2025-11-07 19:00,2.4313,2.1698,1000.0,107.5556,0.6756,106.88,REV
SUI,H1,LONG,2025-11-07 19:00,2025-11-11 09:00,2.1698,2.0828,1000.0,-40.0959,0.6997,-40.7955,REV
SUI,H1,SHORT,2025-11-11 09:00,2025-11-24 21:00,2.0828,1.552,1000.0,254.8492,0.623,254.2262,REV
SUI,H1,LONG,2025-11-24 21:00,2025-11-29 16:00,1.552,1.5059,1000.0,-29.7036,0.7034,-30.407,REV
SUI,H1,SHORT,2025-11-29 16:00,2025-12-02 18:00,1.5059,1.5957,1000.0,-59.6321,0.7353,-60.3674,REV
SUI,H1,LONG,2025-12-02 18:00,2025-12-06 08:00,1.5957,1.5106,1000.0,-53.3308,0.695,-54.0258,REV
SUI,H1,SHORT,2025-12-06 08:00,2025-12-09 09:00,1.5106,1.6053,1000.0,-62.6903,0.7364,-63.4267,REV
SUI,H1,LONG,2025-12-09 09:00,2025-12-11 07:00,1.6053,1.548,1000.0,-35.6943,0.7013,-36.3955,REV
SUI,H1,SHORT,2025-12-11 07:00,2025-12-12 07:00,1.548,1.6583,1000.0,-71.2532,0.7394,-71.9927,REV
SUI,H1,LONG,2025-12-12 07:00,2025-12-12 20:00,1.6583,1.5556,1000.0,-61.9309,0.6919,-62.6228,REV
SUI,H1,SHORT,2025-12-12 20:00,2025-12-21 11:00,1.5556,1.4587,1000.0,62.2911,0.6918,61.5993,REV
SUI,H1,LONG,2025-12-21 11:00,2025-12-23 10:00,1.4587,1.436,1000.0,-15.5618,0.7084,-16.2702,REV
SUI,H1,SHORT,2025-12-23 10:00,2025-12-27 22:00,1.436,1.4327,1000.0,2.2981,0.7132,1.5849,REV
SUI,H1,LONG,2025-12-27 22:00,2025-12-31 18:00,1.4327,1.4003,1000.0,-22.6146,0.7059,-23.3206,REV
SUI,H1,SHORT,2025-12-31 18:00,2026-01-02 03:00,1.4003,1.4976,1000.0,-69.4851,0.7388,-70.2239,REV
SUI,H1,LONG,2026-01-02 03:00,2026-01-09 11:00,1.4976,1.7954,1000.0,198.8515,0.785,198.0665,REV
SUI,H1,SHORT,2026-01-09 11:00,2026-01-13 23:00,1.7954,1.8805,1000.0,-47.3989,0.7309,-48.1298,REV
SUI,H1,LONG,2026-01-13 23:00,2026-01-17 11:00,1.8805,1.7922,1000.0,-46.9556,0.6972,-47.6528,REV
SUI,H1,SHORT,2026-01-17 11:00,2026-02-14 04:00,1.7922,0.9652,1000.0,461.444,0.5493,460.8948,REV
SUI,H1,LONG,2026-02-14 04:00,2026-02-18 06:00,0.9652,0.9663,1000.0,1.1397,0.7144,0.4253,REV
SUI,H1,SHORT,2026-02-18 06:00,2026-02-25 18:00,0.9663,0.994,1000.0,-28.666,0.7242,-29.3903,REV
SUI,H1,LONG,2026-02-25 18:00,2026-02-28 09:00,0.994,0.8348,1000.0,-160.161,0.6568,-160.8178,REV
SUI,H1,SHORT,2026-02-28 09:00,2026-03-03 19:00,0.8348,0.9094,1000.0,-89.3627,0.7459,-90.1086,REV
SUI,H1,LONG,2026-03-03 19:00,2026-03-06 17:00,0.9094,0.8932,1000.0,-17.8139,0.7076,-18.5216,REV
SUI,H1,SHORT,2026-03-06 17:00,2026-03-10 02:00,0.8932,0.9512,1000.0,-64.9351,0.7372,-65.6722,REV
SUI,H1,LONG,2026-03-10 02:00,2026-03-18 15:00,0.9512,0.9775,1000.0,27.6493,0.7239,26.9254,REV
SUI,H1,SHORT,2026-03-18 15:00,2026-03-25 13:00,0.9775,0.9686,1000.0,9.1049,0.7107,8.3941,REV
SUI,H1,LONG,2026-03-25 13:00,2026-03-27 03:00,0.9686,0.9257,1000.0,-44.2907,0.6982,-44.9889,REV
SUI,H1,SHORT,2026-03-27 03:00,2026-04-01 10:00,0.9257,0.8895,1000.0,39.1055,0.7,38.4055,REV
SUI,H1,LONG,2026-04-01 10:00,2026-04-02 19:00,0.8895,0.8603,1000.0,-32.8274,0.7023,-33.5297,REV
SUI,H1,SHORT,2026-04-02 19:00,2026-04-03 11:00,0.8603,0.8775,1000.0,-19.993,0.7211,-20.7142,REV
SUI,H1,LONG,2026-04-03 11:00,2026-04-04 18:00,0.8775,0.8685,1000.0,-10.2564,0.7103,-10.9667,REV
SUI,H1,SHORT,2026-04-04 18:00,2026-04-06 01:00,0.8685,0.8765,1000.0,-9.2113,0.7173,-9.9286,REV
SUI,H1,LONG,2026-04-06 01:00,2026-04-11 14:00,0.8765,0.9308,1000.0,61.9509,0.7361,61.2148,REV
SUI,H1,SHORT,2026-04-11 14:00,2026-04-14 00:00,0.9308,0.9489,1000.0,-19.4456,0.7209,-20.1666,REV
SUI,H1,LONG,2026-04-14 00:00,2026-04-19 09:00,0.9489,0.941,1000.0,-8.3254,0.711,-9.0365,REV
SUI,H1,SHORT,2026-04-19 09:00,2026-04-22 09:00,0.941,0.9668,1000.0,-27.4176,0.7238,-28.1414,REV
SUI,H1,LONG,2026-04-22 09:00,2026-04-23 03:00,0.9668,0.9323,1000.0,-35.6847,0.7013,-36.386,REV
SUI,H1,SHORT,2026-04-23 03:00,2026-04-23 14:00,0.9323,0.9454,1000.0,-14.0513,0.719,-14.7703,REV
