symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
SUI,M15,SHORT,2025-08-01 00:00,2025-08-03 10:45,3.5671,3.455,1000.0,31.4261,0.7028,30.7233,REV
SUI,M15,LONG,2025-08-03 10:45,2025-08-05 14:00,3.455,3.4366,1000.0,-5.3256,0.7121,-6.0377,REV
SUI,M15,SHORT,2025-08-05 14:00,2025-08-06 15:15,3.4366,3.4565,1000.0,-5.7906,0.7161,-6.5067,REV
SUI,M15,LONG,2025-08-06 15:15,2025-08-10 03:00,3.4565,3.9152,1000.0,132.7065,0.7614,131.9451,REV
SUI,M15,SHORT,2025-08-10 03:00,2025-08-10 04:00,3.9152,3.9739,1000.0,-14.9928,0.7194,-15.7122,REV
SUI,M15,LONG,2025-08-10 04:00,2025-08-10 06:30,3.9739,3.8733,1000.0,-25.3152,0.705,-26.0201,REV
SUI,M15,SHORT,2025-08-10 06:30,2025-08-11 03:15,3.8733,3.9435,1000.0,-18.1241,0.7205,-18.8446,REV
SUI,M15,LONG,2025-08-11 03:15,2025-08-11 11:15,3.9435,3.7374,1000.0,-52.2632,0.6953,-52.9586,REV
SUI,M15,SHORT,2025-08-11 11:15,2025-08-12 14:30,3.7374,3.769,1000.0,-8.4551,0.717,-9.1721,REV
SUI,M15,LONG,2025-08-12 14:30,2025-08-14 08:15,3.769,3.9829,1000.0,56.7525,0.7343,56.0182,REV
SUI,M15,SHORT,2025-08-14 08:15,2025-08-16 13:15,3.9829,3.735,1000.0,62.2411,0.6918,61.5493,REV
SUI,M15,LONG,2025-08-16 13:15,2025-08-18 01:15,3.735,3.7083,1000.0,-7.1486,0.7114,-7.86,REV
SUI,M15,SHORT,2025-08-18 01:15,2025-08-20 16:00,3.7083,3.5313,1000.0,47.7308,0.697,47.0338,REV
SUI,M15,LONG,2025-08-20 16:00,2025-08-21 12:30,3.5313,3.4298,1000.0,-28.743,0.7037,-29.4467,REV
SUI,M15,SHORT,2025-08-21 12:30,2025-08-22 14:15,3.4298,3.5758,1000.0,-42.5681,0.7292,-43.2973,REV
SUI,M15,LONG,2025-08-22 14:15,2025-08-23 17:15,3.5758,3.6824,1000.0,29.8115,0.7246,29.0869,REV
