symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
TIA,H1,SHORT,2025-08-01 00:00,2025-08-04 23:00,1.6738,1.7142,1000.0,-24.1367,0.7226,-24.8593,REV
TIA,H1,LONG,2025-08-04 23:00,2025-08-12 09:00,1.7142,1.7114,1000.0,-1.6334,0.7134,-2.3468,REV
TIA,H1,SHORT,2025-08-12 09:00,2025-08-12 17:00,1.7114,1.8452,1000.0,-78.1816,0.7419,-78.9235,REV
TIA,H1,LONG,2025-08-12 17:00,2025-08-14 16:00,1.8452,1.7783,1000.0,-36.2562,0.7011,-36.9573,REV
TIA,H1,SHORT,2025-08-14 16:00,2025-08-22 18:00,1.7783,1.8334,1000.0,-30.9846,0.7251,-31.7097,REV
TIA,H1,LONG,2025-08-22 18:00,2025-08-25 21:00,1.8334,1.592,1000.0,-131.6679,0.667,-132.3349,REV
TIA,H1,SHORT,2025-08-25 21:00,2025-08-29 02:00,1.592,1.7248,1000.0,-83.4171,0.7438,-84.1609,REV
TIA,H1,LONG,2025-08-29 02:00,2025-08-30 02:00,1.7248,1.6105,1000.0,-66.2686,0.6903,-66.9589,REV
TIA,H1,SHORT,2025-08-30 02:00,2025-09-05 09:00,1.6105,1.6121,1000.0,-0.9935,0.7144,-1.7078,REV
TIA,H1,LONG,2025-09-05 09:00,2025-09-15 09:00,1.6121,1.7113,1000.0,61.5346,0.736,60.7987,REV
TIA,H1,SHORT,2025-09-15 09:00,2025-09-18 04:00,1.7113,1.8027,1000.0,-53.4097,0.7331,-54.1428,REV
TIA,H1,LONG,2025-09-18 04:00,2025-09-21 11:00,1.8027,1.7019,1000.0,-55.9161,0.694,-56.6102,REV
TIA,H1,SHORT,2025-09-21 11:00,2025-09-29 09:00,1.7019,1.4076,1000.0,172.9244,0.6523,172.2721,REV
TIA,H1,LONG,2025-09-29 09:00,2025-09-30 10:00,1.4076,1.3742,1000.0,-23.7283,0.7055,-24.4339,REV
TIA,H1,SHORT,2025-09-30 10:00,2025-10-01 17:00,1.3742,1.4341,1000.0,-43.589,0.7296,-44.3186,REV
TIA,H1,LONG,2025-10-01 17:00,2025-10-08 12:00,1.4341,1.4526,1000.0,12.9001,0.7186,12.1815,REV
TIA,H1,SHORT,2025-10-08 12:00,2025-10-14 13:00,1.4526,1.0883,1000.0,250.7917,0.6245,250.1672,REV
TIA,H1,LONG,2025-10-14 13:00,2025-10-17 06:00,1.0883,1.0017,1000.0,-79.5736,0.6856,-80.2592,REV
TIA,H1,SHORT,2025-10-17 06:00,2025-10-21 18:00,1.0017,1.0755,1000.0,-73.6748,0.7403,-74.4151,REV
TIA,H1,LONG,2025-10-21 18:00,2025-10-23 02:00,1.0755,0.9672,1000.0,-100.6974,0.6781,-101.3754,REV
TIA,H1,SHORT,2025-10-23 02:00,2025-10-26 10:00,0.9672,1.0458,1000.0,-81.2655,0.743,-82.0085,REV
TIA,H1,LONG,2025-10-26 10:00,2025-10-30 05:00,1.0458,0.9997,1000.0,-44.0811,0.6983,-44.7793,REV
TIA,H1,SHORT,2025-10-30 05:00,2025-11-07 09:00,0.9997,0.8429,1000.0,156.8471,0.658,156.189,REV
TIA,H1,LONG,2025-11-07 09:00,2025-11-11 11:00,0.8429,0.9818,1000.0,164.7882,0.7728,164.0154,REV
TIA,H1,SHORT,2025-11-11 11:00,2025-11-27 09:00,0.9818,0.6445,1000.0,343.5527,0.5914,342.9613,REV
TIA,H1,LONG,2025-11-27 09:00,2025-11-28 10:00,0.6445,0.6243,1000.0,-31.3421,0.7028,-32.0449,REV
TIA,H1,SHORT,2025-11-28 10:00,2025-11-30 08:00,0.6243,0.6479,1000.0,-37.8023,0.7275,-38.5298,REV
TIA,H1,LONG,2025-11-30 08:00,2025-12-01 02:00,0.6479,0.5834,1000.0,-99.5524,0.6785,-100.2309,REV
TIA,H1,SHORT,2025-12-01 02:00,2025-12-04 15:00,0.5834,0.6438,1000.0,-103.531,0.751,-104.282,REV
TIA,H1,LONG,2025-12-04 15:00,2025-12-06 05:00,0.6438,0.5685,1000.0,-116.9618,0.6722,-117.634,REV
TIA,H1,SHORT,2025-12-06 05:00,2025-12-09 15:00,0.5685,0.6195,1000.0,-89.7098,0.746,-90.4558,REV
TIA,H1,LONG,2025-12-09 15:00,2025-12-13 05:00,0.6195,0.5841,1000.0,-57.1429,0.6936,-57.8365,REV
TIA,H1,SHORT,2025-12-13 05:00,2025-12-26 12:00,0.5841,0.4601,1000.0,212.2924,0.6382,211.6542,REV
TIA,H1,LONG,2025-12-26 12:00,2025-12-31 16:00,0.4601,0.4498,1000.0,-22.3864,0.706,-23.0924,REV
TIA,H1,SHORT,2025-12-31 16:00,2026-01-01 18:00,0.4498,0.493,1000.0,-96.0427,0.7483,-96.791,REV
TIA,H1,LONG,2026-01-01 18:00,2026-01-08 06:00,0.493,0.5496,1000.0,114.8073,0.755,114.0523,REV
TIA,H1,SHORT,2026-01-08 06:00,2026-01-12 03:00,0.5496,0.5597,1000.0,-18.377,0.7206,-19.0976,REV
TIA,H1,LONG,2026-01-12 03:00,2026-01-12 20:00,0.5597,0.5358,1000.0,-42.7014,0.6988,-43.4002,REV
TIA,H1,SHORT,2026-01-12 20:00,2026-01-13 14:00,0.5358,0.5764,1000.0,-75.7745,0.7411,-76.5156,REV
TIA,H1,LONG,2026-01-13 14:00,2026-01-17 11:00,0.5764,0.5778,1000.0,2.4289,0.7149,1.714,REV
