symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
XRP,H1,SHORT,2025-08-01 00:00,2025-08-04 19:00,2.9849,3.0476,1000.0,-21.0057,0.7215,-21.7272,REV
XRP,H1,LONG,2025-08-04 19:00,2025-08-11 14:00,3.0476,3.1932,1000.0,47.7753,0.7311,47.0442,REV
XRP,H1,SHORT,2025-08-11 14:00,2025-08-13 23:00,3.1932,3.2752,1000.0,-25.6796,0.7232,-26.4027,REV
XRP,H1,LONG,2025-08-13 23:00,2025-08-14 15:00,3.2752,3.0941,1000.0,-55.2943,0.6943,-55.9886,REV
XRP,H1,SHORT,2025-08-14 15:00,2025-08-22 19:00,3.0941,3.0713,1000.0,7.3689,0.7114,6.6575,REV
XRP,H1,LONG,2025-08-22 19:00,2025-08-26 05:00,3.0713,2.9177,1000.0,-50.0114,0.6961,-50.7075,REV
XRP,H1,SHORT,2025-08-26 05:00,2025-09-02 23:00,2.9177,2.8605,1000.0,19.6045,0.707,18.8975,REV
XRP,H1,LONG,2025-09-02 23:00,2025-09-06 11:00,2.8605,2.8046,1000.0,-19.542,0.707,-20.2491,REV
XRP,H1,SHORT,2025-09-06 11:00,2025-09-07 16:00,2.8046,2.8904,1000.0,-30.5926,0.7249,-31.3175,REV
XRP,H1,LONG,2025-09-07 16:00,2025-09-15 11:00,2.8904,2.9976,1000.0,37.0883,0.7272,36.3611,REV
XRP,H1,SHORT,2025-09-15 11:00,2025-09-18 03:00,2.9976,3.1043,1000.0,-35.5951,0.7267,-36.3219,REV
XRP,H1,LONG,2025-09-18 03:00,2025-09-20 00:00,3.1043,2.9972,1000.0,-34.5005,0.7017,-35.2022,REV
XRP,H1,SHORT,2025-09-20 00:00,2025-09-29 01:00,2.9972,2.856,1000.0,47.1106,0.6972,46.4135,REV
XRP,H1,LONG,2025-09-29 01:00,2025-10-06 07:00,2.856,2.9721,1000.0,40.6513,0.7285,39.9227,REV
XRP,H1,SHORT,2025-10-06 07:00,2025-10-14 15:00,2.9721,2.4957,1000.0,160.2907,0.6568,159.6339,REV
XRP,H1,LONG,2025-10-14 15:00,2025-10-16 07:00,2.4957,2.4089,1000.0,-34.7798,0.7016,-35.4814,REV
XRP,H1,SHORT,2025-10-16 07:00,2025-10-20 07:00,2.4089,2.4693,1000.0,-25.0737,0.723,-25.7966,REV
XRP,H1,LONG,2025-10-20 07:00,2025-10-23 21:00,2.4693,2.3852,1000.0,-34.0582,0.7018,-34.7601,REV
XRP,H1,SHORT,2025-10-23 21:00,2025-10-24 21:00,2.3852,2.5061,1000.0,-50.6876,0.7321,-51.4197,REV
XRP,H1,LONG,2025-10-24 21:00,2025-10-30 02:00,2.5061,2.5837,1000.0,30.9644,0.7251,30.2394,REV
XRP,H1,SHORT,2025-10-30 02:00,2025-11-07 20:00,2.5837,2.3635,1000.0,85.2266,0.6836,84.543,REV
XRP,H1,LONG,2025-11-07 20:00,2025-11-09 10:00,2.3635,2.2653,1000.0,-41.5486,0.6992,-42.2477,REV
XRP,H1,SHORT,2025-11-09 10:00,2025-11-09 23:00,2.2653,2.3649,1000.0,-43.9677,0.7297,-44.6974,REV
XRP,H1,LONG,2025-11-09 23:00,2025-11-13 19:00,2.3649,2.3135,1000.0,-21.7345,0.7062,-22.4408,REV
XRP,H1,SHORT,2025-11-13 19:00,2025-11-24 08:00,2.3135,2.0721,1000.0,104.3441,0.6767,103.6673,REV
XRP,H1,LONG,2025-11-24 08:00,2025-11-28 17:00,2.0721,2.1746,1000.0,49.4667,0.7317,48.7351,REV
XRP,H1,SHORT,2025-11-28 17:00,2025-11-30 03:00,2.1746,2.2056,1000.0,-14.2555,0.7191,-14.9746,REV
XRP,H1,LONG,2025-11-30 03:00,2025-11-30 10:00,2.2056,2.1882,1000.0,-7.889,0.7112,-8.6002,REV
XRP,H1,SHORT,2025-11-30 10:00,2025-12-09 12:00,2.1882,2.0829,1000.0,48.1217,0.6968,47.4249,REV
XRP,H1,LONG,2025-12-09 12:00,2025-12-11 06:00,2.0829,2.0124,1000.0,-33.847,0.7019,-34.549,REV
