symbol,timeframe,side,entry_time,exit_time,entry,exit,size,gross,fee,net,result
XRP,M15,SHORT,2025-08-01 00:00,2025-08-02 03:45,2.9918,2.9824,1000.0,3.1419,0.7129,2.429,REV
XRP,M15,LONG,2025-08-02 03:45,2025-08-02 10:15,2.9824,2.9547,1000.0,-9.2878,0.7107,-9.9985,REV
XRP,M15,SHORT,2025-08-02 10:15,2025-08-03 13:30,2.9547,2.871,1000.0,28.3277,0.7039,27.6239,REV
XRP,M15,LONG,2025-08-03 13:30,2025-08-05 14:00,2.871,3.0061,1000.0,47.0568,0.7308,46.326,REV
XRP,M15,SHORT,2025-08-05 14:00,2025-08-06 17:30,3.0061,2.9973,1000.0,2.9274,0.713,2.2144,REV
XRP,M15,LONG,2025-08-06 17:30,2025-08-09 00:00,2.9973,3.2942,1000.0,99.0558,0.7494,98.3065,REV
XRP,M15,SHORT,2025-08-09 00:00,2025-08-09 12:30,3.2942,3.3161,1000.0,-6.648,0.7164,-7.3644,REV
XRP,M15,LONG,2025-08-09 12:30,2025-08-09 21:45,3.3161,3.2472,1000.0,-20.7774,0.7066,-21.484,REV
XRP,M15,SHORT,2025-08-09 21:45,2025-08-11 05:00,3.2472,3.2801,1000.0,-10.1318,0.7176,-10.8494,REV
XRP,M15,LONG,2025-08-11 05:00,2025-08-11 21:45,3.2801,3.1369,1000.0,-43.6572,0.6984,-44.3556,REV
XRP,M15,SHORT,2025-08-11 21:45,2025-08-12 17:00,3.1369,3.2369,1000.0,-31.8786,0.7254,-32.604,REV
XRP,M15,LONG,2025-08-12 17:00,2025-08-14 06:45,3.2369,3.266,1000.0,8.9901,0.7172,8.2729,REV
XRP,M15,SHORT,2025-08-14 06:45,2025-08-16 09:00,3.266,3.1413,1000.0,38.1813,0.7004,37.4809,REV
XRP,M15,LONG,2025-08-16 09:00,2025-08-18 00:30,3.1413,3.0807,1000.0,-19.2914,0.7071,-19.9985,REV
XRP,M15,SHORT,2025-08-18 00:30,2025-08-18 23:30,3.0807,3.0563,1000.0,7.9203,0.7112,7.2091,REV
XRP,M15,LONG,2025-08-18 23:30,2025-08-19 14:30,3.0563,2.9442,1000.0,-36.6783,0.7009,-37.3792,REV
XRP,M15,SHORT,2025-08-19 14:30,2025-08-20 17:00,2.9442,2.9238,1000.0,6.9289,0.7115,6.2174,REV
XRP,M15,LONG,2025-08-20 17:00,2025-08-21 14:45,2.9238,2.8983,1000.0,-8.7215,0.7109,-9.4324,REV
XRP,M15,SHORT,2025-08-21 14:45,2025-08-22 14:30,2.8983,3.0141,1000.0,-39.9545,0.7283,-40.6827,REV
XRP,M15,LONG,2025-08-22 14:30,2025-08-23 14:15,3.0141,3.0272,1000.0,4.3462,0.7156,3.6307,REV
XRP,M15,SHORT,2025-08-23 14:15,2025-08-23 23:30,3.0272,3.0487,1000.0,-7.1023,0.7165,-7.8188,REV
XRP,M15,LONG,2025-08-23 23:30,2025-08-24 21:45,3.0487,3.0278,1000.0,-6.8554,0.7116,-7.5669,REV
XRP,M15,SHORT,2025-08-24 21:45,2025-08-26 17:15,3.0278,2.9562,1000.0,23.6475,0.7056,22.942,REV
XRP,M15,LONG,2025-08-26 17:15,2025-08-27 23:45,2.9562,2.9676,1000.0,3.8563,0.7154,3.1409,REV
XRP,M15,SHORT,2025-08-27 23:45,2025-08-30 23:30,2.9676,2.8153,1000.0,51.3209,0.6957,50.6253,REV
XRP,M15,LONG,2025-08-30 23:30,2025-08-31 22:15,2.8153,2.813,1000.0,-0.817,0.7137,-1.5307,REV
XRP,M15,SHORT,2025-08-31 22:15,2025-09-02 00:45,2.813,2.7591,1000.0,19.161,0.7072,18.4539,REV
XRP,M15,LONG,2025-09-02 00:45,2025-09-04 06:45,2.7591,2.8132,1000.0,19.6078,0.721,18.8868,REV
XRP,M15,SHORT,2025-09-04 06:45,2025-09-05 11:15,2.8132,2.8443,1000.0,-11.055,0.7179,-11.773,REV
XRP,M15,LONG,2025-09-05 11:15,2025-09-06 05:00,2.8443,2.8151,1000.0,-10.2661,0.7103,-10.9765,REV
XRP,M15,SHORT,2025-09-06 05:00,2025-09-07 07:00,2.8151,2.8227,1000.0,-2.6997,0.715,-3.4147,REV
XRP,M15,LONG,2025-09-07 07:00,2025-09-09 15:30,2.8227,2.9378,1000.0,40.7766,0.7286,40.048,REV
XRP,M15,SHORT,2025-09-09 15:30,2025-09-10 12:45,2.9378,2.9979,1000.0,-20.4575,0.7213,-21.1788,REV
