trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,APT,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,4.3092,4.223016,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,APT,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,4.3092,4.3092,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,APT,H1,LONG,2025-08-05 00:00,2025-08-05 07:00,4.3581,4.205566,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,APT,H1,SHORT,2025-08-12 00:00,2025-08-12 15:00,4.5719,4.731916,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,APT,H1,LONG,2025-08-13 11:00,2025-08-13 16:00,4.9627,5.061954,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,APT,H1,LONG,2025-08-13 11:00,2025-08-13 17:00,4.9627,4.9627,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
5,APT,H1,SHORT,2025-08-16 06:00,2025-08-17 05:00,4.6441,4.806643,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,APT,H1,LONG,2025-08-22 18:00,2025-08-22 23:00,4.7093,4.803486,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,APT,H1,LONG,2025-08-22 18:00,2025-08-23 01:00,4.7093,4.7093,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,APT,H1,SHORT,2025-08-25 20:00,2025-08-26 12:00,4.2124,4.359834,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,APT,H1,LONG,2025-09-02 09:00,2025-09-03 20:00,4.3005,4.38651,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,APT,H1,LONG,2025-09-02 09:00,2025-09-04 05:00,4.3005,4.3005,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
9,APT,H1,SHORT,2025-09-04 22:00,2025-09-05 07:00,4.27,4.3324,1000.0,100.0,0.0,NO,-14.6136,0.7192,-15.3328,REV
10,APT,H1,LONG,2025-09-05 07:00,2025-09-06 02:00,4.3324,4.2467,1000.0,100.0,0.0,NO,-19.7812,0.7069,-20.4881,REV
11,APT,H1,SHORT,2025-09-06 02:00,2025-09-08 04:00,4.2467,4.3439,1000.0,100.0,0.0,NO,-22.8884,0.7222,-23.6105,REV
12,APT,H1,LONG,2025-09-08 04:00,2025-09-08 15:00,4.3439,4.430778,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,APT,H1,LONG,2025-09-08 04:00,2025-09-09 06:00,4.3439,4.495936,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,APT,H1,LONG,2025-09-08 04:00,2025-09-15 10:00,4.3439,4.4003,340.0,34.0,0.0,NO,4.4145,0.2443,4.1701,REV
13,APT,H1,SHORT,2025-09-15 10:00,2025-09-15 16:00,4.4003,4.312294,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,APT,H1,SHORT,2025-09-15 10:00,2025-09-16 06:00,4.4003,4.4003,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
14,APT,H1,LONG,2025-09-18 03:00,2025-09-18 18:00,4.6356,4.728312,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,APT,H1,LONG,2025-09-18 03:00,2025-09-19 04:00,4.6356,4.6356,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
15,APT,H1,SHORT,2025-09-22 01:00,2025-09-22 02:00,4.5022,4.412156,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,APT,H1,SHORT,2025-09-22 01:00,2025-09-22 06:00,4.5022,4.344623,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,APT,H1,SHORT,2025-09-22 01:00,2025-09-28 23:00,4.5022,4.2264,340.0,34.0,0.0,NO,20.828,0.2353,20.5927,REV
16,APT,H1,LONG,2025-09-28 23:00,2025-09-29 15:00,4.2264,4.310928,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,APT,H1,LONG,2025-09-28 23:00,2025-09-30 01:00,4.2264,4.2264,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
