trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,APT,M15,SHORT,2025-08-01 00:00,2025-08-01 08:00,4.2872,4.201456,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,APT,M15,SHORT,2025-08-01 00:00,2025-08-01 11:45,4.2872,4.2872,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,APT,M15,LONG,2025-08-03 10:15,2025-08-04 13:45,4.2133,4.297566,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,APT,M15,LONG,2025-08-03 10:15,2025-08-04 22:30,4.2133,4.360766,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,APT,M15,LONG,2025-08-03 10:15,2025-08-05 07:30,4.2133,4.2133,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
3,APT,M15,SHORT,2025-08-05 14:30,2025-08-06 04:15,4.2502,4.165196,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,APT,M15,SHORT,2025-08-05 14:30,2025-08-06 05:15,4.2502,4.2502,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,APT,M15,LONG,2025-08-06 19:45,2025-08-06 21:00,4.2496,4.2403,1000.0,100.0,0.0,NO,-2.1884,0.7132,-2.9017,REV
5,APT,M15,SHORT,2025-08-06 21:00,2025-08-07 00:15,4.2403,4.2487,1000.0,100.0,0.0,NO,-1.981,0.7147,-2.6957,REV
6,APT,M15,LONG,2025-08-07 00:15,2025-08-07 03:15,4.2487,4.2197,1000.0,100.0,0.0,NO,-6.8256,0.7116,-7.5372,REV
7,APT,M15,SHORT,2025-08-07 03:15,2025-08-07 10:00,4.2197,4.3012,1000.0,100.0,0.0,NO,-19.3142,0.7209,-20.0351,REV
8,APT,M15,LONG,2025-08-07 10:00,2025-08-07 20:00,4.3012,4.387224,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,APT,M15,LONG,2025-08-07 10:00,2025-08-08 00:15,4.3012,4.451742,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
8,APT,M15,LONG,2025-08-07 10:00,2025-08-10 06:00,4.3012,4.7795,340.0,34.0,0.0,NO,37.8085,0.2563,37.5523,REV
9,APT,M15,SHORT,2025-08-10 06:00,2025-08-10 07:30,4.7795,4.68391,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,APT,M15,SHORT,2025-08-10 06:00,2025-08-10 11:45,4.7795,4.612217,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
9,APT,M15,SHORT,2025-08-10 06:00,2025-08-11 02:15,4.7795,4.7795,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
10,APT,M15,LONG,2025-08-11 04:30,2025-08-11 11:15,4.8085,4.640203,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,APT,M15,SHORT,2025-08-11 12:15,2025-08-11 21:45,4.6146,4.522308,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,APT,M15,SHORT,2025-08-11 12:15,2025-08-12 02:30,4.6146,4.6146,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,APT,M15,LONG,2025-08-12 15:15,2025-08-12 19:45,4.7422,4.837044,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,APT,M15,LONG,2025-08-12 15:15,2025-08-13 01:30,4.7422,4.7422,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
13,APT,M15,SHORT,2025-08-14 09:00,2025-08-14 12:30,4.9219,4.823462,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
