trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ARB,H1,SHORT,2025-08-01 00:00,2025-08-01 06:00,0.3941,0.386218,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,ARB,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,0.3941,0.380306,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,ARB,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,0.3941,0.3941,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
2,ARB,H1,LONG,2025-08-04 18:00,2025-08-05 07:00,0.405,0.390825,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,ARB,H1,SHORT,2025-08-17 03:00,2025-08-17 04:00,0.5,0.5175,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,ARB,H1,LONG,2025-08-22 16:00,2025-08-22 17:00,0.5624,0.573648,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ARB,H1,LONG,2025-08-22 16:00,2025-08-22 18:00,0.5624,0.582084,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ARB,H1,LONG,2025-08-22 16:00,2025-08-25 06:00,0.5624,0.5624,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,ARB,H1,SHORT,2025-08-26 07:00,2025-08-27 01:00,0.5284,0.517832,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,ARB,H1,SHORT,2025-08-26 07:00,2025-08-27 03:00,0.5284,0.5284,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
6,ARB,H1,LONG,2025-09-05 10:00,2025-09-05 12:00,0.5004,0.510408,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,ARB,H1,LONG,2025-09-05 10:00,2025-09-05 14:00,0.5004,0.5004,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,ARB,H1,SHORT,2025-09-06 15:00,2025-09-08 03:00,0.4843,0.50125,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,ARB,H1,LONG,2025-09-08 08:00,2025-09-08 15:00,0.497,0.50694,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,ARB,H1,LONG,2025-09-08 08:00,2025-09-08 16:00,0.497,0.514395,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
8,ARB,H1,LONG,2025-09-08 08:00,2025-09-14 18:00,0.497,0.5134,340.0,34.0,0.0,NO,11.2193,0.2468,10.9726,REV
9,ARB,H1,SHORT,2025-09-14 18:00,2025-09-15 08:00,0.5134,0.503132,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,ARB,H1,SHORT,2025-09-14 18:00,2025-09-15 08:00,0.5134,0.495431,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
9,ARB,H1,SHORT,2025-09-14 18:00,2025-09-17 20:00,0.5134,0.5134,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
10,ARB,H1,LONG,2025-09-18 04:00,2025-09-19 10:00,0.5251,0.506722,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,ARB,H1,SHORT,2025-09-20 11:00,2025-09-21 16:00,0.4897,0.479906,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,ARB,H1,SHORT,2025-09-20 11:00,2025-09-22 00:00,0.4897,0.47256,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
11,ARB,H1,SHORT,2025-09-20 11:00,2025-09-29 00:00,0.4897,0.4265,340.0,34.0,0.0,NO,43.8799,0.2271,43.6528,REV
12,ARB,H1,LONG,2025-09-29 00:00,2025-09-29 12:00,0.4265,0.411572,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
13,ARB,H1,SHORT,2025-09-30 09:00,2025-09-30 20:00,0.4073,0.421555,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
14,ARB,H1,LONG,2025-10-01 11:00,2025-10-02 03:00,0.4336,0.442272,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,ARB,H1,LONG,2025-10-01 11:00,2025-10-02 14:00,0.4336,0.4336,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
15,ARB,H1,SHORT,2025-10-06 08:00,2025-10-06 13:00,0.4408,0.456228,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
16,ARB,H1,LONG,2025-10-06 17:00,2025-10-07 08:00,0.4626,0.446409,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
17,ARB,H1,SHORT,2025-10-07 17:00,2025-10-08 03:00,0.426,0.41748,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,ARB,H1,SHORT,2025-10-07 17:00,2025-10-08 10:00,0.426,0.426,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
18,ARB,H1,LONG,2025-10-14 14:00,2025-10-14 15:00,0.331,0.33762,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
18,ARB,H1,LONG,2025-10-14 14:00,2025-10-14 16:00,0.331,0.342585,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
18,ARB,H1,LONG,2025-10-14 14:00,2025-10-15 13:00,0.331,0.331,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
19,ARB,H1,SHORT,2025-10-16 21:00,2025-10-17 06:00,0.3156,0.309288,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,ARB,H1,SHORT,2025-10-16 21:00,2025-10-17 06:00,0.3156,0.304554,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
19,ARB,H1,SHORT,2025-10-16 21:00,2025-10-19 10:00,0.3156,0.3156,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
20,ARB,H1,LONG,2025-10-20 21:00,2025-10-21 04:00,0.3216,0.310344,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
21,ARB,H1,SHORT,2025-10-30 10:00,2025-10-30 12:00,0.3087,0.302526,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,ARB,H1,SHORT,2025-10-30 10:00,2025-10-30 13:00,0.3087,0.297895,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
21,ARB,H1,SHORT,2025-10-30 10:00,2025-11-02 04:00,0.3087,0.3087,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
22,ARB,H1,LONG,2025-11-07 08:00,2025-11-07 11:00,0.2759,0.266243,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
23,ARB,H1,SHORT,2025-11-11 10:00,2025-11-11 14:00,0.2919,0.286062,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,ARB,H1,SHORT,2025-11-11 10:00,2025-11-11 17:00,0.2919,0.281683,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,ARB,H1,SHORT,2025-11-11 10:00,2025-11-24 21:00,0.2919,0.2182,340.0,34.0,0.0,NO,85.8445,0.2121,85.6324,REV
24,ARB,H1,LONG,2025-11-24 21:00,2025-11-25 14:00,0.2182,0.210563,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
25,ARB,H1,SHORT,2025-12-01 00:00,2025-12-01 12:00,0.1962,0.192276,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
25,ARB,H1,SHORT,2025-12-01 00:00,2025-12-01 15:00,0.1962,0.189333,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
25,ARB,H1,SHORT,2025-12-01 00:00,2025-12-02 01:00,0.1962,0.1962,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
26,ARB,H1,LONG,2025-12-04 08:00,2025-12-04 19:00,0.2225,0.214713,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
27,ARB,H1,SHORT,2025-12-06 06:00,2025-12-07 05:00,0.2031,0.210208,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
28,ARB,H1,LONG,2025-12-09 06:00,2025-12-09 08:00,0.2113,0.215526,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
28,ARB,H1,LONG,2025-12-09 06:00,2025-12-09 15:00,0.2113,0.218695,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
28,ARB,H1,LONG,2025-12-09 06:00,2025-12-11 00:00,0.2113,0.2113,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
29,ARB,H1,SHORT,2025-12-11 09:00,2025-12-11 21:00,0.2053,0.212485,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
30,ARB,H1,LONG,2025-12-21 10:00,2025-12-21 13:00,0.1892,0.182578,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
31,ARB,H1,SHORT,2025-12-23 07:00,2025-12-23 14:00,0.1848,0.181104,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
31,ARB,H1,SHORT,2025-12-23 07:00,2025-12-23 16:00,0.1848,0.1848,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
