trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ARB,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,0.3917,0.383866,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,ARB,M15,SHORT,2025-08-01 00:00,2025-08-01 01:00,0.3917,0.3917,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,ARB,M15,LONG,2025-08-03 08:00,2025-08-03 23:15,0.378,0.38556,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,ARB,M15,LONG,2025-08-03 08:00,2025-08-04 00:45,0.378,0.39123,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,ARB,M15,LONG,2025-08-03 08:00,2025-08-05 13:15,0.378,0.3922,340.0,34.0,0.0,NO,12.7725,0.2473,12.5252,REV
3,ARB,M15,SHORT,2025-08-05 13:15,2025-08-05 14:15,0.3922,0.384356,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,ARB,M15,SHORT,2025-08-05 13:15,2025-08-05 15:45,0.3922,0.378473,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
3,ARB,M15,SHORT,2025-08-05 13:15,2025-08-06 16:15,0.3922,0.3856,340.0,34.0,0.0,NO,5.7216,0.2407,5.4809,REV
4,ARB,M15,LONG,2025-08-06 16:15,2025-08-07 01:30,0.3856,0.393312,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ARB,M15,LONG,2025-08-06 16:15,2025-08-07 10:00,0.3856,0.399096,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ARB,M15,LONG,2025-08-06 16:15,2025-08-10 08:00,0.3856,0.4528,340.0,34.0,0.0,NO,59.2531,0.2639,58.9892,REV
5,ARB,M15,SHORT,2025-08-10 08:00,2025-08-10 15:15,0.4528,0.468648,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
