trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,AVAX,H1,SHORT,2025-08-01 00:00,2025-08-01 06:00,22.266,21.82068,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,AVAX,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,22.266,22.266,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,AVAX,H1,LONG,2025-08-04 21:00,2025-08-05 14:00,22.825,22.026125,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,AVAX,H1,SHORT,2025-08-11 23:00,2025-08-12 12:00,22.775,23.572125,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,AVAX,H1,LONG,2025-08-13 06:00,2025-08-13 09:00,24.589,25.08078,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,AVAX,H1,LONG,2025-08-13 06:00,2025-08-13 10:00,24.589,25.449615,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,AVAX,H1,LONG,2025-08-13 06:00,2025-08-14 12:00,24.589,24.589,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,AVAX,H1,SHORT,2025-08-14 18:00,2025-08-15 03:00,23.618,24.44463,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,AVAX,H1,LONG,2025-08-15 03:00,2025-08-15 06:00,24.859,25.35618,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,AVAX,H1,LONG,2025-08-15 03:00,2025-08-15 09:00,24.859,24.859,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,AVAX,H1,SHORT,2025-08-16 08:00,2025-08-17 09:00,23.976,24.81516,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,AVAX,H1,LONG,2025-08-22 17:00,2025-08-23 05:00,24.987,25.48674,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,AVAX,H1,LONG,2025-08-22 17:00,2025-08-23 09:00,24.987,25.861545,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
8,AVAX,H1,LONG,2025-08-22 17:00,2025-08-24 10:00,24.987,24.987,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
9,AVAX,H1,SHORT,2025-08-26 06:00,2025-08-26 19:00,23.238,24.05133,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,AVAX,H1,LONG,2025-08-29 00:00,2025-08-29 08:00,24.879,24.008235,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,AVAX,H1,SHORT,2025-08-30 10:00,2025-09-01 02:00,23.589,23.11722,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,AVAX,H1,SHORT,2025-08-30 10:00,2025-09-01 07:00,23.589,23.589,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,AVAX,H1,LONG,2025-09-02 07:00,2025-09-02 22:00,23.896,24.37392,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,AVAX,H1,LONG,2025-09-02 07:00,2025-09-03 06:00,23.896,24.73236,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,AVAX,H1,LONG,2025-09-02 07:00,2025-09-05 00:00,23.896,23.896,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
13,AVAX,H1,SHORT,2025-09-06 22:00,2025-09-08 08:00,24.362,25.094,1000.0,100.0,0.0,NO,-30.0468,0.7247,-30.7715,REV
14,AVAX,H1,LONG,2025-09-08 08:00,2025-09-08 15:00,25.094,25.59588,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
