trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,AVAX,M15,SHORT,2025-08-01 00:00,2025-08-01 08:00,22.172,21.72856,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,AVAX,M15,SHORT,2025-08-01 00:00,2025-08-01 12:00,22.172,22.172,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,AVAX,M15,LONG,2025-08-03 15:15,2025-08-04 00:45,21.369,21.79638,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,AVAX,M15,LONG,2025-08-03 15:15,2025-08-04 13:45,21.369,22.116915,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,AVAX,M15,LONG,2025-08-03 15:15,2025-08-05 14:15,21.369,21.974,340.0,34.0,0.0,NO,9.6261,0.2462,9.3799,REV
3,AVAX,M15,SHORT,2025-08-05 14:15,2025-08-05 22:00,21.974,21.53452,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,AVAX,M15,SHORT,2025-08-05 14:15,2025-08-06 05:15,21.974,21.974,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,AVAX,M15,LONG,2025-08-06 14:45,2025-08-07 04:45,22.216,21.999,1000.0,100.0,0.0,NO,-9.7677,0.7105,-10.4782,REV
5,AVAX,M15,SHORT,2025-08-07 04:45,2025-08-07 06:45,21.999,22.165,1000.0,100.0,0.0,NO,-7.5458,0.7167,-8.2625,REV
6,AVAX,M15,LONG,2025-08-07 06:45,2025-08-07 10:00,22.165,22.6083,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,AVAX,M15,LONG,2025-08-07 06:45,2025-08-07 20:30,22.165,22.940775,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,AVAX,M15,LONG,2025-08-07 06:45,2025-08-10 03:00,22.165,24.169,340.0,34.0,0.0,NO,30.7404,0.2537,30.4866,REV
7,AVAX,M15,SHORT,2025-08-10 03:00,2025-08-10 04:30,24.169,24.49,1000.0,100.0,0.0,NO,-13.2815,0.7187,-14.0002,REV
8,AVAX,M15,LONG,2025-08-10 04:30,2025-08-10 05:45,24.49,24.065,1000.0,100.0,0.0,NO,-17.354,0.7078,-18.0618,REV
9,AVAX,M15,SHORT,2025-08-10 05:45,2025-08-10 07:30,24.065,23.5837,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,AVAX,M15,SHORT,2025-08-10 05:45,2025-08-11 01:30,24.065,24.065,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,AVAX,M15,LONG,2025-08-11 03:15,2025-08-11 11:30,24.322,23.47073,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,AVAX,M15,SHORT,2025-08-11 12:00,2025-08-11 21:30,23.304,22.83792,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,AVAX,M15,SHORT,2025-08-11 12:00,2025-08-12 12:30,23.304,23.304,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,AVAX,M15,LONG,2025-08-12 15:00,2025-08-12 17:15,24.012,24.49224,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,AVAX,M15,LONG,2025-08-12 15:00,2025-08-12 20:15,24.012,24.85242,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,AVAX,M15,LONG,2025-08-12 15:00,2025-08-14 12:30,24.012,24.012,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
13,AVAX,M15,SHORT,2025-08-14 12:45,2025-08-14 13:00,23.751,23.27598,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,AVAX,M15,SHORT,2025-08-14 12:45,2025-08-14 13:15,23.751,23.751,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
14,AVAX,M15,LONG,2025-08-15 06:45,2025-08-15 13:30,25.192,24.31028,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
15,AVAX,M15,SHORT,2025-08-16 00:15,2025-08-16 16:00,23.795,24.2,1000.0,100.0,0.0,NO,-17.0204,0.7201,-17.7405,REV
16,AVAX,M15,LONG,2025-08-16 16:00,2025-08-17 05:00,24.2,24.684,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,AVAX,M15,LONG,2025-08-16 16:00,2025-08-17 14:30,24.2,25.047,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
16,AVAX,M15,LONG,2025-08-16 16:00,2025-08-18 02:15,24.2,24.2,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
17,AVAX,M15,SHORT,2025-08-18 02:45,2025-08-18 06:15,24.029,23.54842,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,AVAX,M15,SHORT,2025-08-18 02:45,2025-08-18 12:45,24.029,24.029,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
18,AVAX,M15,LONG,2025-08-20 15:15,2025-08-21 16:30,23.28,22.937,1000.0,100.0,0.0,NO,-14.7337,0.7087,-15.4424,REV
19,AVAX,M15,SHORT,2025-08-21 16:30,2025-08-22 12:00,22.937,22.47826,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,AVAX,M15,SHORT,2025-08-21 16:30,2025-08-22 14:00,22.937,22.937,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
20,AVAX,M15,LONG,2025-08-22 14:30,2025-08-22 15:15,23.915,24.3933,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
20,AVAX,M15,LONG,2025-08-22 14:30,2025-08-22 16:00,23.915,24.752025,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
20,AVAX,M15,LONG,2025-08-22 14:30,2025-08-24 09:30,23.915,25.538,340.0,34.0,0.0,NO,23.0742,0.251,22.8232,REV
21,AVAX,M15,SHORT,2025-08-24 09:30,2025-08-24 10:45,25.538,25.02724,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,AVAX,M15,SHORT,2025-08-24 09:30,2025-08-24 15:00,25.538,25.538,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
22,AVAX,M15,LONG,2025-08-24 18:30,2025-08-24 19:30,26.427,25.502055,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
23,AVAX,M15,SHORT,2025-08-24 20:45,2025-08-25 05:45,25.612,25.09976,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,AVAX,M15,SHORT,2025-08-24 20:45,2025-08-25 06:45,25.612,24.71558,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,AVAX,M15,SHORT,2025-08-24 20:45,2025-08-26 18:00,25.612,23.777,340.0,34.0,0.0,NO,24.3597,0.2341,24.1256,REV
24,AVAX,M15,LONG,2025-08-26 18:00,2025-08-26 19:45,23.777,24.25254,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
24,AVAX,M15,LONG,2025-08-26 18:00,2025-08-27 04:00,23.777,24.609195,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
24,AVAX,M15,LONG,2025-08-26 18:00,2025-08-28 11:30,23.777,24.424,340.0,34.0,0.0,NO,9.2518,0.2461,9.0057,REV
25,AVAX,M15,SHORT,2025-08-28 11:30,2025-08-29 00:00,24.424,24.905,1000.0,100.0,0.0,NO,-19.6937,0.721,-20.4148,REV
26,AVAX,M15,LONG,2025-08-29 00:00,2025-08-29 08:00,24.905,24.033325,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
27,AVAX,M15,SHORT,2025-08-29 08:00,2025-08-29 14:00,23.952,23.47296,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
27,AVAX,M15,SHORT,2025-08-29 08:00,2025-08-30 01:45,23.952,23.11368,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
27,AVAX,M15,SHORT,2025-08-29 08:00,2025-08-30 15:15,23.952,23.817,340.0,34.0,0.0,NO,1.9163,0.2421,1.6743,REV
28,AVAX,M15,LONG,2025-08-30 15:15,2025-08-31 23:00,23.817,23.634,1000.0,100.0,0.0,NO,-7.6836,0.7113,-8.3948,REV
29,AVAX,M15,SHORT,2025-08-31 23:00,2025-09-01 02:15,23.634,23.16132,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
29,AVAX,M15,SHORT,2025-08-31 23:00,2025-09-01 07:45,23.634,23.634,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
30,AVAX,M15,LONG,2025-09-01 09:30,2025-09-01 13:30,24.228,23.739,1000.0,100.0,0.0,NO,-20.1833,0.7068,-20.8901,REV
31,AVAX,M15,SHORT,2025-09-01 13:30,2025-09-01 20:30,23.739,23.26422,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
31,AVAX,M15,SHORT,2025-09-01 13:30,2025-09-01 21:30,23.739,22.908135,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
31,AVAX,M15,SHORT,2025-09-01 13:30,2025-09-02 02:45,23.739,23.592,340.0,34.0,0.0,NO,2.1054,0.242,1.8634,REV
32,AVAX,M15,LONG,2025-09-02 02:45,2025-09-02 06:00,23.592,24.06384,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
32,AVAX,M15,LONG,2025-09-02 02:45,2025-09-02 12:45,23.592,23.592,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
33,AVAX,M15,SHORT,2025-09-04 06:00,2025-09-04 18:30,24.836,24.33928,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
33,AVAX,M15,SHORT,2025-09-04 06:00,2025-09-05 00:30,24.836,23.96674,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
33,AVAX,M15,SHORT,2025-09-04 06:00,2025-09-05 07:45,24.836,24.836,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
34,AVAX,M15,LONG,2025-09-05 12:45,2025-09-05 14:45,25.028,24.15202,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
35,AVAX,M15,SHORT,2025-09-06 04:45,2025-09-07 02:00,24.284,24.449,1000.0,100.0,0.0,NO,-6.7946,0.7164,-7.511,REV
36,AVAX,M15,LONG,2025-09-07 02:00,2025-09-07 23:15,24.449,24.93798,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
36,AVAX,M15,LONG,2025-09-07 02:00,2025-09-08 10:00,24.449,25.304715,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
36,AVAX,M15,LONG,2025-09-07 02:00,2025-09-11 21:00,24.449,28.814,340.0,34.0,0.0,NO,60.7019,0.2644,60.4374,REV
37,AVAX,M15,SHORT,2025-09-11 21:00,2025-09-12 12:00,28.814,28.23772,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
37,AVAX,M15,SHORT,2025-09-11 21:00,2025-09-12 15:00,28.814,28.814,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
38,AVAX,M15,LONG,2025-09-13 02:45,2025-09-13 04:15,29.835,30.4317,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
38,AVAX,M15,LONG,2025-09-13 02:45,2025-09-13 05:00,29.835,30.879225,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
38,AVAX,M15,LONG,2025-09-13 02:45,2025-09-13 13:45,29.835,29.835,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
39,AVAX,M15,SHORT,2025-09-14 01:30,2025-09-14 13:30,29.903,29.30494,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
39,AVAX,M15,SHORT,2025-09-14 01:30,2025-09-14 22:30,29.903,29.903,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
40,AVAX,M15,LONG,2025-09-15 21:45,2025-09-16 04:15,30.286,29.22599,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
41,AVAX,M15,SHORT,2025-09-17 05:00,2025-09-17 22:30,29.628,30.569,1000.0,100.0,0.0,NO,-31.7605,0.7253,-32.4858,REV
42,AVAX,M15,LONG,2025-09-17 22:30,2025-09-17 22:45,30.569,31.18038,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
42,AVAX,M15,LONG,2025-09-17 22:30,2025-09-17 22:45,30.569,31.638915,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
42,AVAX,M15,LONG,2025-09-17 22:30,2025-09-19 15:45,30.569,33.935,340.0,34.0,0.0,NO,37.4379,0.2561,37.1818,REV
43,AVAX,M15,SHORT,2025-09-19 15:45,2025-09-20 10:45,33.935,33.2563,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
43,AVAX,M15,SHORT,2025-09-19 15:45,2025-09-20 15:00,33.935,33.935,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
44,AVAX,M15,LONG,2025-09-22 22:30,2025-09-22 23:00,32.806,33.46212,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
44,AVAX,M15,LONG,2025-09-22 22:30,2025-09-22 23:15,32.806,33.95421,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
44,AVAX,M15,LONG,2025-09-22 22:30,2025-09-23 03:00,32.806,32.806,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
45,AVAX,M15,SHORT,2025-09-24 03:00,2025-09-24 04:00,33.776,33.10048,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
45,AVAX,M15,SHORT,2025-09-24 03:00,2025-09-24 04:30,33.776,33.776,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
