trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,BNB,H1,SHORT,2025-08-01 00:00,2025-08-01 06:00,789.07,773.2886,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,BNB,H1,SHORT,2025-08-01 00:00,2025-08-01 13:00,789.07,761.45255,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,BNB,H1,SHORT,2025-08-01 00:00,2025-08-06 07:00,789.07,763.49,340.0,34.0,0.0,NO,11.0221,0.2388,10.7833,REV
2,BNB,H1,LONG,2025-08-06 07:00,2025-08-07 10:00,763.49,778.7598,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,BNB,H1,LONG,2025-08-06 07:00,2025-08-08 00:00,763.49,790.21215,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,BNB,H1,LONG,2025-08-06 07:00,2025-08-16 22:00,763.49,836.99,340.0,34.0,0.0,NO,32.7313,0.2544,32.4768,REV
3,BNB,H1,SHORT,2025-08-16 22:00,2025-08-17 08:00,836.99,857.04,1000.0,100.0,0.0,NO,-23.9549,0.7226,-24.6774,REV
4,BNB,H1,LONG,2025-08-17 08:00,2025-08-18 06:00,857.04,827.0436,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
5,BNB,H1,SHORT,2025-08-18 06:00,2025-08-19 03:00,829.14,842.37,1000.0,100.0,0.0,NO,-15.9563,0.7197,-16.676,REV
6,BNB,H1,LONG,2025-08-19 03:00,2025-08-20 13:00,842.37,824.78,1000.0,100.0,0.0,NO,-20.8816,0.7065,-21.5881,REV
7,BNB,H1,SHORT,2025-08-20 13:00,2025-08-20 18:00,824.78,853.6473,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,BNB,H1,LONG,2025-08-20 20:00,2025-08-21 15:00,873.4,842.831,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,BNB,H1,SHORT,2025-08-24 12:00,2025-08-24 21:00,861.56,876.41,1000.0,100.0,0.0,NO,-17.2362,0.7202,-17.9563,REV
10,BNB,H1,LONG,2025-08-24 21:00,2025-08-25 20:00,876.41,845.73565,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
