trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,BNB,M15,SHORT,2025-08-01 00:00,2025-08-01 08:00,781.75,766.115,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,BNB,M15,SHORT,2025-08-01 00:00,2025-08-01 18:15,781.75,754.38875,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,BNB,M15,SHORT,2025-08-01 00:00,2025-08-03 13:30,781.75,750.42,340.0,34.0,0.0,NO,13.6261,0.2379,13.3882,REV
2,BNB,M15,LONG,2025-08-03 13:30,2025-08-04 14:15,750.42,765.4284,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,BNB,M15,LONG,2025-08-03 13:30,2025-08-05 13:45,750.42,757.42,670.0,67.0,0.0,NO,6.2498,0.4806,5.7692,REV
3,BNB,M15,SHORT,2025-08-05 13:45,2025-08-06 10:45,757.42,763.07,1000.0,100.0,0.0,NO,-7.4595,0.7167,-8.1762,REV
4,BNB,M15,LONG,2025-08-06 10:45,2025-08-07 10:45,763.07,778.3314,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,BNB,M15,LONG,2025-08-06 10:45,2025-08-08 00:00,763.07,789.77745,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,BNB,M15,LONG,2025-08-06 10:45,2025-08-10 07:30,763.07,799.24,340.0,34.0,0.0,NO,16.1162,0.2485,15.8677,REV
5,BNB,M15,SHORT,2025-08-10 07:30,2025-08-11 02:45,799.24,827.2134,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,BNB,M15,LONG,2025-08-11 02:45,2025-08-11 11:30,825.88,796.9742,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,BNB,M15,SHORT,2025-08-11 12:15,2025-08-11 18:45,798.08,810.17,1000.0,100.0,0.0,NO,-15.1489,0.7194,-15.8683,REV
8,BNB,M15,LONG,2025-08-11 18:45,2025-08-11 22:00,810.17,801.26,1000.0,100.0,0.0,NO,-10.9977,0.7101,-11.7078,REV
9,BNB,M15,SHORT,2025-08-11 22:00,2025-08-12 12:45,801.26,814.39,1000.0,100.0,0.0,NO,-16.3867,0.7199,-17.1065,REV
