trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,DOT,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,3.67,3.5966,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,DOT,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,3.67,3.67,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,DOT,H1,LONG,2025-08-04 22:00,2025-08-05 07:00,3.732,3.60138,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,DOT,H1,SHORT,2025-08-12 09:00,2025-08-12 13:00,3.865,4.000275,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,DOT,H1,LONG,2025-08-12 17:00,2025-08-13 09:00,4.164,4.24728,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,DOT,H1,LONG,2025-08-12 17:00,2025-08-13 13:00,4.164,4.30974,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,DOT,H1,LONG,2025-08-12 17:00,2025-08-14 12:00,4.164,4.164,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,DOT,H1,SHORT,2025-08-14 16:00,2025-08-15 15:00,3.972,3.89256,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,DOT,H1,SHORT,2025-08-14 16:00,2025-08-15 15:00,3.972,3.83298,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
5,DOT,H1,SHORT,2025-08-14 16:00,2025-08-16 15:00,3.972,3.972,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
6,DOT,H1,LONG,2025-08-22 17:00,2025-08-22 21:00,4.067,4.14834,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,DOT,H1,LONG,2025-08-22 17:00,2025-08-23 02:00,4.067,4.067,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,DOT,H1,SHORT,2025-08-25 22:00,2025-08-26 19:00,3.741,3.871935,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,DOT,H1,LONG,2025-08-29 00:00,2025-08-29 07:00,3.975,3.835875,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,DOT,H1,SHORT,2025-08-30 09:00,2025-09-01 00:00,3.783,3.70734,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,DOT,H1,SHORT,2025-08-30 09:00,2025-09-01 07:00,3.783,3.783,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,DOT,H1,LONG,2025-09-03 02:00,2025-09-05 00:00,3.83,3.758,1000.0,100.0,0.0,NO,-18.799,0.7073,-19.5062,REV
11,DOT,H1,SHORT,2025-09-05 00:00,2025-09-05 06:00,3.758,3.792,1000.0,100.0,0.0,NO,-9.0474,0.7172,-9.7646,REV
12,DOT,H1,LONG,2025-09-05 06:00,2025-09-05 12:00,3.792,3.86784,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,DOT,H1,LONG,2025-09-05 06:00,2025-09-05 14:00,3.792,3.792,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
13,DOT,H1,SHORT,2025-09-15 12:00,2025-09-17 20:00,4.162,4.30767,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
14,DOT,H1,LONG,2025-09-18 03:00,2025-09-18 10:00,4.474,4.56348,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,DOT,H1,LONG,2025-09-18 03:00,2025-09-19 00:00,4.474,4.63059,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
14,DOT,H1,LONG,2025-09-18 03:00,2025-09-19 11:00,4.474,4.474,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
15,DOT,H1,SHORT,2025-09-21 14:00,2025-09-22 00:00,4.299,4.21302,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,DOT,H1,SHORT,2025-09-21 14:00,2025-09-22 02:00,4.299,4.148535,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,DOT,H1,SHORT,2025-09-21 14:00,2025-09-29 01:00,4.299,3.965,340.0,34.0,0.0,NO,26.4154,0.2333,26.1821,REV
16,DOT,H1,LONG,2025-09-29 01:00,2025-09-30 15:00,3.965,3.826225,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
17,DOT,H1,SHORT,2025-10-05 22:00,2025-10-06 13:00,4.137,4.281795,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
18,DOT,H1,LONG,2025-10-06 16:00,2025-10-07 14:00,4.368,4.21512,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
19,DOT,H1,SHORT,2025-10-07 17:00,2025-10-08 04:00,4.152,4.06896,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,DOT,H1,SHORT,2025-10-07 17:00,2025-10-08 07:00,4.152,4.152,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
20,DOT,H1,LONG,2025-10-14 15:00,2025-10-15 08:00,3.235,3.2997,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
20,DOT,H1,LONG,2025-10-14 15:00,2025-10-15 10:00,3.235,3.235,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
21,DOT,H1,SHORT,2025-10-16 18:00,2025-10-16 19:00,3.062,3.00076,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,DOT,H1,SHORT,2025-10-16 18:00,2025-10-17 06:00,3.062,2.95483,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
21,DOT,H1,SHORT,2025-10-16 18:00,2025-10-20 03:00,3.062,3.062,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
22,DOT,H1,LONG,2025-10-20 21:00,2025-10-21 04:00,3.08,2.9722,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
23,DOT,H1,SHORT,2025-10-30 11:00,2025-10-30 12:00,2.992,2.93216,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,DOT,H1,SHORT,2025-10-30 11:00,2025-10-30 13:00,2.992,2.88728,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,DOT,H1,SHORT,2025-10-30 11:00,2025-11-02 05:00,2.992,2.992,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
