trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ENA,H1,SHORT,2025-08-01 00:00,2025-08-01 05:00,0.5928,0.580944,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,ENA,H1,SHORT,2025-08-01 00:00,2025-08-01 05:00,0.5928,0.572052,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,ENA,H1,SHORT,2025-08-01 00:00,2025-08-01 07:00,0.5928,0.5928,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
2,ENA,H1,LONG,2025-08-04 10:00,2025-08-04 13:00,0.6138,0.626076,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,ENA,H1,LONG,2025-08-04 10:00,2025-08-04 13:00,0.6138,0.635283,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,ENA,H1,LONG,2025-08-04 10:00,2025-08-04 14:00,0.6138,0.6138,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
3,ENA,H1,SHORT,2025-08-14 07:00,2025-08-14 08:00,0.735,0.7203,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,ENA,H1,SHORT,2025-08-14 07:00,2025-08-14 12:00,0.735,0.735,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,ENA,H1,LONG,2025-08-22 17:00,2025-08-22 21:00,0.7348,0.749496,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ENA,H1,LONG,2025-08-22 17:00,2025-08-23 00:00,0.7348,0.760518,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ENA,H1,LONG,2025-08-22 17:00,2025-08-23 07:00,0.7348,0.7348,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,ENA,H1,SHORT,2025-08-25 22:00,2025-08-26 12:00,0.6204,0.642114,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,ENA,H1,LONG,2025-08-29 00:00,2025-08-29 06:00,0.6707,0.647225,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,ENA,H1,SHORT,2025-09-01 04:00,2025-09-01 20:00,0.6318,0.619164,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
7,ENA,H1,SHORT,2025-09-01 04:00,2025-09-01 21:00,0.6318,0.609687,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
7,ENA,H1,SHORT,2025-09-01 04:00,2025-09-02 00:00,0.6318,0.6318,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
8,ENA,H1,LONG,2025-09-02 05:00,2025-09-02 08:00,0.6798,0.693396,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,ENA,H1,LONG,2025-09-02 05:00,2025-09-02 10:00,0.6798,0.703593,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
8,ENA,H1,LONG,2025-09-02 05:00,2025-09-02 12:00,0.6798,0.6798,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
9,ENA,H1,SHORT,2025-09-12 13:00,2025-09-12 19:00,0.7525,0.778837,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,ENA,H1,LONG,2025-09-28 23:00,2025-09-29 06:00,0.5995,0.578518,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,ENA,H1,SHORT,2025-09-30 04:00,2025-09-30 05:00,0.5564,0.545272,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,ENA,H1,SHORT,2025-09-30 04:00,2025-09-30 09:00,0.5564,0.536926,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
11,ENA,H1,SHORT,2025-09-30 04:00,2025-09-30 19:00,0.5564,0.5564,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
12,ENA,H1,LONG,2025-10-01 12:00,2025-10-02 02:00,0.5818,0.593436,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,ENA,H1,LONG,2025-10-01 12:00,2025-10-02 05:00,0.5818,0.602163,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,ENA,H1,LONG,2025-10-01 12:00,2025-10-04 15:00,0.5818,0.5818,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
13,ENA,H1,SHORT,2025-10-05 21:00,2025-10-06 05:00,0.5835,0.57183,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,ENA,H1,SHORT,2025-10-05 21:00,2025-10-06 09:00,0.5835,0.5835,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
14,ENA,H1,LONG,2025-10-15 02:00,2025-10-15 07:00,0.4408,0.449616,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
