trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ENA,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,0.5618,0.581463,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
2,ENA,M15,LONG,2025-08-01 19:15,2025-08-01 20:15,0.5972,0.576298,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,ENA,M15,SHORT,2025-08-01 22:45,2025-08-02 00:15,0.5704,0.590364,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,ENA,M15,LONG,2025-08-03 08:15,2025-08-03 12:45,0.5592,0.570384,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ENA,M15,LONG,2025-08-03 08:15,2025-08-03 13:30,0.5592,0.578772,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ENA,M15,LONG,2025-08-03 08:15,2025-08-05 00:30,0.5592,0.6063,340.0,34.0,0.0,NO,28.6373,0.253,28.3844,REV
5,ENA,M15,SHORT,2025-08-05 00:30,2025-08-05 03:00,0.6063,0.594174,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,ENA,M15,SHORT,2025-08-05 00:30,2025-08-05 03:00,0.6063,0.585079,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
5,ENA,M15,SHORT,2025-08-05 00:30,2025-08-05 13:00,0.6063,0.6063,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
6,ENA,M15,LONG,2025-08-06 15:45,2025-08-06 18:00,0.593,0.60486,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,ENA,M15,LONG,2025-08-06 15:45,2025-08-06 21:30,0.593,0.593,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,ENA,M15,SHORT,2025-08-08 07:30,2025-08-08 14:00,0.6213,0.643045,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,ENA,M15,LONG,2025-08-08 14:00,2025-08-08 15:30,0.6373,0.614994,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,ENA,M15,SHORT,2025-08-11 21:45,2025-08-12 00:15,0.784,0.81144,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,ENA,M15,LONG,2025-08-12 16:00,2025-08-12 22:00,0.8149,0.786378,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,ENA,M15,SHORT,2025-08-12 22:30,2025-08-13 00:15,0.797,0.824895,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
12,ENA,M15,LONG,2025-08-15 06:45,2025-08-15 12:00,0.7429,0.7217,1000.0,100.0,0.0,NO,-28.5368,0.7038,-29.2406,REV
13,ENA,M15,SHORT,2025-08-15 12:00,2025-08-15 14:45,0.7217,0.707266,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,ENA,M15,SHORT,2025-08-15 12:00,2025-08-15 15:00,0.7217,0.696441,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,ENA,M15,SHORT,2025-08-15 12:00,2025-08-15 22:45,0.7217,0.7217,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
14,ENA,M15,LONG,2025-08-16 15:00,2025-08-16 22:30,0.7192,0.733584,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,ENA,M15,LONG,2025-08-16 15:00,2025-08-17 04:00,0.7192,0.744372,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
14,ENA,M15,LONG,2025-08-16 15:00,2025-08-17 07:00,0.7192,0.7192,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
15,ENA,M15,SHORT,2025-08-17 17:30,2025-08-18 01:15,0.7136,0.699328,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,ENA,M15,SHORT,2025-08-17 17:30,2025-08-18 02:00,0.7136,0.688624,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,ENA,M15,SHORT,2025-08-17 17:30,2025-08-20 15:15,0.7136,0.6567,340.0,34.0,0.0,NO,27.1104,0.2331,26.8773,REV
16,ENA,M15,LONG,2025-08-20 15:15,2025-08-21 06:00,0.6567,0.6419,1000.0,100.0,0.0,NO,-22.5369,0.706,-23.2429,REV
17,ENA,M15,SHORT,2025-08-21 06:00,2025-08-21 09:00,0.6419,0.629062,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,ENA,M15,SHORT,2025-08-21 06:00,2025-08-21 14:15,0.6419,0.6419,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
18,ENA,M15,LONG,2025-08-22 04:30,2025-08-22 07:30,0.6486,0.661572,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
18,ENA,M15,LONG,2025-08-22 04:30,2025-08-22 09:15,0.6486,0.6486,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
19,ENA,M15,SHORT,2025-08-23 21:45,2025-08-24 02:45,0.7367,0.721966,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,ENA,M15,SHORT,2025-08-23 21:45,2025-08-24 05:00,0.7367,0.710916,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
19,ENA,M15,SHORT,2025-08-23 21:45,2025-08-26 20:15,0.7367,0.6415,340.0,34.0,0.0,NO,43.9365,0.2271,43.7094,REV
20,ENA,M15,LONG,2025-08-26 20:15,2025-08-27 00:45,0.6415,0.619047,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
21,ENA,M15,SHORT,2025-08-27 01:45,2025-08-27 20:00,0.6187,0.606326,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,ENA,M15,SHORT,2025-08-27 01:45,2025-08-27 20:15,0.6187,0.6187,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
22,ENA,M15,LONG,2025-08-28 05:00,2025-08-28 11:45,0.6338,0.646476,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
22,ENA,M15,LONG,2025-08-28 05:00,2025-08-28 11:45,0.6338,0.655983,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
22,ENA,M15,LONG,2025-08-28 05:00,2025-08-29 10:00,0.6338,0.6515,340.0,34.0,0.0,NO,9.4951,0.2461,9.249,REV
23,ENA,M15,SHORT,2025-08-29 10:00,2025-08-29 14:00,0.6515,0.63847,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,ENA,M15,SHORT,2025-08-29 10:00,2025-08-29 15:00,0.6515,0.6515,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
24,ENA,M15,LONG,2025-08-30 05:30,2025-08-30 06:30,0.6587,0.671874,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
24,ENA,M15,LONG,2025-08-30 05:30,2025-08-30 06:30,0.6587,0.681754,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
24,ENA,M15,LONG,2025-08-30 05:30,2025-08-30 13:00,0.6587,0.6587,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
25,ENA,M15,SHORT,2025-08-31 23:15,2025-09-01 00:00,0.6486,0.635628,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
25,ENA,M15,SHORT,2025-08-31 23:15,2025-09-01 06:00,0.6486,0.625899,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
25,ENA,M15,SHORT,2025-08-31 23:15,2025-09-01 08:00,0.6486,0.6486,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
26,ENA,M15,LONG,2025-09-02 01:45,2025-09-02 02:45,0.6463,0.659226,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
26,ENA,M15,LONG,2025-09-02 01:45,2025-09-02 02:45,0.6463,0.66892,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
26,ENA,M15,LONG,2025-09-02 01:45,2025-09-04 08:00,0.6463,0.7105,340.0,34.0,0.0,NO,33.7738,0.2548,33.519,REV
27,ENA,M15,SHORT,2025-09-04 08:00,2025-09-04 12:30,0.7105,0.69629,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
27,ENA,M15,SHORT,2025-09-04 08:00,2025-09-04 14:45,0.7105,0.685632,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
27,ENA,M15,SHORT,2025-09-04 08:00,2025-09-05 13:30,0.7105,0.6843,340.0,34.0,0.0,NO,12.5376,0.2383,12.2994,REV
28,ENA,M15,LONG,2025-09-05 13:30,2025-09-05 14:30,0.6843,0.66035,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
29,ENA,M15,SHORT,2025-09-06 22:00,2025-09-07 03:15,0.7318,0.75,1000.0,100.0,0.0,NO,-24.8702,0.7229,-25.5931,REV
30,ENA,M15,LONG,2025-09-07 03:15,2025-09-07 08:00,0.75,0.7327,1000.0,100.0,0.0,NO,-23.0667,0.7058,-23.7724,REV
31,ENA,M15,SHORT,2025-09-07 08:00,2025-09-07 16:45,0.7327,0.7436,1000.0,100.0,0.0,NO,-14.8765,0.7193,-15.5958,REV
32,ENA,M15,LONG,2025-09-07 16:45,2025-09-08 03:30,0.7436,0.758472,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
32,ENA,M15,LONG,2025-09-07 16:45,2025-09-08 03:30,0.7436,0.769626,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
32,ENA,M15,LONG,2025-09-07 16:45,2025-09-10 04:45,0.7436,0.8031,340.0,34.0,0.0,NO,27.2055,0.2525,26.953,REV
