trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ETH,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,3680.01,3606.4098,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,ETH,H1,SHORT,2025-08-01 00:00,2025-08-01 18:00,3680.01,3551.20965,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,ETH,H1,SHORT,2025-08-01 00:00,2025-08-04 16:00,3680.01,3680.01,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
2,ETH,H1,LONG,2025-08-04 23:00,2025-08-05 14:00,3719.42,3589.2403,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,ETH,H1,SHORT,2025-08-16 09:00,2025-08-17 09:00,4395.41,4549.24935,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,ETH,H1,LONG,2025-08-22 15:00,2025-08-22 16:00,4613.93,4706.2086,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ETH,H1,LONG,2025-08-22 15:00,2025-08-22 16:00,4613.93,4775.41755,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ETH,H1,LONG,2025-08-22 15:00,2025-08-25 07:00,4613.93,4613.93,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,ETH,H1,SHORT,2025-08-26 05:00,2025-08-26 19:00,4428.18,4583.1663,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,ETH,H1,LONG,2025-09-02 06:00,2025-09-02 19:00,4410.38,4256.0167,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,ETH,H1,SHORT,2025-09-02 20:00,2025-09-03 14:00,4311.05,4461.93675,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,ETH,H1,LONG,2025-09-05 10:00,2025-09-05 15:00,4408.31,4254.01915,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,ETH,H1,SHORT,2025-09-05 18:00,2025-09-06 16:00,4310.39,4224.1822,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,ETH,H1,SHORT,2025-09-05 18:00,2025-09-07 08:00,4310.39,4310.39,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,ETH,H1,LONG,2025-09-10 12:00,2025-09-11 12:00,4369.27,4456.6554,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,ETH,H1,LONG,2025-09-10 12:00,2025-09-12 00:00,4369.27,4522.19445,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
10,ETH,H1,LONG,2025-09-10 12:00,2025-09-16 06:00,4369.27,4506.57,340.0,34.0,0.0,NO,10.6842,0.2466,10.4376,REV
11,ETH,H1,SHORT,2025-09-16 06:00,2025-09-17 18:00,4506.57,4416.4386,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,ETH,H1,SHORT,2025-09-16 06:00,2025-09-17 19:00,4506.57,4506.57,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,ETH,H1,LONG,2025-09-19 00:00,2025-09-19 15:00,4607.48,4446.2182,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
13,ETH,H1,SHORT,2025-09-19 18:00,2025-09-22 00:00,4446.67,4357.7366,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,ETH,H1,SHORT,2025-09-19 18:00,2025-09-22 02:00,4446.67,4291.03655,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,ETH,H1,SHORT,2025-09-19 18:00,2025-09-28 22:00,4446.67,4130.47,340.0,34.0,0.0,NO,24.1772,0.2341,23.9431,REV
14,ETH,H1,LONG,2025-09-28 22:00,2025-09-29 20:00,4130.47,4213.0794,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,ETH,H1,LONG,2025-09-28 22:00,2025-09-30 14:00,4130.47,4130.47,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
15,ETH,H1,SHORT,2025-10-08 18:00,2025-10-09 02:00,4521.42,4430.9916,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,ETH,H1,SHORT,2025-10-08 18:00,2025-10-09 08:00,4521.42,4363.1703,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,ETH,H1,SHORT,2025-10-08 18:00,2025-10-14 15:00,4521.42,4083.25,340.0,34.0,0.0,NO,32.9493,0.231,32.7183,REV
16,ETH,H1,LONG,2025-10-14 15:00,2025-10-15 08:00,4083.25,4164.915,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,ETH,H1,LONG,2025-10-14 15:00,2025-10-15 12:00,4083.25,4083.25,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
17,ETH,H1,SHORT,2025-10-16 08:00,2025-10-16 15:00,3992.62,3912.7676,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,ETH,H1,SHORT,2025-10-16 08:00,2025-10-16 19:00,3992.62,3852.8783,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
17,ETH,H1,SHORT,2025-10-16 08:00,2025-10-19 14:00,3992.62,3992.62,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
18,ETH,H1,LONG,2025-10-20 07:00,2025-10-21 04:00,4053.36,3911.4924,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
19,ETH,H1,SHORT,2025-10-22 21:00,2025-10-23 06:00,3742.54,3873.5289,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
20,ETH,H1,LONG,2025-10-25 22:00,2025-10-26 11:00,3959.7,4038.894,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
20,ETH,H1,LONG,2025-10-25 22:00,2025-10-26 22:00,3959.7,4098.2895,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
20,ETH,H1,LONG,2025-10-25 22:00,2025-10-28 20:00,3959.7,3959.7,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
21,ETH,H1,SHORT,2025-10-30 02:00,2025-10-30 04:00,3943.95,3865.071,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,ETH,H1,SHORT,2025-10-30 02:00,2025-10-30 12:00,3943.95,3805.91175,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
21,ETH,H1,SHORT,2025-10-30 02:00,2025-11-08 08:00,3943.95,3453.28,340.0,34.0,0.0,NO,42.2997,0.2277,42.072,REV
22,ETH,H1,LONG,2025-11-08 08:00,2025-11-09 14:00,3453.28,3522.3456,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
22,ETH,H1,LONG,2025-11-08 08:00,2025-11-09 19:00,3453.28,3574.1448,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
22,ETH,H1,LONG,2025-11-08 08:00,2025-11-11 17:00,3453.28,3453.28,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
23,ETH,H1,SHORT,2025-11-13 12:00,2025-11-13 13:00,3499.65,3429.657,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,ETH,H1,SHORT,2025-11-13 12:00,2025-11-13 15:00,3499.65,3377.16225,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,ETH,H1,SHORT,2025-11-13 12:00,2025-11-24 18:00,3499.65,2955.68,340.0,34.0,0.0,NO,52.8481,0.2239,52.6242,REV
24,ETH,H1,LONG,2025-11-24 18:00,2025-11-26 17:00,2955.68,3014.7936,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
24,ETH,H1,LONG,2025-11-24 18:00,2025-11-27 02:00,2955.68,3059.1288,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
24,ETH,H1,LONG,2025-11-24 18:00,2025-12-01 00:00,2955.68,2955.68,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
25,ETH,H1,SHORT,2025-12-01 00:00,2025-12-01 15:00,2834.82,2778.1236,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
25,ETH,H1,SHORT,2025-12-01 00:00,2025-12-01 15:00,2834.82,2735.6013,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
25,ETH,H1,SHORT,2025-12-01 00:00,2025-12-02 13:00,2834.82,2834.82,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
26,ETH,H1,LONG,2025-12-03 06:00,2025-12-03 14:00,3065.36,3126.6672,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
26,ETH,H1,LONG,2025-12-03 06:00,2025-12-03 15:00,3065.36,3065.36,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
27,ETH,H1,SHORT,2025-12-07 07:00,2025-12-07 14:00,3035.91,2975.1918,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
27,ETH,H1,SHORT,2025-12-07 07:00,2025-12-07 14:00,3035.91,2929.65315,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
27,ETH,H1,SHORT,2025-12-07 07:00,2025-12-07 15:00,3035.91,3035.91,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
28,ETH,H1,LONG,2025-12-09 07:00,2025-12-09 15:00,3121.57,3184.0014,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
28,ETH,H1,LONG,2025-12-09 07:00,2025-12-09 15:00,3121.57,3230.82495,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
28,ETH,H1,LONG,2025-12-09 07:00,2025-12-12 15:00,3121.57,3121.57,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
29,ETH,H1,SHORT,2025-12-12 20:00,2025-12-15 15:00,3079.96,3018.3608,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
29,ETH,H1,SHORT,2025-12-12 20:00,2025-12-15 16:00,3079.96,2972.1614,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
29,ETH,H1,SHORT,2025-12-12 20:00,2025-12-19 21:00,3079.96,2976.4,340.0,34.0,0.0,NO,11.4321,0.2387,11.1934,REV
30,ETH,H1,LONG,2025-12-19 21:00,2025-12-22 00:00,2976.4,3035.928,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
30,ETH,H1,LONG,2025-12-19 21:00,2025-12-22 02:00,2976.4,2976.4,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
31,ETH,H1,SHORT,2025-12-23 17:00,2025-12-29 02:00,2909.4,3011.229,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
32,ETH,H1,LONG,2025-12-29 02:00,2025-12-29 19:00,3002.68,2930.88,1000.0,100.0,0.0,NO,-23.912,0.7055,-24.6174,REV
33,ETH,H1,SHORT,2025-12-29 19:00,2025-12-30 09:00,2930.88,2984.55,1000.0,100.0,0.0,NO,-18.3119,0.7205,-19.0324,REV
34,ETH,H1,LONG,2025-12-30 09:00,2026-01-02 09:00,2984.55,3044.241,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
34,ETH,H1,LONG,2025-12-30 09:00,2026-01-02 14:00,2984.55,3089.00925,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
34,ETH,H1,LONG,2025-12-30 09:00,2026-01-08 13:00,2984.55,3095.33,340.0,34.0,0.0,NO,12.6201,0.2473,12.3728,REV
35,ETH,H1,SHORT,2026-01-08 13:00,2026-01-12 03:00,3095.33,3151.18,1000.0,100.0,0.0,NO,-18.0433,0.7204,-18.7638,REV
36,ETH,H1,LONG,2026-01-12 03:00,2026-01-13 18:00,3151.18,3214.2036,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
36,ETH,H1,LONG,2026-01-12 03:00,2026-01-13 22:00,3151.18,3261.4713,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
36,ETH,H1,LONG,2026-01-12 03:00,2026-01-18 07:00,3151.18,3305.66,340.0,34.0,0.0,NO,16.6678,0.2487,16.4191,REV
37,ETH,H1,SHORT,2026-01-18 07:00,2026-01-18 18:00,3305.66,3360.66,1000.0,100.0,0.0,NO,-16.6381,0.7199,-17.3581,REV
38,ETH,H1,LONG,2026-01-18 18:00,2026-01-19 00:00,3360.66,3243.0369,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
39,ETH,H1,SHORT,2026-01-19 00:00,2026-01-20 06:00,3210.67,3146.4566,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
39,ETH,H1,SHORT,2026-01-19 00:00,2026-01-20 08:00,3210.67,3098.29655,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
39,ETH,H1,SHORT,2026-01-19 00:00,2026-01-27 22:00,3210.67,3018.01,340.0,34.0,0.0,NO,20.4021,0.2355,20.1666,REV
40,ETH,H1,LONG,2026-01-27 22:00,2026-01-29 14:00,3018.01,2912.37965,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
41,ETH,H1,SHORT,2026-01-29 18:00,2026-01-30 01:00,2762.34,2707.0932,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
41,ETH,H1,SHORT,2026-01-29 18:00,2026-01-30 04:00,2762.34,2762.34,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
42,ETH,H1,LONG,2026-02-09 06:00,2026-02-09 17:00,2080.37,2121.9774,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
42,ETH,H1,LONG,2026-02-09 06:00,2026-02-10 03:00,2080.37,2080.37,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
