trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,ETH,M15,SHORT,2025-08-01 00:00,2025-08-01 08:30,3656.88,3583.7424,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,ETH,M15,SHORT,2025-08-01 00:00,2025-08-01 12:00,3656.88,3656.88,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,ETH,M15,LONG,2025-08-03 13:30,2025-08-04 01:00,3487.69,3557.4438,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,ETH,M15,LONG,2025-08-03 13:30,2025-08-04 13:45,3487.69,3609.75915,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,ETH,M15,LONG,2025-08-03 13:30,2025-08-05 13:45,3487.69,3645.29,340.0,34.0,0.0,NO,15.3638,0.2482,15.1155,REV
3,ETH,M15,SHORT,2025-08-05 13:45,2025-08-05 14:15,3645.29,3572.3842,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,ETH,M15,SHORT,2025-08-05 13:45,2025-08-06 05:30,3645.29,3645.29,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,ETH,M15,LONG,2025-08-06 12:15,2025-08-06 15:45,3595.37,3667.2774,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,ETH,M15,LONG,2025-08-06 12:15,2025-08-07 08:00,3595.37,3721.20795,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,ETH,M15,LONG,2025-08-06 12:15,2025-08-10 17:45,3595.37,4222.9,340.0,34.0,0.0,NO,59.343,0.2639,59.0791,REV
5,ETH,M15,SHORT,2025-08-10 17:45,2025-08-11 01:15,4222.9,4290.66,1000.0,100.0,0.0,NO,-16.0458,0.7197,-16.7656,REV
6,ETH,M15,LONG,2025-08-11 01:15,2025-08-11 12:30,4290.66,4172.16,1000.0,100.0,0.0,NO,-27.6181,0.7041,-28.3223,REV
7,ETH,M15,SHORT,2025-08-11 12:30,2025-08-11 14:30,4172.16,4318.1856,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,ETH,M15,LONG,2025-08-11 14:30,2025-08-11 16:00,4282.29,4367.9358,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,ETH,M15,LONG,2025-08-11 14:30,2025-08-11 17:15,4282.29,4282.29,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
9,ETH,M15,SHORT,2025-08-11 22:00,2025-08-12 07:30,4203.19,4315.63,1000.0,100.0,0.0,NO,-26.7511,0.7236,-27.4747,REV
10,ETH,M15,LONG,2025-08-12 07:30,2025-08-12 12:30,4315.63,4401.9426,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
