trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,INJ,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,13.052,12.79096,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,INJ,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,13.052,13.052,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,INJ,H1,LONG,2025-08-04 18:00,2025-08-04 20:00,13.383,13.65066,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,INJ,H1,LONG,2025-08-04 18:00,2025-08-04 21:00,13.383,13.851405,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,INJ,H1,LONG,2025-08-04 18:00,2025-08-05 03:00,13.383,13.383,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
3,INJ,H1,SHORT,2025-08-11 22:00,2025-08-12 12:00,13.592,14.06772,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,INJ,H1,LONG,2025-08-13 05:00,2025-08-13 09:00,14.809,15.10518,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,INJ,H1,LONG,2025-08-13 05:00,2025-08-13 10:00,14.809,15.327315,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,INJ,H1,LONG,2025-08-13 05:00,2025-08-14 21:00,14.809,14.809,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,INJ,H1,SHORT,2025-08-16 09:00,2025-08-16 20:00,14.204,14.70114,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,INJ,H1,LONG,2025-08-22 18:00,2025-08-23 02:00,14.849,14.329285,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,INJ,H1,SHORT,2025-08-25 21:00,2025-08-26 12:00,12.753,13.199355,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,INJ,H1,LONG,2025-08-28 22:00,2025-08-29 04:00,14.123,13.628695,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,INJ,H1,SHORT,2025-08-30 03:00,2025-08-31 10:00,13.032,12.77136,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,INJ,H1,SHORT,2025-08-30 03:00,2025-08-31 18:00,13.032,13.032,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,INJ,H1,LONG,2025-09-03 11:00,2025-09-04 11:00,13.191,12.729315,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,INJ,H1,SHORT,2025-09-04 21:00,2025-09-05 11:00,12.559,12.858,1000.0,100.0,0.0,NO,-23.8076,0.7225,-24.5301,REV
12,INJ,H1,LONG,2025-09-05 11:00,2025-09-05 13:00,12.858,13.11516,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,INJ,H1,LONG,2025-09-05 11:00,2025-09-05 14:00,12.858,12.858,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
