trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,INJ,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,13.083,12.82134,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,INJ,M15,SHORT,2025-08-01 00:00,2025-08-01 01:00,13.083,13.083,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,INJ,M15,LONG,2025-08-03 11:15,2025-08-03 18:15,12.655,12.9081,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,INJ,M15,LONG,2025-08-03 11:15,2025-08-03 19:15,12.655,13.097925,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,INJ,M15,LONG,2025-08-03 11:15,2025-08-05 15:00,12.655,13.305,340.0,34.0,0.0,NO,17.4635,0.249,17.2145,REV
3,INJ,M15,SHORT,2025-08-05 15:00,2025-08-05 15:30,13.305,13.0389,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,INJ,M15,SHORT,2025-08-05 15:00,2025-08-05 21:45,13.305,12.839325,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
3,INJ,M15,SHORT,2025-08-05 15:00,2025-08-06 19:30,13.305,12.977,340.0,34.0,0.0,NO,8.3818,0.2398,8.142,REV
4,INJ,M15,LONG,2025-08-06 19:30,2025-08-07 05:30,12.977,12.841,1000.0,100.0,0.0,NO,-10.4801,0.7103,-11.1903,REV
5,INJ,M15,SHORT,2025-08-07 05:30,2025-08-07 09:30,12.841,13.036,1000.0,100.0,0.0,NO,-15.1857,0.7194,-15.9052,REV
6,INJ,M15,LONG,2025-08-07 09:30,2025-08-07 10:15,13.036,13.29672,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,INJ,M15,LONG,2025-08-07 09:30,2025-08-07 11:00,13.036,13.49226,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,INJ,M15,LONG,2025-08-07 09:30,2025-08-10 03:15,13.036,14.53,340.0,34.0,0.0,NO,38.9659,0.2567,38.7093,REV
7,INJ,M15,SHORT,2025-08-10 03:15,2025-08-10 07:30,14.53,14.2394,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
7,INJ,M15,SHORT,2025-08-10 03:15,2025-08-10 08:00,14.53,14.02145,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
7,INJ,M15,SHORT,2025-08-10 03:15,2025-08-11 01:15,14.53,14.53,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
8,INJ,M15,LONG,2025-08-11 02:45,2025-08-11 07:45,14.878,14.35727,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,INJ,M15,SHORT,2025-08-11 12:00,2025-08-11 16:00,13.868,14.35338,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,INJ,M15,LONG,2025-08-12 15:00,2025-08-12 17:00,14.31,14.5962,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
