trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,LINK,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,16.811,16.47478,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,LINK,H1,SHORT,2025-08-01 00:00,2025-08-01 13:00,16.811,16.222615,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,LINK,H1,SHORT,2025-08-01 00:00,2025-08-04 13:00,16.811,16.811,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
2,LINK,H1,LONG,2025-08-04 21:00,2025-08-05 07:00,17.076,16.47834,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,LINK,H1,SHORT,2025-08-16 04:00,2025-08-16 12:00,21.85,21.413,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,LINK,H1,SHORT,2025-08-16 04:00,2025-08-16 13:00,21.85,21.85,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,LINK,H1,LONG,2025-08-17 08:00,2025-08-17 14:00,24.656,25.14912,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,LINK,H1,LONG,2025-08-17 08:00,2025-08-17 14:00,24.656,25.51896,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,LINK,H1,LONG,2025-08-17 08:00,2025-08-18 02:00,24.656,24.656,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,LINK,H1,SHORT,2025-08-22 10:00,2025-08-22 12:00,24.663,24.16974,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,LINK,H1,SHORT,2025-08-22 10:00,2025-08-22 13:00,24.663,24.663,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
6,LINK,H1,LONG,2025-08-22 16:00,2025-08-23 01:00,27.403,26.443895,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,LINK,H1,SHORT,2025-08-24 11:00,2025-08-24 18:00,25.473,26.364555,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,LINK,H1,LONG,2025-09-08 12:00,2025-09-09 06:00,23.117,23.57934,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,LINK,H1,LONG,2025-09-08 12:00,2025-09-09 14:00,23.117,23.117,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
9,LINK,H1,SHORT,2025-09-15 11:00,2025-09-17 12:00,23.408,22.93984,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,LINK,H1,SHORT,2025-09-15 11:00,2025-09-17 19:00,23.408,23.408,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,LINK,H1,LONG,2025-09-18 16:00,2025-09-19 14:00,24.411,23.556615,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,LINK,H1,SHORT,2025-09-20 10:00,2025-09-22 00:00,23.14,22.6772,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,LINK,H1,SHORT,2025-09-20 10:00,2025-09-22 00:00,23.14,22.3301,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
11,LINK,H1,SHORT,2025-09-20 10:00,2025-09-28 23:00,23.14,21.668,340.0,34.0,0.0,NO,21.6283,0.235,21.3933,REV
12,LINK,H1,LONG,2025-09-28 23:00,2025-09-29 13:00,21.668,20.90962,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
13,LINK,H1,SHORT,2025-10-05 19:00,2025-10-06 00:00,21.936,21.49728,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,LINK,H1,SHORT,2025-10-05 19:00,2025-10-06 01:00,21.936,21.936,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
14,LINK,H1,LONG,2025-10-06 18:00,2025-10-07 08:00,23.406,22.58679,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
15,LINK,H1,SHORT,2025-10-10 15:00,2025-10-10 18:00,21.365,20.9377,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,LINK,H1,SHORT,2025-10-10 15:00,2025-10-10 19:00,21.365,20.617225,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
