trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,NEAR,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,2.514,2.46372,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,NEAR,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,2.514,2.514,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,NEAR,H1,LONG,2025-08-04 21:00,2025-08-05 07:00,2.552,2.46268,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,NEAR,H1,SHORT,2025-08-11 23:00,2025-08-12 14:00,2.6,2.691,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,NEAR,H1,LONG,2025-08-13 10:00,2025-08-13 19:00,2.915,2.9733,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,NEAR,H1,LONG,2025-08-13 10:00,2025-08-13 22:00,2.915,3.017025,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,NEAR,H1,LONG,2025-08-13 10:00,2025-08-14 11:00,2.915,2.915,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,NEAR,H1,SHORT,2025-08-16 09:00,2025-08-17 11:00,2.696,2.79036,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,NEAR,H1,LONG,2025-08-22 18:00,2025-08-24 11:00,2.673,2.579445,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,NEAR,H1,SHORT,2025-08-25 22:00,2025-08-26 12:00,2.391,2.474685,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,NEAR,H1,LONG,2025-09-03 21:00,2025-09-04 09:00,2.483,2.396095,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,NEAR,H1,SHORT,2025-09-05 00:00,2025-09-05 07:00,2.369,2.429,1000.0,100.0,0.0,NO,-25.3271,0.723,-26.0502,REV
10,NEAR,H1,LONG,2025-09-05 07:00,2025-09-05 13:00,2.429,2.47758,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,NEAR,H1,LONG,2025-09-05 07:00,2025-09-05 14:00,2.429,2.429,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
11,NEAR,H1,SHORT,2025-09-06 13:00,2025-09-07 15:00,2.392,2.47572,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
12,NEAR,H1,LONG,2025-09-07 20:00,2025-09-08 09:00,2.465,2.5143,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,NEAR,H1,LONG,2025-09-07 20:00,2025-09-08 15:00,2.465,2.551275,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,NEAR,H1,LONG,2025-09-07 20:00,2025-09-14 15:00,2.465,2.687,340.0,34.0,0.0,NO,30.6207,0.2537,30.367,REV
13,NEAR,H1,SHORT,2025-09-14 15:00,2025-09-15 08:00,2.687,2.63326,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,NEAR,H1,SHORT,2025-09-14 15:00,2025-09-15 15:00,2.687,2.592955,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,NEAR,H1,SHORT,2025-09-14 15:00,2025-09-16 08:00,2.687,2.687,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
14,NEAR,H1,LONG,2025-09-18 00:00,2025-09-18 03:00,2.81,2.8662,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,NEAR,H1,LONG,2025-09-18 00:00,2025-09-18 04:00,2.81,2.90835,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
14,NEAR,H1,LONG,2025-09-18 00:00,2025-09-22 06:00,2.81,2.81,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
15,NEAR,H1,SHORT,2025-09-22 06:00,2025-09-22 08:00,2.875,2.8175,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,NEAR,H1,SHORT,2025-09-22 06:00,2025-09-22 10:00,2.875,2.875,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
16,NEAR,H1,LONG,2025-09-29 20:00,2025-09-30 01:00,2.817,2.718405,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
17,NEAR,H1,SHORT,2025-09-30 08:00,2025-09-30 13:00,2.67,2.6166,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,NEAR,H1,SHORT,2025-09-30 08:00,2025-09-30 15:00,2.67,2.57655,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
17,NEAR,H1,SHORT,2025-09-30 08:00,2025-10-01 01:00,2.67,2.67,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
18,NEAR,H1,LONG,2025-10-01 12:00,2025-10-01 15:00,2.781,2.83662,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
18,NEAR,H1,LONG,2025-10-01 12:00,2025-10-02 01:00,2.781,2.878335,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
18,NEAR,H1,LONG,2025-10-01 12:00,2025-10-07 18:00,2.781,2.913,340.0,34.0,0.0,NO,16.1381,0.2485,15.8896,REV
19,NEAR,H1,SHORT,2025-10-07 18:00,2025-10-08 18:00,2.913,3.014955,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
20,NEAR,H1,LONG,2025-10-10 13:00,2025-10-10 15:00,3.175,3.063875,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
21,NEAR,H1,SHORT,2025-10-10 20:00,2025-10-10 21:00,2.784,2.72832,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,NEAR,H1,SHORT,2025-10-10 20:00,2025-10-10 21:00,2.784,2.68656,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
21,NEAR,H1,SHORT,2025-10-10 20:00,2025-10-15 07:00,2.784,2.473,340.0,34.0,0.0,NO,37.9813,0.2292,37.7521,REV
22,NEAR,H1,LONG,2025-10-15 07:00,2025-10-15 12:00,2.473,2.386445,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
23,NEAR,H1,SHORT,2025-10-16 07:00,2025-10-16 09:00,2.319,2.27262,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,NEAR,H1,SHORT,2025-10-16 07:00,2025-10-16 09:00,2.319,2.237835,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,NEAR,H1,SHORT,2025-10-16 07:00,2025-10-16 10:00,2.319,2.319,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
