trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,NEAR,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,2.505,2.4549,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,NEAR,M15,SHORT,2025-08-01 00:00,2025-08-01 01:00,2.505,2.505,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,NEAR,M15,LONG,2025-08-03 10:15,2025-08-04 00:30,2.422,2.47044,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,NEAR,M15,LONG,2025-08-03 10:15,2025-08-04 13:30,2.422,2.50677,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,NEAR,M15,LONG,2025-08-03 10:15,2025-08-05 08:15,2.422,2.456,340.0,34.0,0.0,NO,4.7729,0.2445,4.5285,REV
3,NEAR,M15,SHORT,2025-08-05 08:15,2025-08-05 10:30,2.456,2.53,1000.0,100.0,0.0,NO,-30.1303,0.7248,-30.855,REV
4,NEAR,M15,LONG,2025-08-05 10:30,2025-08-05 14:15,2.53,2.489,1000.0,100.0,0.0,NO,-16.2055,0.7082,-16.9137,REV
5,NEAR,M15,SHORT,2025-08-05 14:15,2025-08-05 18:15,2.489,2.43922,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,NEAR,M15,SHORT,2025-08-05 14:15,2025-08-05 22:00,2.489,2.401885,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
5,NEAR,M15,SHORT,2025-08-05 14:15,2025-08-06 07:45,2.489,2.489,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
6,NEAR,M15,LONG,2025-08-06 15:00,2025-08-07 10:15,2.493,2.54286,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,NEAR,M15,LONG,2025-08-06 15:00,2025-08-07 10:30,2.493,2.580255,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,NEAR,M15,LONG,2025-08-06 15:00,2025-08-10 06:45,2.493,2.775,340.0,34.0,0.0,NO,38.4597,0.2565,38.2032,REV
7,NEAR,M15,SHORT,2025-08-10 06:45,2025-08-10 08:00,2.775,2.7195,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
7,NEAR,M15,SHORT,2025-08-10 06:45,2025-08-10 14:30,2.775,2.775,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
8,NEAR,M15,LONG,2025-08-11 04:00,2025-08-11 10:15,2.822,2.72323,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,NEAR,M15,SHORT,2025-08-11 11:15,2025-08-11 21:30,2.672,2.61856,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,NEAR,M15,SHORT,2025-08-11 11:15,2025-08-11 22:15,2.672,2.57848,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
9,NEAR,M15,SHORT,2025-08-11 11:15,2025-08-12 12:30,2.672,2.672,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
10,NEAR,M15,LONG,2025-08-12 15:15,2025-08-12 17:15,2.714,2.76828,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,NEAR,M15,LONG,2025-08-12 15:15,2025-08-12 20:15,2.714,2.80899,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
10,NEAR,M15,LONG,2025-08-12 15:15,2025-08-14 12:45,2.714,2.785,340.0,34.0,0.0,NO,8.8946,0.2459,8.6487,REV
11,NEAR,M15,SHORT,2025-08-14 12:45,2025-08-14 21:15,2.785,2.7293,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,NEAR,M15,SHORT,2025-08-14 12:45,2025-08-15 00:45,2.785,2.785,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,NEAR,M15,LONG,2025-08-16 13:15,2025-08-17 08:45,2.721,2.77542,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,NEAR,M15,LONG,2025-08-16 13:15,2025-08-17 15:45,2.721,2.816235,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,NEAR,M15,LONG,2025-08-16 13:15,2025-08-17 18:45,2.721,2.721,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
13,NEAR,M15,SHORT,2025-08-18 00:45,2025-08-18 01:30,2.686,2.63228,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,NEAR,M15,SHORT,2025-08-18 00:45,2025-08-18 02:30,2.686,2.59199,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,NEAR,M15,SHORT,2025-08-18 00:45,2025-08-20 15:30,2.686,2.514,340.0,34.0,0.0,NO,21.7722,0.235,21.5372,REV
