trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,SEI,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,0.2895,0.28371,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,SEI,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,0.2895,0.2895,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,SEI,H1,LONG,2025-08-04 17:00,2025-08-05 07:00,0.302,0.29143,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,SEI,H1,SHORT,2025-08-12 09:00,2025-08-12 12:00,0.3026,0.313191,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,SEI,H1,LONG,2025-08-13 11:00,2025-08-13 12:00,0.3456,0.352512,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,SEI,H1,LONG,2025-08-13 11:00,2025-08-13 13:00,0.3456,0.357696,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,SEI,H1,LONG,2025-08-13 11:00,2025-08-13 15:00,0.3456,0.3456,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,SEI,H1,SHORT,2025-08-16 12:00,2025-08-17 04:00,0.3197,0.330889,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,SEI,H1,LONG,2025-08-22 20:00,2025-08-23 02:00,0.3262,0.314783,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,SEI,H1,SHORT,2025-08-25 21:00,2025-08-26 07:00,0.2807,0.290524,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,SEI,H1,LONG,2025-08-29 00:00,2025-08-29 07:00,0.3038,0.293167,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,SEI,H1,SHORT,2025-08-30 03:00,2025-09-01 00:00,0.2887,0.282926,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,SEI,H1,SHORT,2025-08-30 03:00,2025-09-01 02:00,0.2887,0.278595,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
9,SEI,H1,SHORT,2025-08-30 03:00,2025-09-01 09:00,0.2887,0.2887,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
10,SEI,H1,LONG,2025-09-05 06:00,2025-09-05 07:00,0.2853,0.291006,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,SEI,H1,LONG,2025-09-05 06:00,2025-09-05 12:00,0.2853,0.295285,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
10,SEI,H1,LONG,2025-09-05 06:00,2025-09-06 10:00,0.2853,0.2853,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
11,SEI,H1,SHORT,2025-09-15 10:00,2025-09-15 15:00,0.3191,0.312718,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,SEI,H1,SHORT,2025-09-15 10:00,2025-09-15 21:00,0.3191,0.3191,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,SEI,H1,LONG,2025-09-18 17:00,2025-09-19 02:00,0.3426,0.349452,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,SEI,H1,LONG,2025-09-18 17:00,2025-09-19 03:00,0.3426,0.3426,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
13,SEI,H1,SHORT,2025-09-21 12:00,2025-09-22 00:00,0.3156,0.309288,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,SEI,H1,SHORT,2025-09-21 12:00,2025-09-22 00:00,0.3156,0.304554,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,SEI,H1,SHORT,2025-09-21 12:00,2025-09-29 09:00,0.3156,0.2802,340.0,34.0,0.0,NO,38.1369,0.2291,37.9077,REV
14,SEI,H1,LONG,2025-09-29 09:00,2025-09-30 09:00,0.2802,0.2729,1000.0,100.0,0.0,NO,-26.0528,0.7047,-26.7575,REV
15,SEI,H1,SHORT,2025-09-30 09:00,2025-09-30 15:00,0.2729,0.267442,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,SEI,H1,SHORT,2025-09-30 09:00,2025-09-30 19:00,0.2729,0.2729,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
16,SEI,H1,LONG,2025-10-01 10:00,2025-10-01 12:00,0.2874,0.293148,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,SEI,H1,LONG,2025-10-01 10:00,2025-10-01 15:00,0.2874,0.297459,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
16,SEI,H1,LONG,2025-10-01 10:00,2025-10-04 14:00,0.2874,0.2874,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
17,SEI,H1,SHORT,2025-10-05 18:00,2025-10-06 13:00,0.2908,0.300978,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
18,SEI,H1,LONG,2025-10-06 17:00,2025-10-07 08:00,0.3046,0.293939,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
19,SEI,H1,SHORT,2025-10-07 18:00,2025-10-08 04:00,0.2853,0.279594,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,SEI,H1,SHORT,2025-10-07 18:00,2025-10-08 12:00,0.2853,0.2853,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
20,SEI,H1,LONG,2025-10-15 08:00,2025-10-15 13:00,0.2268,0.218862,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
21,SEI,H1,SHORT,2025-10-16 07:00,2025-10-16 09:00,0.2158,0.211484,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,SEI,H1,SHORT,2025-10-16 07:00,2025-10-16 09:00,0.2158,0.208247,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
