trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,SOL,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,170.24,166.8352,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,SOL,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,170.24,170.24,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,SOL,H1,LONG,2025-08-05 10:00,2025-08-05 14:00,170.97,164.98605,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,SOL,H1,SHORT,2025-08-12 09:00,2025-08-12 15:00,174.45,180.55575,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,SOL,H1,LONG,2025-08-12 16:00,2025-08-12 18:00,184.78,188.4756,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,SOL,H1,LONG,2025-08-12 16:00,2025-08-12 20:00,184.78,191.2473,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,SOL,H1,LONG,2025-08-12 16:00,2025-08-15 15:00,184.78,184.78,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,SOL,H1,SHORT,2025-08-16 11:00,2025-08-17 04:00,185.66,192.1581,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
6,SOL,H1,LONG,2025-08-22 16:00,2025-08-22 19:00,194.86,198.7572,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,SOL,H1,LONG,2025-08-22 16:00,2025-08-22 21:00,194.86,201.6801,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,SOL,H1,LONG,2025-08-22 16:00,2025-08-25 19:00,194.86,194.86,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
7,SOL,H1,SHORT,2025-08-26 06:00,2025-08-26 18:00,187.82,194.3937,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,SOL,H1,LONG,2025-08-28 05:00,2025-08-28 08:00,211.58,215.8116,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
8,SOL,H1,LONG,2025-08-28 05:00,2025-08-28 09:00,211.58,211.58,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
9,SOL,H1,SHORT,2025-08-31 06:00,2025-09-01 00:00,202.88,198.8224,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,SOL,H1,SHORT,2025-08-31 06:00,2025-09-01 08:00,202.88,202.88,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,SOL,H1,LONG,2025-09-02 23:00,2025-09-04 18:00,209.54,202.2061,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,SOL,H1,SHORT,2025-09-06 10:00,2025-09-08 07:00,202.8,207.85,1000.0,100.0,0.0,NO,-24.9014,0.7229,-25.6243,REV
12,SOL,H1,LONG,2025-09-08 07:00,2025-09-08 10:00,207.85,212.007,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,SOL,H1,LONG,2025-09-08 07:00,2025-09-08 10:00,207.85,215.12475,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,SOL,H1,LONG,2025-09-08 07:00,2025-09-15 19:00,207.85,232.9,340.0,34.0,0.0,NO,40.9767,0.2574,40.7193,REV
13,SOL,H1,SHORT,2025-09-15 19:00,2025-09-17 20:00,232.9,241.0515,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
14,SOL,H1,LONG,2025-09-18 11:00,2025-09-18 17:00,245.84,250.7568,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,SOL,H1,LONG,2025-09-18 11:00,2025-09-18 23:00,245.84,245.84,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
15,SOL,H1,SHORT,2025-09-21 13:00,2025-09-22 00:00,239.38,234.5924,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,SOL,H1,SHORT,2025-09-21 13:00,2025-09-22 02:00,239.38,231.0017,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,SOL,H1,SHORT,2025-09-21 13:00,2025-09-28 23:00,239.38,210.7,340.0,34.0,0.0,NO,40.7352,0.2282,40.507,REV
16,SOL,H1,LONG,2025-09-28 23:00,2025-10-01 08:00,210.7,214.914,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,SOL,H1,LONG,2025-09-28 23:00,2025-10-01 12:00,210.7,218.0745,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
16,SOL,H1,LONG,2025-09-28 23:00,2025-10-07 15:00,210.7,223.65,340.0,34.0,0.0,NO,20.897,0.2502,20.6468,REV
17,SOL,H1,SHORT,2025-10-07 15:00,2025-10-08 00:00,223.65,219.177,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,SOL,H1,SHORT,2025-10-07 15:00,2025-10-08 14:00,223.65,223.65,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
18,SOL,H1,LONG,2025-10-14 14:00,2025-10-14 15:00,195.76,199.6752,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
18,SOL,H1,LONG,2025-10-14 14:00,2025-10-14 16:00,195.76,202.6116,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
18,SOL,H1,LONG,2025-10-14 14:00,2025-10-15 17:00,195.76,195.76,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
