trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,SUI,H1,SHORT,2025-08-01 00:00,2025-08-01 01:00,3.5771,3.505558,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,SUI,H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,3.5771,3.5771,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,SUI,H1,LONG,2025-08-05 00:00,2025-08-05 07:00,3.5802,3.454893,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,SUI,H1,SHORT,2025-08-05 17:00,2025-08-05 22:00,3.416,3.34768,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,SUI,H1,SHORT,2025-08-05 17:00,2025-08-05 23:00,3.416,3.416,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,SUI,H1,LONG,2025-08-06 15:00,2025-08-07 10:00,3.4935,3.56337,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,SUI,H1,LONG,2025-08-06 15:00,2025-08-07 10:00,3.4935,3.615772,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,SUI,H1,LONG,2025-08-06 15:00,2025-08-11 19:00,3.4935,3.6978,340.0,34.0,0.0,NO,19.8832,0.2499,19.6334,REV
5,SUI,H1,SHORT,2025-08-11 19:00,2025-08-11 22:00,3.6978,3.623844,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,SUI,H1,SHORT,2025-08-11 19:00,2025-08-12 00:00,3.6978,3.6978,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
6,SUI,H1,LONG,2025-08-13 12:00,2025-08-14 02:00,4.0172,4.097544,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,SUI,H1,LONG,2025-08-13 12:00,2025-08-14 03:00,4.0172,4.157802,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,SUI,H1,LONG,2025-08-13 12:00,2025-08-14 06:00,4.0172,4.0172,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
7,SUI,H1,SHORT,2025-08-14 16:00,2025-08-14 21:00,3.7633,3.688034,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
7,SUI,H1,SHORT,2025-08-14 16:00,2025-08-14 23:00,3.7633,3.7633,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
8,SUI,H1,LONG,2025-08-15 08:00,2025-08-15 14:00,3.8637,3.72847,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,SUI,H1,SHORT,2025-08-16 06:00,2025-08-17 08:00,3.6997,3.829189,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,SUI,H1,LONG,2025-08-22 18:00,2025-08-23 06:00,3.7221,3.796542,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,SUI,H1,LONG,2025-08-22 18:00,2025-08-23 10:00,3.7221,3.7221,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
11,SUI,H1,SHORT,2025-08-25 22:00,2025-08-26 19:00,3.3407,3.457624,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
12,SUI,H1,LONG,2025-09-03 03:00,2025-09-03 14:00,3.3263,3.392826,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,SUI,H1,LONG,2025-09-03 03:00,2025-09-04 05:00,3.3263,3.3263,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
13,SUI,H1,SHORT,2025-09-15 10:00,2025-09-15 17:00,3.5317,3.461066,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,SUI,H1,SHORT,2025-09-15 10:00,2025-09-16 01:00,3.5317,3.5317,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
14,SUI,H1,LONG,2025-09-18 02:00,2025-09-18 09:00,3.7924,3.868248,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,SUI,H1,LONG,2025-09-18 02:00,2025-09-18 14:00,3.7924,3.925134,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
14,SUI,H1,LONG,2025-09-18 02:00,2025-09-19 07:00,3.7924,3.7924,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
15,SUI,H1,SHORT,2025-09-21 11:00,2025-09-22 00:00,3.6183,3.545934,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,SUI,H1,SHORT,2025-09-21 11:00,2025-09-22 02:00,3.6183,3.491659,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,SUI,H1,SHORT,2025-09-21 11:00,2025-09-29 01:00,3.6183,3.2647,340.0,34.0,0.0,NO,33.2267,0.2309,32.9958,REV
16,SUI,H1,LONG,2025-09-29 01:00,2025-10-01 08:00,3.2647,3.329994,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,SUI,H1,LONG,2025-09-29 01:00,2025-10-01 08:00,3.2647,3.378964,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
