trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,SUI,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,3.5671,3.495758,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,SUI,M15,SHORT,2025-08-01 00:00,2025-08-01 01:00,3.5671,3.5671,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,SUI,M15,LONG,2025-08-03 10:45,2025-08-04 14:00,3.455,3.5241,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
2,SUI,M15,LONG,2025-08-03 10:45,2025-08-04 16:45,3.455,3.575925,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
2,SUI,M15,LONG,2025-08-03 10:45,2025-08-05 07:15,3.455,3.455,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
3,SUI,M15,SHORT,2025-08-05 14:00,2025-08-05 15:45,3.4366,3.367868,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,SUI,M15,SHORT,2025-08-05 14:00,2025-08-06 05:30,3.4366,3.4366,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,SUI,M15,LONG,2025-08-06 15:15,2025-08-06 18:15,3.4565,3.52563,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,SUI,M15,LONG,2025-08-06 15:15,2025-08-07 03:00,3.4565,3.4565,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
5,SUI,M15,SHORT,2025-08-10 03:00,2025-08-10 04:00,3.9152,3.9739,1000.0,100.0,0.0,NO,-14.9928,0.7194,-15.7122,REV
6,SUI,M15,LONG,2025-08-10 04:00,2025-08-10 06:30,3.9739,3.8733,1000.0,100.0,0.0,NO,-25.3152,0.705,-26.0201,REV
7,SUI,M15,SHORT,2025-08-10 06:30,2025-08-10 08:00,3.8733,3.795834,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
7,SUI,M15,SHORT,2025-08-10 06:30,2025-08-10 16:00,3.8733,3.8733,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
8,SUI,M15,LONG,2025-08-11 03:15,2025-08-11 10:15,3.9435,3.805477,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,SUI,M15,SHORT,2025-08-11 11:15,2025-08-11 21:30,3.7374,3.662652,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,SUI,M15,SHORT,2025-08-11 11:15,2025-08-12 11:00,3.7374,3.606591,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
9,SUI,M15,SHORT,2025-08-11 11:15,2025-08-12 12:30,3.7374,3.7374,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
10,SUI,M15,LONG,2025-08-12 14:30,2025-08-12 17:00,3.769,3.84438,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,SUI,M15,LONG,2025-08-12 14:30,2025-08-12 18:15,3.769,3.900915,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
10,SUI,M15,LONG,2025-08-12 14:30,2025-08-14 08:15,3.769,3.9829,340.0,34.0,0.0,NO,19.2958,0.2496,19.0462,REV
11,SUI,M15,SHORT,2025-08-14 08:15,2025-08-14 12:30,3.9829,3.903242,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,SUI,M15,SHORT,2025-08-14 08:15,2025-08-14 12:30,3.9829,3.843498,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
11,SUI,M15,SHORT,2025-08-14 08:15,2025-08-16 13:15,3.9829,3.735,340.0,34.0,0.0,NO,21.162,0.2352,20.9268,REV
12,SUI,M15,LONG,2025-08-16 13:15,2025-08-17 04:45,3.735,3.8097,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,SUI,M15,LONG,2025-08-16 13:15,2025-08-17 13:45,3.735,3.865725,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
12,SUI,M15,LONG,2025-08-16 13:15,2025-08-18 01:15,3.735,3.735,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
13,SUI,M15,SHORT,2025-08-18 01:15,2025-08-18 02:30,3.7083,3.634134,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,SUI,M15,SHORT,2025-08-18 01:15,2025-08-18 05:45,3.7083,3.57851,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,SUI,M15,SHORT,2025-08-18 01:15,2025-08-20 16:00,3.7083,3.5313,340.0,34.0,0.0,NO,16.2285,0.237,15.9915,REV
14,SUI,M15,LONG,2025-08-20 16:00,2025-08-21 12:30,3.5313,3.4298,1000.0,100.0,0.0,NO,-28.743,0.7037,-29.4467,REV
15,SUI,M15,SHORT,2025-08-21 12:30,2025-08-22 11:00,3.4298,3.361204,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,SUI,M15,SHORT,2025-08-21 12:30,2025-08-22 12:30,3.4298,3.309757,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,SUI,M15,SHORT,2025-08-21 12:30,2025-08-22 14:00,3.4298,3.4298,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
16,SUI,M15,LONG,2025-08-22 14:15,2025-08-22 15:00,3.5758,3.647316,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,SUI,M15,LONG,2025-08-22 14:15,2025-08-22 16:00,3.5758,3.700953,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
16,SUI,M15,LONG,2025-08-22 14:15,2025-08-23 17:15,3.5758,3.6824,340.0,34.0,0.0,NO,10.1359,0.2464,9.8895,REV
17,SUI,M15,SHORT,2025-08-23 17:15,2025-08-23 23:30,3.6824,3.7317,1000.0,100.0,0.0,NO,-13.388,0.7188,-14.1068,REV
18,SUI,M15,LONG,2025-08-23 23:30,2025-08-24 03:15,3.7317,3.6985,1000.0,100.0,0.0,NO,-8.8967,0.7108,-9.6076,REV
19,SUI,M15,SHORT,2025-08-24 03:15,2025-08-24 10:30,3.6985,3.62453,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
19,SUI,M15,SHORT,2025-08-24 03:15,2025-08-24 17:15,3.6985,3.6985,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
20,SUI,M15,LONG,2025-08-24 18:45,2025-08-24 19:30,3.792,3.65928,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
21,SUI,M15,SHORT,2025-08-24 20:45,2025-08-25 00:30,3.6761,3.602578,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
21,SUI,M15,SHORT,2025-08-24 20:45,2025-08-25 02:00,3.6761,3.6761,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
22,SUI,M15,LONG,2025-08-26 17:45,2025-08-26 19:45,3.418,3.48636,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
22,SUI,M15,LONG,2025-08-26 17:45,2025-08-27 01:00,3.418,3.418,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
23,SUI,M15,SHORT,2025-08-28 18:15,2025-08-29 07:00,3.4519,3.382862,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
23,SUI,M15,SHORT,2025-08-28 18:15,2025-08-29 08:45,3.4519,3.331084,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
23,SUI,M15,SHORT,2025-08-28 18:15,2025-08-30 15:45,3.4519,3.3126,340.0,34.0,0.0,NO,13.7206,0.2379,13.4827,REV
24,SUI,M15,LONG,2025-08-30 15:45,2025-08-31 22:30,3.3126,3.2777,1000.0,100.0,0.0,NO,-10.5355,0.7102,-11.2458,REV
25,SUI,M15,SHORT,2025-08-31 22:30,2025-09-01 00:30,3.2777,3.212146,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
25,SUI,M15,SHORT,2025-08-31 22:30,2025-09-01 02:45,3.2777,3.16298,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
25,SUI,M15,SHORT,2025-08-31 22:30,2025-09-01 07:45,3.2777,3.2777,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
26,SUI,M15,LONG,2025-09-02 01:00,2025-09-02 03:00,3.222,3.28644,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
26,SUI,M15,LONG,2025-09-02 01:00,2025-09-02 12:30,3.222,3.222,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
27,SUI,M15,SHORT,2025-09-04 07:15,2025-09-04 18:30,3.2991,3.233118,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
27,SUI,M15,SHORT,2025-09-04 07:15,2025-09-04 22:45,3.2991,3.2991,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
28,SUI,M15,LONG,2025-09-05 03:45,2025-09-05 12:15,3.3352,3.401904,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
28,SUI,M15,LONG,2025-09-05 03:45,2025-09-05 13:00,3.3352,3.451932,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
28,SUI,M15,LONG,2025-09-05 03:45,2025-09-05 14:30,3.3352,3.3352,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
29,SUI,M15,SHORT,2025-09-06 09:15,2025-09-07 07:00,3.3464,3.3682,1000.0,100.0,0.0,NO,-6.5145,0.7163,-7.2308,REV
30,SUI,M15,LONG,2025-09-07 07:00,2025-09-08 08:30,3.3682,3.435564,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
30,SUI,M15,LONG,2025-09-07 07:00,2025-09-08 12:30,3.3682,3.486087,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
30,SUI,M15,LONG,2025-09-07 07:00,2025-09-09 16:30,3.3682,3.4397,340.0,34.0,0.0,NO,7.2175,0.2453,6.9722,REV
31,SUI,M15,SHORT,2025-09-09 16:30,2025-09-10 00:30,3.4397,3.4763,1000.0,100.0,0.0,NO,-10.6405,0.7178,-11.3583,REV
32,SUI,M15,LONG,2025-09-10 00:30,2025-09-10 02:15,3.4763,3.545826,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
32,SUI,M15,LONG,2025-09-10 00:30,2025-09-10 13:30,3.4763,3.59797,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
32,SUI,M15,LONG,2025-09-10 00:30,2025-09-14 06:45,3.4763,3.7611,340.0,34.0,0.0,NO,27.8549,0.2527,27.6022,REV
33,SUI,M15,SHORT,2025-09-14 06:45,2025-09-14 12:45,3.7611,3.685878,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
33,SUI,M15,SHORT,2025-09-14 06:45,2025-09-15 06:45,3.7611,3.629461,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
33,SUI,M15,SHORT,2025-09-14 06:45,2025-09-16 09:00,3.7611,3.5546,340.0,34.0,0.0,NO,18.6674,0.2361,18.4313,REV
34,SUI,M15,LONG,2025-09-16 09:00,2025-09-16 13:15,3.5546,3.625692,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
34,SUI,M15,LONG,2025-09-16 09:00,2025-09-16 13:45,3.5546,3.5546,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
35,SUI,M15,SHORT,2025-09-17 10:30,2025-09-17 20:00,3.5721,3.697123,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
36,SUI,M15,LONG,2025-09-17 20:00,2025-09-17 22:45,3.7078,3.781956,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
36,SUI,M15,LONG,2025-09-17 20:00,2025-09-18 08:30,3.7078,3.837573,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
36,SUI,M15,LONG,2025-09-17 20:00,2025-09-19 06:45,3.7078,3.7933,340.0,34.0,0.0,NO,7.8402,0.2456,7.5947,REV
37,SUI,M15,SHORT,2025-09-19 06:45,2025-09-19 11:15,3.7933,3.717434,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
37,SUI,M15,SHORT,2025-09-19 06:45,2025-09-19 15:00,3.7933,3.660534,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
37,SUI,M15,SHORT,2025-09-19 06:45,2025-09-20 21:15,3.7933,3.6788,340.0,34.0,0.0,NO,10.2628,0.2391,10.0237,REV
38,SUI,M15,LONG,2025-09-20 21:15,2025-09-21 13:00,3.6788,3.6474,1000.0,100.0,0.0,NO,-8.5354,0.711,-9.2463,REV
39,SUI,M15,SHORT,2025-09-21 13:00,2025-09-22 00:30,3.6474,3.574452,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
39,SUI,M15,SHORT,2025-09-21 13:00,2025-09-22 00:45,3.6474,3.519741,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
39,SUI,M15,SHORT,2025-09-21 13:00,2025-09-23 07:15,3.6474,3.3765,340.0,34.0,0.0,NO,25.2525,0.2337,25.0188,REV
40,SUI,M15,LONG,2025-09-23 07:15,2025-09-24 03:00,3.3765,3.327,1000.0,100.0,0.0,NO,-14.6602,0.7088,-15.3689,REV
41,SUI,M15,SHORT,2025-09-24 03:00,2025-09-24 04:00,3.327,3.26046,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
41,SUI,M15,SHORT,2025-09-24 03:00,2025-09-24 04:30,3.327,3.327,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
42,SUI,M15,LONG,2025-09-24 15:15,2025-09-25 03:15,3.4121,3.292677,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
43,SUI,M15,SHORT,2025-09-25 03:30,2025-09-25 08:30,3.2928,3.226944,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
43,SUI,M15,SHORT,2025-09-25 03:30,2025-09-25 11:30,3.2928,3.177552,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
43,SUI,M15,SHORT,2025-09-25 03:30,2025-09-26 17:30,3.2928,3.2292,340.0,34.0,0.0,NO,6.5671,0.2404,6.3266,REV
44,SUI,M15,LONG,2025-09-26 17:30,2025-09-27 15:30,3.2292,3.1993,1000.0,100.0,0.0,NO,-9.2593,0.7107,-9.97,REV
45,SUI,M15,SHORT,2025-09-27 15:30,2025-09-28 05:00,3.1993,3.135314,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
45,SUI,M15,SHORT,2025-09-27 15:30,2025-09-28 16:00,3.1993,3.1993,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
46,SUI,M15,LONG,2025-09-28 20:30,2025-09-29 07:30,3.243,3.30786,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
46,SUI,M15,LONG,2025-09-28 20:30,2025-09-29 10:30,3.243,3.243,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
47,SUI,M15,SHORT,2025-09-30 02:30,2025-09-30 15:00,3.2553,3.190194,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
47,SUI,M15,SHORT,2025-09-30 02:30,2025-09-30 19:45,3.2553,3.2553,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
48,SUI,M15,LONG,2025-10-01 06:00,2025-10-01 08:30,3.2506,3.315612,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
48,SUI,M15,LONG,2025-10-01 06:00,2025-10-01 08:45,3.2506,3.364371,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
48,SUI,M15,LONG,2025-10-01 06:00,2025-10-04 02:15,3.2506,3.5485,340.0,34.0,0.0,NO,31.1592,0.2539,30.9053,REV
49,SUI,M15,SHORT,2025-10-04 02:15,2025-10-04 23:00,3.5485,3.6055,1000.0,100.0,0.0,NO,-16.0631,0.7197,-16.7829,REV
50,SUI,M15,LONG,2025-10-04 23:00,2025-10-05 00:15,3.6055,3.67761,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
50,SUI,M15,LONG,2025-10-04 23:00,2025-10-05 00:45,3.6055,3.6055,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
51,SUI,M15,SHORT,2025-10-05 19:45,2025-10-06 07:00,3.5325,3.656137,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
52,SUI,M15,LONG,2025-10-06 08:15,2025-10-06 17:15,3.6415,3.71433,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
52,SUI,M15,LONG,2025-10-06 08:15,2025-10-06 20:30,3.6415,3.6415,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
53,SUI,M15,SHORT,2025-10-07 07:00,2025-10-07 14:15,3.5942,3.522316,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
53,SUI,M15,SHORT,2025-10-07 07:00,2025-10-07 16:15,3.5942,3.468403,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
53,SUI,M15,SHORT,2025-10-07 07:00,2025-10-08 16:45,3.5942,3.4944,340.0,34.0,0.0,NO,9.4408,0.2394,9.2014,REV
54,SUI,M15,LONG,2025-10-08 16:45,2025-10-08 17:45,3.4944,3.564288,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
54,SUI,M15,LONG,2025-10-08 16:45,2025-10-09 01:30,3.4944,3.4944,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
55,SUI,M15,SHORT,2025-10-09 07:30,2025-10-09 14:00,3.4388,3.370024,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
55,SUI,M15,SHORT,2025-10-09 07:30,2025-10-10 03:15,3.4388,3.4388,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
56,SUI,M15,LONG,2025-10-10 05:45,2025-10-10 15:15,3.4681,3.346716,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
57,SUI,M15,SHORT,2025-10-10 16:00,2025-10-10 19:00,3.3088,3.242624,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
57,SUI,M15,SHORT,2025-10-10 16:00,2025-10-10 20:45,3.3088,3.192992,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
57,SUI,M15,SHORT,2025-10-10 16:00,2025-10-12 16:45,3.3088,2.7592,340.0,34.0,0.0,NO,56.4749,0.2226,56.2523,REV
58,SUI,M15,LONG,2025-10-12 16:45,2025-10-12 19:00,2.7592,2.814384,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
58,SUI,M15,LONG,2025-10-12 16:45,2025-10-12 20:30,2.7592,2.855772,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
58,SUI,M15,LONG,2025-10-12 16:45,2025-10-12 21:30,2.7592,2.7592,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
59,SUI,M15,SHORT,2025-10-14 07:00,2025-10-14 10:30,2.735,2.6803,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
59,SUI,M15,SHORT,2025-10-14 07:00,2025-10-14 11:00,2.735,2.735,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
60,SUI,M15,LONG,2025-10-15 07:45,2025-10-15 13:45,2.8373,2.737994,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
61,SUI,M15,SHORT,2025-10-15 15:30,2025-10-15 20:30,2.7074,2.653252,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
61,SUI,M15,SHORT,2025-10-15 15:30,2025-10-16 02:00,2.7074,2.7074,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
62,SUI,M15,LONG,2025-10-18 05:00,2025-10-18 07:00,2.4311,2.479722,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
62,SUI,M15,LONG,2025-10-18 05:00,2025-10-18 17:45,2.4311,2.516188,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
62,SUI,M15,LONG,2025-10-18 05:00,2025-10-20 17:30,2.4311,2.5517,340.0,34.0,0.0,NO,16.8664,0.2488,16.6177,REV
63,SUI,M15,SHORT,2025-10-20 17:30,2025-10-21 04:00,2.5517,2.500666,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
63,SUI,M15,SHORT,2025-10-20 17:30,2025-10-21 14:15,2.5517,2.5517,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
64,SUI,M15,LONG,2025-10-21 15:15,2025-10-21 20:15,2.6603,2.56719,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
65,SUI,M15,SHORT,2025-10-21 23:45,2025-10-22 05:15,2.4874,2.437652,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
65,SUI,M15,SHORT,2025-10-21 23:45,2025-10-22 05:15,2.4874,2.400341,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
65,SUI,M15,SHORT,2025-10-21 23:45,2025-10-23 06:00,2.4874,2.4383,340.0,34.0,0.0,NO,6.7114,0.2404,6.4711,REV
66,SUI,M15,LONG,2025-10-23 06:00,2025-10-23 17:30,2.4383,2.487066,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
66,SUI,M15,LONG,2025-10-23 06:00,2025-10-23 20:30,2.4383,2.4383,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
67,SUI,M15,SHORT,2025-10-24 03:30,2025-10-24 09:15,2.4052,2.489382,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
68,SUI,M15,LONG,2025-10-24 09:15,2025-10-24 12:30,2.4847,2.534394,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
68,SUI,M15,LONG,2025-10-24 09:15,2025-10-24 13:30,2.4847,2.4847,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
69,SUI,M15,SHORT,2025-10-25 10:30,2025-10-25 14:30,2.4735,2.5162,1000.0,100.0,0.0,NO,-17.263,0.7202,-17.9832,REV
70,SUI,M15,LONG,2025-10-25 14:30,2025-10-26 09:15,2.5162,2.566524,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
70,SUI,M15,LONG,2025-10-25 14:30,2025-10-26 11:45,2.5162,2.604267,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
70,SUI,M15,LONG,2025-10-25 14:30,2025-10-27 13:30,2.5162,2.5904,340.0,34.0,0.0,NO,10.0262,0.2463,9.7799,REV
71,SUI,M15,SHORT,2025-10-27 13:30,2025-10-27 17:30,2.5904,2.6734,1000.0,100.0,0.0,NO,-32.0414,0.7254,-32.7668,REV
72,SUI,M15,LONG,2025-10-27 17:30,2025-10-27 20:15,2.6734,2.6259,1000.0,100.0,0.0,NO,-17.7676,0.7077,-18.4753,REV
73,SUI,M15,SHORT,2025-10-27 20:15,2025-10-28 05:45,2.6259,2.573382,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
73,SUI,M15,SHORT,2025-10-27 20:15,2025-10-28 06:45,2.6259,2.6259,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
74,SUI,M15,LONG,2025-10-28 10:45,2025-10-28 14:30,2.626,2.598,1000.0,100.0,0.0,NO,-10.6626,0.7102,-11.3728,REV
75,SUI,M15,SHORT,2025-10-28 14:30,2025-10-28 19:45,2.598,2.54604,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
75,SUI,M15,SHORT,2025-10-28 14:30,2025-10-28 20:15,2.598,2.50707,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
75,SUI,M15,SHORT,2025-10-28 14:30,2025-10-29 18:00,2.598,2.5355,340.0,34.0,0.0,NO,8.1794,0.2398,7.9395,REV
76,SUI,M15,LONG,2025-10-29 18:00,2025-10-29 18:30,2.5355,2.446757,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
77,SUI,M15,SHORT,2025-10-30 04:30,2025-10-30 12:15,2.4416,2.392768,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
77,SUI,M15,SHORT,2025-10-30 04:30,2025-10-30 13:30,2.4416,2.356144,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
77,SUI,M15,SHORT,2025-10-30 04:30,2025-10-31 12:15,2.4416,2.3813,340.0,34.0,0.0,NO,8.397,0.2398,8.1572,REV
78,SUI,M15,LONG,2025-10-31 12:15,2025-10-31 17:15,2.3813,2.297954,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
79,SUI,M15,SHORT,2025-11-02 14:00,2025-11-02 16:15,2.3332,2.286536,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
79,SUI,M15,SHORT,2025-11-02 14:00,2025-11-02 23:00,2.3332,2.3332,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
80,SUI,M15,LONG,2025-11-05 14:00,2025-11-06 08:45,2.0497,1.9923,1000.0,100.0,0.0,NO,-28.0041,0.704,-28.7081,REV
81,SUI,M15,SHORT,2025-11-06 08:45,2025-11-06 14:45,1.9923,1.952454,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
81,SUI,M15,SHORT,2025-11-06 08:45,2025-11-06 16:15,1.9923,1.922569,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
81,SUI,M15,SHORT,2025-11-06 08:45,2025-11-07 00:45,1.9923,1.9923,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
82,SUI,M15,LONG,2025-11-07 14:30,2025-11-07 15:00,1.9794,2.018988,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
82,SUI,M15,LONG,2025-11-07 14:30,2025-11-07 15:45,1.9794,2.048679,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
82,SUI,M15,LONG,2025-11-07 14:30,2025-11-08 14:45,1.9794,2.0897,340.0,34.0,0.0,NO,18.9461,0.2495,18.6966,REV
83,SUI,M15,SHORT,2025-11-08 14:45,2025-11-09 03:15,2.0897,2.047906,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
83,SUI,M15,SHORT,2025-11-08 14:45,2025-11-09 06:30,2.0897,2.0897,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
84,SUI,M15,LONG,2025-11-09 13:30,2025-11-09 19:15,2.1033,2.145366,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
84,SUI,M15,LONG,2025-11-09 13:30,2025-11-10 00:45,2.1033,2.176915,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
84,SUI,M15,LONG,2025-11-09 13:30,2025-11-10 22:00,2.1033,2.1246,340.0,34.0,0.0,NO,3.4432,0.244,3.1992,REV
85,SUI,M15,SHORT,2025-11-10 22:00,2025-11-11 03:15,2.1246,2.198961,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
86,SUI,M15,LONG,2025-11-13 13:30,2025-11-13 14:45,2.0127,2.052954,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
86,SUI,M15,LONG,2025-11-13 13:30,2025-11-13 15:15,2.0127,2.0127,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
87,SUI,M15,SHORT,2025-11-13 17:30,2025-11-13 18:15,1.911,1.87278,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
87,SUI,M15,SHORT,2025-11-13 17:30,2025-11-13 19:45,1.911,1.844115,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
