trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,TIA,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,1.6738,1.640324,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,TIA,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,1.6738,1.615217,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
1,TIA,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,1.6738,1.6738,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
2,TIA,H1,LONG,2025-08-04 23:00,2025-08-05 07:00,1.7142,1.654203,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,TIA,H1,SHORT,2025-08-12 09:00,2025-08-12 12:00,1.7114,1.771299,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
4,TIA,H1,LONG,2025-08-12 17:00,2025-08-12 20:00,1.8452,1.882104,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,TIA,H1,LONG,2025-08-12 17:00,2025-08-13 08:00,1.8452,1.909782,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,TIA,H1,LONG,2025-08-12 17:00,2025-08-14 12:00,1.8452,1.8452,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
5,TIA,H1,SHORT,2025-08-14 16:00,2025-08-14 21:00,1.7783,1.742734,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,TIA,H1,SHORT,2025-08-14 16:00,2025-08-15 02:00,1.7783,1.7783,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
6,TIA,H1,LONG,2025-08-22 18:00,2025-08-22 21:00,1.8334,1.870068,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,TIA,H1,LONG,2025-08-22 18:00,2025-08-23 01:00,1.8334,1.8334,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
7,TIA,H1,SHORT,2025-08-25 21:00,2025-08-26 12:00,1.592,1.64772,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,TIA,H1,LONG,2025-08-29 02:00,2025-08-29 07:00,1.7248,1.664432,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
9,TIA,H1,SHORT,2025-08-30 02:00,2025-08-30 07:00,1.6105,1.666867,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,TIA,H1,LONG,2025-09-05 09:00,2025-09-05 13:00,1.6121,1.644342,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,TIA,H1,LONG,2025-09-05 09:00,2025-09-05 14:00,1.6121,1.6121,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
11,TIA,H1,SHORT,2025-09-15 09:00,2025-09-15 15:00,1.7113,1.677074,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
11,TIA,H1,SHORT,2025-09-15 09:00,2025-09-16 08:00,1.7113,1.7113,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
12,TIA,H1,LONG,2025-09-18 04:00,2025-09-19 00:00,1.8027,1.838754,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
12,TIA,H1,LONG,2025-09-18 04:00,2025-09-19 03:00,1.8027,1.8027,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
13,TIA,H1,SHORT,2025-09-21 11:00,2025-09-22 00:00,1.7019,1.667862,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,TIA,H1,SHORT,2025-09-21 11:00,2025-09-22 00:00,1.7019,1.642333,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,TIA,H1,SHORT,2025-09-21 11:00,2025-09-29 09:00,1.7019,1.4076,340.0,34.0,0.0,NO,58.7943,0.2218,58.5725,REV
14,TIA,H1,LONG,2025-09-29 09:00,2025-09-30 10:00,1.4076,1.3742,1000.0,100.0,0.0,NO,-23.7283,0.7055,-24.4339,REV
