trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,XRP,H1,SHORT,2025-08-01 00:00,2025-08-01 08:00,2.9849,2.925202,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,XRP,H1,SHORT,2025-08-01 00:00,2025-08-01 12:00,2.9849,2.9849,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,XRP,H1,LONG,2025-08-04 19:00,2025-08-05 20:00,3.0476,2.940934,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
3,XRP,H1,SHORT,2025-08-11 14:00,2025-08-11 21:00,3.1932,3.129336,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,XRP,H1,SHORT,2025-08-11 14:00,2025-08-12 12:00,3.1932,3.1932,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
4,XRP,H1,LONG,2025-08-13 23:00,2025-08-14 02:00,3.2752,3.340704,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,XRP,H1,LONG,2025-08-13 23:00,2025-08-14 05:00,3.2752,3.2752,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
5,XRP,H1,SHORT,2025-08-14 15:00,2025-08-14 21:00,3.0941,3.032218,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,XRP,H1,SHORT,2025-08-14 15:00,2025-08-15 01:00,3.0941,3.0941,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
6,XRP,H1,LONG,2025-08-22 19:00,2025-08-25 06:00,3.0713,2.963804,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
7,XRP,H1,SHORT,2025-08-26 05:00,2025-08-26 19:00,2.9177,3.019819,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
8,XRP,H1,LONG,2025-09-02 23:00,2025-09-06 11:00,2.8605,2.8046,1000.0,100.0,0.0,NO,-19.542,0.707,-20.2491,REV
9,XRP,H1,SHORT,2025-09-06 11:00,2025-09-07 14:00,2.8046,2.902761,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
10,XRP,H1,LONG,2025-09-07 16:00,2025-09-08 10:00,2.8904,2.948208,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
10,XRP,H1,LONG,2025-09-07 16:00,2025-09-08 13:00,2.8904,2.991564,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
10,XRP,H1,LONG,2025-09-07 16:00,2025-09-15 11:00,2.8904,2.9976,340.0,34.0,0.0,NO,12.61,0.2473,12.3628,REV
11,XRP,H1,SHORT,2025-09-15 11:00,2025-09-17 23:00,2.9976,3.102516,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
12,XRP,H1,LONG,2025-09-18 03:00,2025-09-19 15:00,3.1043,2.995649,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
13,XRP,H1,SHORT,2025-09-20 00:00,2025-09-22 00:00,2.9972,2.937256,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
13,XRP,H1,SHORT,2025-09-20 00:00,2025-09-22 02:00,2.9972,2.892298,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
13,XRP,H1,SHORT,2025-09-20 00:00,2025-09-29 01:00,2.9972,2.856,340.0,34.0,0.0,NO,16.0176,0.237,15.7806,REV
14,XRP,H1,LONG,2025-09-29 01:00,2025-09-29 14:00,2.856,2.91312,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
14,XRP,H1,LONG,2025-09-29 01:00,2025-09-30 08:00,2.856,2.856,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
15,XRP,H1,SHORT,2025-10-06 07:00,2025-10-07 14:00,2.9721,2.912658,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
15,XRP,H1,SHORT,2025-10-06 07:00,2025-10-07 15:00,2.9721,2.868076,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
15,XRP,H1,SHORT,2025-10-06 07:00,2025-10-14 15:00,2.9721,2.4957,340.0,34.0,0.0,NO,54.4988,0.2233,54.2755,REV
16,XRP,H1,LONG,2025-10-14 15:00,2025-10-15 08:00,2.4957,2.545614,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
16,XRP,H1,LONG,2025-10-14 15:00,2025-10-15 09:00,2.4957,2.4957,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
17,XRP,H1,SHORT,2025-10-16 07:00,2025-10-16 09:00,2.4089,2.360722,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
17,XRP,H1,SHORT,2025-10-16 07:00,2025-10-16 10:00,2.4089,2.4089,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
18,XRP,H1,LONG,2025-10-20 07:00,2025-10-20 19:00,2.4693,2.518686,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
18,XRP,H1,LONG,2025-10-20 07:00,2025-10-21 01:00,2.4693,2.4693,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
19,XRP,H1,SHORT,2025-10-23 21:00,2025-10-24 12:00,2.3852,2.468682,1000.0,100.0,0.0,NO,-35.0,0.7265,-35.7265,SL
20,XRP,H1,LONG,2025-10-24 21:00,2025-10-25 01:00,2.5061,2.556222,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
20,XRP,H1,LONG,2025-10-24 21:00,2025-10-25 13:00,2.5061,2.593813,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
