trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,gross,fee,net,result
1,XRP,M15,SHORT,2025-08-01 00:00,2025-08-01 00:45,2.9918,2.931964,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
1,XRP,M15,SHORT,2025-08-01 00:00,2025-08-01 01:00,2.9918,2.9918,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
2,XRP,M15,LONG,2025-08-02 03:45,2025-08-02 10:15,2.9824,2.9547,1000.0,100.0,0.0,NO,-9.2878,0.7107,-9.9985,REV
3,XRP,M15,SHORT,2025-08-02 10:15,2025-08-02 14:30,2.9547,2.895606,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
3,XRP,M15,SHORT,2025-08-02 10:15,2025-08-02 15:45,2.9547,2.851285,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
3,XRP,M15,SHORT,2025-08-02 10:15,2025-08-03 13:30,2.9547,2.871,340.0,34.0,0.0,NO,9.6314,0.2393,9.3921,REV
4,XRP,M15,LONG,2025-08-03 13:30,2025-08-03 21:45,2.871,2.92842,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
4,XRP,M15,LONG,2025-08-03 13:30,2025-08-04 00:15,2.871,2.971485,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
4,XRP,M15,LONG,2025-08-03 13:30,2025-08-05 14:00,2.871,3.0061,340.0,34.0,0.0,NO,15.9993,0.2485,15.7508,REV
5,XRP,M15,SHORT,2025-08-05 14:00,2025-08-05 19:45,3.0061,2.945978,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
5,XRP,M15,SHORT,2025-08-05 14:00,2025-08-06 04:30,3.0061,2.900886,330.0,33.0,340.0,YES,11.55,0.2315,11.3185,TP2
5,XRP,M15,SHORT,2025-08-05 14:00,2025-08-06 15:45,3.0061,3.0061,340.0,34.0,0.0,NO,0.0,0.2428,-0.2428,BE
6,XRP,M15,LONG,2025-08-06 17:30,2025-08-07 10:15,2.9973,3.057246,330.0,33.0,670.0,YES,6.6,0.238,6.362,TP1
6,XRP,M15,LONG,2025-08-06 17:30,2025-08-07 20:00,2.9973,3.102205,330.0,33.0,340.0,YES,11.55,0.2397,11.3103,TP2
6,XRP,M15,LONG,2025-08-06 17:30,2025-08-09 00:00,2.9973,3.2942,340.0,34.0,0.0,NO,33.679,0.2548,33.4242,REV
7,XRP,M15,SHORT,2025-08-09 00:00,2025-08-09 12:30,3.2942,3.3161,1000.0,100.0,0.0,NO,-6.648,0.7164,-7.3644,REV
8,XRP,M15,LONG,2025-08-09 12:30,2025-08-09 21:45,3.3161,3.2472,1000.0,100.0,0.0,NO,-20.7774,0.7066,-21.484,REV
9,XRP,M15,SHORT,2025-08-09 21:45,2025-08-10 07:30,3.2472,3.182256,330.0,33.0,670.0,YES,6.6,0.2333,6.3667,TP1
9,XRP,M15,SHORT,2025-08-09 21:45,2025-08-11 02:00,3.2472,3.2472,670.0,67.0,0.0,NO,0.0,0.4784,-0.4784,BE
10,XRP,M15,LONG,2025-08-11 05:00,2025-08-11 18:00,3.2801,3.165296,1000.0,100.0,0.0,NO,-35.0,0.7015,-35.7015,SL
11,XRP,M15,SHORT,2025-08-11 21:45,2025-08-12 17:00,3.1369,3.2369,1000.0,100.0,0.0,NO,-31.8786,0.7254,-32.604,REV
