trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,APT,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,4.2872,4.3504,1000.0,100.0,0.0,NO,SHORT,SHORT,4.2123,4.338669,-14.7416,0.7193,-15.4608,TRAIL
2,APT,M15+H1,LONG,2025-08-09 00:00,2025-08-10 07:30,4.6624,4.6898,1000.0,100.0,0.0,NO,LONG,LONG,4.8699,4.723803,5.8768,0.7161,5.1607,TRAIL
3,APT,M15+H1,SHORT,2025-08-16 08:45,2025-08-16 22:30,4.6643,4.7513,1000.0,100.0,0.0,NO,SHORT,SHORT,4.6102,4.748506,-18.6523,0.7207,-19.373,TRAIL
4,APT,M15+H1,LONG,2025-08-23 04:00,2025-08-24 06:30,4.647,4.6269,1000.0,100.0,0.0,NO,LONG,LONG,4.7782,4.634854,-4.3254,0.7125,-5.0378,TRAIL
5,APT,M15+H1,SHORT,2025-08-26 08:00,2025-08-26 19:45,4.3159,4.4172,1000.0,100.0,0.0,NO,SHORT,SHORT,4.2742,4.402426,-23.4714,0.7224,-24.1937,TRAIL
6,APT,M15+H1,LONG,2025-09-02 10:30,2025-09-04 06:15,4.309,4.2773,1000.0,100.0,0.0,NO,LONG,,4.4136,4.281192,-7.3567,0.7114,-8.0681,TRAIL
7,APT,M15+H1,SHORT,2025-09-06 15:30,2025-09-08 02:45,4.2112,4.3067,1000.0,100.0,0.0,NO,SHORT,,4.1757,4.300971,-22.6776,0.7221,-23.3997,TRAIL
8,APT,M15+H1,LONG,2025-09-09 03:00,2025-09-09 15:00,4.3931,4.3922,1000.0,100.0,0.0,NO,LONG,LONG,4.5344,4.398368,-0.2049,0.7139,-0.9188,TRAIL
9,APT,M15+H1,SHORT,2025-09-16 01:30,2025-09-16 21:45,4.3623,4.4615,1000.0,100.0,0.0,NO,SHORT,SHORT,4.3211,4.450733,-22.7403,0.7221,-23.4624,TRAIL
10,APT,M15+H1,LONG,2025-09-19 04:45,2025-09-19 15:00,4.7186,4.5669,1000.0,100.0,0.0,NO,LONG,LONG,4.72,4.5784,-32.1494,0.7025,-32.8519,TRAIL
11,APT,M15+H1,SHORT,2025-09-23 01:00,2025-09-23 06:30,4.2545,4.349,1000.0,100.0,0.0,NO,SHORT,SHORT,4.2049,4.331047,-22.2118,0.7219,-22.9337,TRAIL
12,APT,M15+H1,LONG,2025-09-29 11:15,2025-09-30 09:00,4.2405,4.1957,1000.0,100.0,0.0,NO,LONG,LONG,4.33,4.2001,-10.5648,0.7102,-11.275,TRAIL
13,APT,M15+H1,SHORT,2025-10-07 18:15,2025-10-08 04:45,5.309,5.3543,1000.0,100.0,0.0,NO,SHORT,LONG,5.1753,5.330559,-8.5327,0.717,-9.2497,TRAIL
14,APT,M15+H1,LONG,2025-10-20 23:15,2025-10-21 03:45,3.2718,3.1716,1000.0,100.0,0.0,NO,LONG,,3.2721,3.173937,-30.6253,0.7031,-31.3284,TRAIL
15,APT,M15+H1,SHORT,2025-10-31 09:15,2025-10-31 19:45,3.2062,3.2866,1000.0,100.0,0.0,NO,SHORT,SHORT,3.1893,3.284979,-25.0764,0.723,-25.7994,TRAIL
16,APT,M15+H1,LONG,2025-11-07 13:00,2025-11-07 23:30,2.8627,3.1748,1000.0,100.0,0.0,NO,LONG,LONG,3.2778,3.179466,109.023,0.7529,108.27,TRAIL
17,APT,M15+H1,SHORT,2025-11-13 09:45,2025-11-13 15:00,3.0573,3.1593,1000.0,100.0,0.0,NO,SHORT,SHORT,3.0383,3.129449,-33.3628,0.7259,-34.0887,TRAIL
18,APT,M15+H1,LONG,2025-12-10 02:45,2025-12-10 08:45,1.8447,1.7948,1000.0,100.0,0.0,NO,LONG,,1.8516,1.796052,-27.0505,0.7043,-27.7548,TRAIL
19,APT,M15+H1,SHORT,2025-12-12 15:30,2025-12-13 03:00,1.6426,1.6459,1000.0,100.0,0.0,NO,SHORT,SHORT,1.5968,1.644704,-2.009,0.7147,-2.7237,TRAIL
20,APT,M15+H1,LONG,2025-12-20 11:15,2025-12-21 13:00,1.6393,1.5919,1000.0,100.0,0.0,NO,LONG,LONG,1.6564,1.606708,-28.9148,0.7037,-29.6185,TRAIL
21,APT,M15+H1,SHORT,2025-12-24 03:00,2025-12-24 18:15,1.572,1.6043,1000.0,100.0,0.0,NO,SHORT,,1.5534,1.600002,-20.5471,0.7213,-21.2684,TRAIL
22,APT,M15+H1,LONG,2025-12-25 11:15,2025-12-25 23:15,1.6368,1.6109,1000.0,100.0,0.0,NO,LONG,,1.6628,1.612916,-15.8236,0.7084,-16.5319,TRAIL
23,APT,M15+H1,SHORT,2026-01-08 02:00,2026-01-08 16:45,1.8909,1.8231,1000.0,100.0,0.0,NO,SHORT,SHORT,1.7678,1.820834,35.8559,0.7012,35.1547,TRAIL
24,APT,M15+H1,LONG,2026-01-14 06:45,2026-01-14 18:30,1.9531,1.9049,1000.0,100.0,0.0,NO,LONG,LONG,1.9706,1.911482,-24.6787,0.7052,-25.3839,TRAIL
25,APT,M15+H1,SHORT,2026-01-18 05:15,2026-01-18 18:15,1.826,1.8431,1000.0,100.0,0.0,NO,SHORT,,1.7866,1.840198,-9.3647,0.7173,-10.0821,TRAIL
26,APT,M15+H1,LONG,2026-01-28 13:00,2026-01-29 01:45,1.5913,1.5782,1000.0,100.0,0.0,NO,LONG,LONG,1.6288,1.579936,-8.2323,0.7111,-8.9433,TRAIL
27,APT,M15+H1,SHORT,2026-01-30 12:00,2026-01-30 18:30,1.46,1.4547,1000.0,100.0,0.0,NO,SHORT,SHORT,1.4122,1.454566,3.6301,0.7127,2.9174,TRAIL
28,APT,M15+H1,LONG,2026-02-26 03:30,2026-02-26 06:15,0.9764,0.9531,1000.0,100.0,0.0,NO,LONG,LONG,0.9836,0.954092,-23.8632,0.7055,-24.5687,TRAIL
