trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,ARB,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,0.3917,0.3964,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3834,0.394902,-11.999,0.7183,-12.7173,TRAIL
2,ARB,M15+H1,LONG,2025-08-06 16:15,2025-08-08 15:30,0.3856,0.4158,1000.0,100.0,0.0,NO,LONG,LONG,0.4309,0.417973,78.3195,0.742,77.5775,TRAIL
3,ARB,M15+H1,SHORT,2025-08-21 13:00,2025-08-21 22:00,0.4927,0.5028,1000.0,100.0,0.0,NO,SHORT,,0.4847,0.499241,-20.4993,0.7213,-21.2206,TRAIL
4,ARB,M15+H1,LONG,2025-08-23 19:45,2025-08-24 01:00,0.6066,0.601,1000.0,100.0,0.0,NO,LONG,LONG,0.6247,0.605959,-9.2318,0.7107,-9.9425,TRAIL
5,ARB,M15+H1,SHORT,2025-08-26 11:15,2025-08-26 14:45,0.5249,0.539,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5227,0.538381,-26.8623,0.7236,-27.5858,TRAIL
6,ARB,M15+H1,LONG,2025-09-05 10:45,2025-09-05 14:15,0.5004,0.4916,1000.0,100.0,0.0,NO,LONG,LONG,0.5118,0.496446,-17.5859,0.7077,-18.2937,TRAIL
7,ARB,M15+H1,SHORT,2025-09-06 16:00,2025-09-07 05:45,0.4859,0.4981,1000.0,100.0,0.0,NO,SHORT,,0.4827,0.497181,-25.108,0.723,-25.831,TRAIL
8,ARB,M15+H1,LONG,2025-09-08 09:15,2025-09-09 14:30,0.5011,0.52,1000.0,100.0,0.0,NO,LONG,LONG,0.5392,0.523024,37.717,0.7275,36.9896,TRAIL
9,ARB,M15+H1,SHORT,2025-09-16 06:30,2025-09-16 17:15,0.4904,0.498,1000.0,100.0,0.0,NO,SHORT,SHORT,0.4834,0.497902,-15.4976,0.7195,-16.2171,TRAIL
10,ARB,M15+H1,LONG,2025-09-18 22:00,2025-09-19 04:00,0.5234,0.5138,1000.0,100.0,0.0,NO,LONG,LONG,0.5352,0.519144,-18.3416,0.7075,-19.0491,TRAIL
11,ARB,M15+H1,SHORT,2025-09-21 12:15,2025-09-22 06:00,0.4891,0.4333,1000.0,100.0,0.0,NO,SHORT,SHORT,0.413,0.42539,114.0871,0.6733,113.4138,TRAIL
12,ARB,M15+H1,LONG,2025-10-01 22:45,2025-10-03 07:15,0.4333,0.4419,1000.0,100.0,0.0,NO,LONG,LONG,0.4565,0.442805,19.8477,0.7211,19.1266,TRAIL
13,ARB,M15+H1,SHORT,2025-10-08 12:45,2025-10-08 17:00,0.4235,0.4342,1000.0,100.0,0.0,NO,SHORT,SHORT,0.4196,0.432188,-25.2656,0.723,-25.9887,TRAIL
14,ARB,M15+H1,LONG,2025-10-15 08:15,2025-10-15 09:45,0.3476,0.3407,1000.0,100.0,0.0,NO,LONG,LONG,0.3513,0.340761,-19.8504,0.7069,-20.5573,TRAIL
15,ARB,M15+H1,SHORT,2025-10-17 19:30,2025-10-18 10:30,0.3024,0.3124,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3017,0.310751,-33.0688,0.7258,-33.7946,TRAIL
16,ARB,M15+H1,LONG,2025-10-21 00:30,2025-10-21 04:00,0.3241,0.3134,1000.0,100.0,0.0,NO,LONG,LONG,0.3242,0.314474,-33.0145,0.7022,-33.7167,TRAIL
17,ARB,M15+H1,SHORT,2025-10-31 02:00,2025-10-31 12:15,0.2916,0.2994,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2897,0.298391,-26.749,0.7235,-27.4725,TRAIL
18,ARB,M15+H1,LONG,2025-11-07 14:00,2025-11-08 03:45,0.2693,0.3031,1000.0,100.0,0.0,NO,LONG,LONG,0.3132,0.303804,125.5106,0.7588,124.7518,TRAIL
