trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,AVAX,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 03:15,22.172,22.502,1000.0,100.0,0.0,NO,SHORT,SHORT,21.792,22.44576,-14.8836,0.7193,-15.603,TRAIL
2,AVAX,M15+H1,LONG,2025-08-05 10:15,2025-08-05 14:00,22.724,22.106,1000.0,100.0,0.0,NO,LONG,LONG,22.824,22.13928,-27.1959,0.7043,-27.9002,TRAIL
3,AVAX,M15+H1,SHORT,2025-08-16 09:45,2025-08-16 20:15,23.621,24.289,1000.0,100.0,0.0,NO,SHORT,,23.555,24.26165,-28.2799,0.7241,-29.004,TRAIL
4,AVAX,M15+H1,LONG,2025-08-23 02:45,2025-08-23 15:30,24.755,25.728,1000.0,100.0,0.0,NO,LONG,LONG,26.779,25.97563,39.3052,0.728,38.5772,TRAIL
5,AVAX,M15+H1,SHORT,2025-08-26 11:15,2025-08-26 16:45,23.352,23.91,1000.0,100.0,0.0,NO,SHORT,SHORT,23.15,23.8445,-23.8952,0.7225,-24.6177,TRAIL
6,AVAX,M15+H1,LONG,2025-08-29 03:30,2025-08-29 07:00,25.176,24.242,1000.0,100.0,0.0,NO,LONG,LONG,25.197,24.44109,-37.0988,0.7008,-37.7996,TRAIL
7,AVAX,M15+H1,SHORT,2025-08-31 23:00,2025-09-01 07:45,23.634,23.78,1000.0,100.0,0.0,NO,SHORT,,22.843,23.52829,-6.1775,0.7162,-6.8937,TRAIL
8,AVAX,M15+H1,LONG,2025-09-02 09:30,2025-09-03 09:00,24.185,24.884,1000.0,100.0,0.0,NO,LONG,LONG,25.783,25.00951,28.9022,0.7243,28.1779,TRAIL
9,AVAX,M15+H1,SHORT,2025-09-22 12:30,2025-09-22 20:45,31.642,32.19,1000.0,100.0,0.0,NO,SHORT,SHORT,31.134,32.06802,-17.3188,0.7202,-18.0389,TRAIL
10,AVAX,M15+H1,LONG,2025-09-24 17:00,2025-09-24 20:45,34.583,33.537,1000.0,100.0,0.0,NO,LONG,LONG,34.661,33.62117,-30.2461,0.7032,-30.9493,TRAIL
11,AVAX,M15+H1,SHORT,2025-09-27 15:00,2025-09-28 13:45,28.455,28.881,1000.0,100.0,0.0,NO,SHORT,,27.919,28.75657,-14.971,0.7193,-15.6904,TRAIL
12,AVAX,M15+H1,LONG,2025-10-01 05:15,2025-10-02 13:15,29.901,30.195,1000.0,100.0,0.0,NO,LONG,LONG,31.373,30.43181,9.8324,0.7175,9.1149,TRAIL
13,AVAX,M15+H1,SHORT,2025-10-05 18:30,2025-10-06 09:00,29.968,30.503,1000.0,100.0,0.0,NO,SHORT,,29.612,30.50036,-17.8524,0.7204,-18.5727,TRAIL
14,AVAX,M15+H1,LONG,2025-10-27 10:15,2025-10-28 05:30,20.59,20.159,1000.0,100.0,0.0,NO,LONG,,20.784,20.16048,-20.9325,0.7065,-21.639,TRAIL
15,AVAX,M15+H1,SHORT,2025-10-31 02:00,2025-11-01 02:45,18.195,18.324,1000.0,100.0,0.0,NO,SHORT,SHORT,17.776,18.30928,-7.0899,0.7165,-7.8064,TRAIL
16,AVAX,M15+H1,LONG,2025-11-08 07:30,2025-11-08 13:45,17.806,17.366,1000.0,100.0,0.0,NO,LONG,LONG,17.987,17.44739,-24.7108,0.7052,-25.4159,TRAIL
17,AVAX,M15+H1,SHORT,2025-11-13 03:00,2025-11-13 03:30,16.93,17.482,1000.0,100.0,0.0,NO,SHORT,SHORT,16.796,17.29988,-32.6048,0.7256,-33.3305,TRAIL
18,AVAX,M15+H1,LONG,2025-11-25 06:45,2025-11-26 12:15,13.924,13.925,1000.0,100.0,0.0,NO,LONG,LONG,14.373,13.94181,0.0718,0.714,-0.6422,TRAIL
19,AVAX,M15+H1,SHORT,2025-11-30 14:30,2025-12-02 02:30,14.109,12.934,1000.0,100.0,0.0,NO,SHORT,SHORT,12.544,12.92032,83.2802,0.6843,82.5959,TRAIL
20,AVAX,M15+H1,LONG,2025-12-04 11:15,2025-12-04 19:00,14.724,14.308,1000.0,100.0,0.0,NO,LONG,LONG,14.854,14.40838,-28.2532,0.7039,-28.9571,TRAIL
21,AVAX,M15+H1,SHORT,2025-12-07 14:30,2025-12-07 15:45,13.052,13.409,1000.0,100.0,0.0,NO,SHORT,SHORT,12.981,13.37043,-27.3521,0.7238,-28.0759,TRAIL
22,AVAX,M15+H1,LONG,2025-12-09 15:45,2025-12-10 11:30,14.133,14.183,1000.0,100.0,0.0,NO,LONG,LONG,14.731,14.28907,3.5378,0.7153,2.8226,TRAIL
23,AVAX,M15+H1,SHORT,2025-12-11 19:45,2025-12-12 02:00,13.244,13.633,1000.0,100.0,0.0,NO,SHORT,SHORT,13.227,13.62381,-29.3718,0.7245,-30.0963,TRAIL
24,AVAX,M15+H1,LONG,2025-12-22 10:45,2025-12-23 06:15,12.275,12.162,1000.0,100.0,0.0,NO,LONG,LONG,12.543,12.16671,-9.2057,0.7107,-9.9164,TRAIL
25,AVAX,M15+H1,SHORT,2026-01-08 17:15,2026-01-09 15:15,13.909,14.035,1000.0,100.0,0.0,NO,SHORT,SHORT,13.592,13.99976,-9.0589,0.7172,-9.7761,TRAIL
26,AVAX,M15+H1,LONG,2026-01-14 15:45,2026-01-14 18:30,14.757,14.423,1000.0,100.0,0.0,NO,LONG,LONG,14.945,14.49665,-22.6333,0.7059,-23.3392,TRAIL
27,AVAX,M15+H1,SHORT,2026-01-17 05:45,2026-01-19 00:00,13.576,12.522,1000.0,100.0,0.0,NO,SHORT,SHORT,12.032,12.39296,77.637,0.6863,76.9507,TRAIL
28,AVAX,M15+H1,LONG,2026-02-14 06:45,2026-02-15 12:45,9.171,9.323,1000.0,100.0,0.0,NO,LONG,LONG,9.745,9.45265,16.574,0.7199,15.8541,TRAIL
29,AVAX,M15+H1,SHORT,2026-02-18 10:45,2026-02-20 00:15,9.087,8.956,1000.0,100.0,0.0,NO,SHORT,SHORT,8.653,8.91259,14.4162,0.7089,13.7073,TRAIL
30,AVAX,M15+H1,LONG,2026-02-26 02:30,2026-02-26 11:15,9.495,9.247,1000.0,100.0,0.0,NO,LONG,LONG,9.56,9.2732,-26.119,0.7047,-26.8237,TRAIL
31,AVAX,M15+H1,SHORT,2026-03-01 19:45,2026-03-02 01:00,8.947,9.173,1000.0,100.0,0.0,NO,SHORT,,8.838,9.10314,-25.2599,0.723,-25.9829,TRAIL
32,AVAX,M15+H1,LONG,2026-03-04 07:45,2026-03-04 22:45,9.18,9.482,1000.0,100.0,0.0,NO,LONG,LONG,9.781,9.48757,32.8976,0.7257,32.1719,TRAIL
33,AVAX,M15+H1,SHORT,2026-03-07 08:45,2026-03-09 03:00,8.998,9.06,1000.0,100.0,0.0,NO,SHORT,SHORT,8.673,8.93319,-6.8904,0.7165,-7.6069,TRAIL
34,AVAX,M15+H1,LONG,2026-03-10 14:15,2026-03-10 18:45,9.395,9.628,1000.0,100.0,0.0,NO,LONG,LONG,9.955,9.65635,24.8004,0.7229,24.0776,TRAIL
35,AVAX,M15+H1,SHORT,2026-03-19 03:30,2026-03-20 22:00,9.667,9.624,1000.0,100.0,0.0,NO,SHORT,SHORT,9.326,9.60578,4.4481,0.7124,3.7357,TRAIL
