trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,BNB,M15+H1,SHORT,2025-08-01 00:00,2025-08-02 02:00,781.75,767.75,1000.0,100.0,0.0,NO,SHORT,SHORT,745.0,767.35,17.9085,0.7076,17.2009,TRAIL
2,BNB,M15+H1,LONG,2025-08-06 10:45,2025-08-11 11:15,763.07,799.2,1000.0,100.0,0.0,NO,LONG,LONG,828.22,803.3734,47.3482,0.7309,46.6173,TRAIL
3,BNB,M15+H1,SHORT,2025-08-20 14:00,2025-08-20 17:00,821.94,843.71,1000.0,100.0,0.0,NO,SHORT,SHORT,819.06,843.6318,-26.4861,0.7235,-27.2096,TRAIL
4,BNB,M15+H1,LONG,2025-08-23 02:45,2025-08-24 06:45,884.82,871.82,1000.0,100.0,0.0,NO,LONG,,900.0,873.0,-14.6923,0.7088,-15.401,TRAIL
5,BNB,M15+H1,SHORT,2025-08-28 00:15,2025-08-28 12:45,854.85,877.4,1000.0,100.0,0.0,NO,SHORT,,851.54,877.0862,-26.3789,0.7234,-27.1023,TRAIL
6,BNB,M15+H1,LONG,2025-09-06 21:00,2025-09-15 08:30,859.46,916.25,1000.0,100.0,0.0,NO,LONG,,945.98,917.6006,66.0764,0.7376,65.3388,TRAIL
7,BNB,M15+H1,SHORT,2025-09-24 14:00,2025-09-26 17:15,1013.49,961.07,1000.0,100.0,0.0,NO,SHORT,SHORT,932.67,960.6501,51.7223,0.6955,51.0267,TRAIL
8,BNB,M15+H1,LONG,2025-09-29 17:00,2025-09-30 14:00,1008.03,1004.28,1000.0,100.0,0.0,NO,LONG,LONG,1036.78,1005.6766,-3.7201,0.7127,-4.4328,TRAIL
9,BNB,M15+H1,SHORT,2025-10-11 11:00,2025-10-11 15:00,1127.56,1155.79,1000.0,100.0,0.0,NO,SHORT,SHORT,1109.86,1143.1558,-25.0364,0.7229,-25.7593,TRAIL
10,BNB,M15+H1,LONG,2025-10-13 04:45,2025-10-13 10:00,1291.77,1333.33,1000.0,100.0,0.0,NO,LONG,LONG,1374.61,1333.3717,32.1729,0.7255,31.4474,TRAIL
11,BNB,M15+H1,SHORT,2025-10-16 16:15,2025-10-17 11:00,1137.55,1058.96,1000.0,100.0,0.0,NO,SHORT,SHORT,1021.0,1051.63,69.0871,0.6893,68.3977,TRAIL
12,BNB,M15+H1,LONG,2025-10-24 08:30,2025-10-24 16:00,1128.37,1098.43,1000.0,100.0,0.0,NO,LONG,,1137.53,1103.4041,-26.5338,0.7045,-27.2384,TRAIL
13,BNB,M15+H1,SHORT,2025-10-31 02:00,2025-11-03 15:30,1079.44,986.72,1000.0,100.0,0.0,NO,SHORT,SHORT,951.0,979.53,85.8964,0.6833,85.2131,TRAIL
14,BNB,M15+H1,LONG,2025-11-08 12:30,2025-11-10 14:45,991.43,983.69,1000.0,100.0,0.0,NO,LONG,,1019.15,988.5755,-7.8069,0.7112,-8.5181,TRAIL
15,BNB,M15+H1,SHORT,2025-11-12 15:45,2025-11-13 05:30,948.86,966.44,1000.0,100.0,0.0,NO,SHORT,SHORT,937.2,965.316,-18.5275,0.7206,-19.2481,TRAIL
16,BNB,M15+H1,LONG,2025-11-25 03:30,2025-11-28 17:15,861.42,878.5,1000.0,100.0,0.0,NO,LONG,,906.99,879.7803,19.8277,0.7211,19.1066,TRAIL
17,BNB,M15+H1,SHORT,2025-12-01 21:45,2025-12-02 13:45,823.08,845.53,1000.0,100.0,0.0,NO,SHORT,SHORT,820.2,844.806,-27.2756,0.7237,-27.9993,TRAIL
18,BNB,M15+H1,LONG,2025-12-03 16:15,2025-12-04 18:30,896.48,899.6,1000.0,100.0,0.0,NO,LONG,LONG,928.88,901.0136,3.4803,0.7152,2.765,TRAIL
19,BNB,M15+H1,SHORT,2025-12-07 14:15,2025-12-07 17:15,874.71,900.76,1000.0,100.0,0.0,NO,SHORT,,870.56,896.6768,-29.7813,0.7246,-30.5059,TRAIL
20,BNB,M15+H1,LONG,2025-12-21 10:30,2025-12-23 14:45,856.31,840.95,1000.0,100.0,0.0,NO,LONG,,871.7,845.549,-17.9374,0.7076,-18.645,TRAIL
21,BNB,M15+H1,SHORT,2025-12-24 14:30,2025-12-27 23:45,839.79,845.71,1000.0,100.0,0.0,NO,SHORT,,821.01,845.6403,-7.0494,0.7165,-7.7659,TRAIL
22,BNB,M15+H1,LONG,2025-12-30 09:15,2026-01-06 17:45,855.58,894.21,1000.0,100.0,0.0,NO,LONG,,924.84,897.0948,45.1507,0.7301,44.4205,TRAIL
23,BNB,M15+H1,SHORT,2026-01-08 17:15,2026-01-10 18:30,888.15,913.5,1000.0,100.0,0.0,NO,SHORT,,885.35,911.9105,-28.5425,0.7242,-29.2667,TRAIL
24,BNB,M15+H1,LONG,2026-01-12 18:15,2026-01-15 19:15,907.82,926.69,1000.0,100.0,0.0,NO,LONG,,955.65,926.9805,20.7861,0.7214,20.0646,TRAIL
25,BNB,M15+H1,SHORT,2026-01-19 21:00,2026-01-21 15:45,926.17,892.78,1000.0,100.0,0.0,NO,SHORT,SHORT,864.5,890.435,36.0517,0.7011,35.3506,TRAIL
