trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,DOT,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 02:00,3.642,3.696,1000.0,100.0,0.0,NO,SHORT,SHORT,3.584,3.69152,-14.827,0.7193,-15.5463,TRAIL
2,DOT,M15+H1,LONG,2025-08-06 14:45,2025-08-10 07:30,3.65,4.011,1000.0,100.0,0.0,NO,LONG,LONG,4.18,4.0546,98.9041,0.7493,98.1548,TRAIL
3,DOT,M15+H1,SHORT,2025-08-16 05:15,2025-08-17 04:45,3.907,4.019,1000.0,100.0,0.0,NO,SHORT,,3.887,4.00361,-28.6665,0.7242,-29.3907,TRAIL
4,DOT,M15+H1,LONG,2025-08-23 04:00,2025-08-24 05:30,4.081,4.135,1000.0,100.0,0.0,NO,LONG,LONG,4.267,4.13899,13.2321,0.7187,12.5133,TRAIL
5,DOT,M15+H1,SHORT,2025-08-26 11:15,2025-08-26 19:15,3.772,3.885,1000.0,100.0,0.0,NO,SHORT,SHORT,3.757,3.86971,-29.9576,0.7247,-30.6823,TRAIL
6,DOT,M15+H1,LONG,2025-08-29 02:00,2025-08-29 07:00,3.95,3.83,1000.0,100.0,0.0,NO,LONG,LONG,3.976,3.85672,-30.3797,0.7032,-31.0829,TRAIL
7,DOT,M15+H1,SHORT,2025-09-01 13:00,2025-09-02 01:30,3.762,3.717,1000.0,100.0,0.0,NO,SHORT,SHORT,3.608,3.71624,11.9617,0.7097,11.252,TRAIL
8,DOT,M15+H1,LONG,2025-09-05 07:00,2025-09-07 17:45,3.808,3.955,1000.0,100.0,0.0,NO,LONG,LONG,4.087,3.96439,38.6029,0.7278,37.8752,TRAIL
9,DOT,M15+H1,SHORT,2025-09-16 03:45,2025-09-16 09:45,4.151,4.242,1000.0,100.0,0.0,NO,SHORT,SHORT,4.106,4.22918,-21.9224,0.7218,-22.6443,TRAIL
10,DOT,M15+H1,LONG,2025-09-18 22:15,2025-09-19 01:45,4.554,4.72,1000.0,100.0,0.0,NO,LONG,LONG,4.88,4.7336,36.4515,0.727,35.7245,TRAIL
11,DOT,M15+H1,SHORT,2025-09-23 01:45,2025-09-24 05:15,3.983,4.001,1000.0,100.0,0.0,NO,SHORT,SHORT,3.883,3.99949,-4.5192,0.7156,-5.2348,TRAIL
12,DOT,M15+H1,LONG,2025-09-29 07:30,2025-09-30 07:30,3.943,3.899,1000.0,100.0,0.0,NO,LONG,,4.022,3.90134,-11.159,0.71,-11.869,TRAIL
13,DOT,M15+H1,SHORT,2025-10-06 07:30,2025-10-06 13:15,4.157,4.28,1000.0,100.0,0.0,NO,SHORT,,4.145,4.26935,-29.5886,0.7246,-30.3132,TRAIL
14,DOT,M15+H1,LONG,2025-10-07 03:00,2025-10-07 14:15,4.386,4.239,1000.0,100.0,0.0,NO,LONG,,4.388,4.25636,-33.5157,0.702,-34.2178,TRAIL
15,DOT,M15+H1,SHORT,2025-10-09 05:30,2025-10-09 22:45,4.111,4.08,1000.0,100.0,0.0,NO,SHORT,SHORT,3.961,4.07983,7.5407,0.7113,6.8294,TRAIL
16,DOT,M15+H1,LONG,2025-10-20 22:00,2025-10-21 04:00,3.085,2.992,1000.0,100.0,0.0,NO,LONG,LONG,3.093,3.00021,-30.1459,0.7032,-30.8491,TRAIL
17,DOT,M15+H1,SHORT,2025-10-31 02:30,2025-11-01 03:45,2.884,2.908,1000.0,100.0,0.0,NO,SHORT,SHORT,2.823,2.90769,-8.3218,0.717,-9.0387,TRAIL
