trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,ENA,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 00:45,0.5618,0.5928,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5609,0.577727,-55.1798,0.7337,-55.9135,TRAIL
2,ENA,M15+H1,LONG,2025-08-06 15:45,2025-08-07 02:45,0.593,0.5979,1000.0,100.0,0.0,NO,LONG,LONG,0.6166,0.598102,8.2631,0.7169,7.5461,TRAIL
3,ENA,M15+H1,SHORT,2025-08-14 19:45,2025-08-14 23:00,0.7331,0.7241,1000.0,100.0,0.0,NO,SHORT,SHORT,0.7026,0.723678,12.2766,0.7096,11.567,TRAIL
4,ENA,M15+H1,LONG,2025-08-23 08:30,2025-08-24 02:30,0.7426,0.7265,1000.0,100.0,0.0,NO,LONG,LONG,0.7525,0.729925,-21.6806,0.7063,-22.3868,TRAIL
5,ENA,M15+H1,SHORT,2025-08-26 11:15,2025-08-26 19:45,0.6272,0.6373,1000.0,100.0,0.0,NO,SHORT,SHORT,0.6184,0.636952,-16.1033,0.7197,-16.8231,TRAIL
6,ENA,M15+H1,LONG,2025-08-29 02:00,2025-08-29 07:00,0.6618,0.6471,1000.0,100.0,0.0,NO,LONG,,0.6746,0.654362,-22.2121,0.7061,-22.9182,TRAIL
7,ENA,M15+H1,SHORT,2025-09-02 00:15,2025-09-02 02:00,0.6307,0.6519,1000.0,100.0,0.0,NO,SHORT,SHORT,0.63,0.6489,-33.6134,0.726,-34.3394,TRAIL
8,ENA,M15+H1,LONG,2025-09-02 16:00,2025-09-04 03:15,0.6752,0.7156,1000.0,100.0,0.0,NO,LONG,LONG,0.7385,0.716345,59.8341,0.7354,59.0988,TRAIL
9,ENA,M15+H1,SHORT,2025-09-13 16:00,2025-09-14 04:30,0.7578,0.7575,1000.0,100.0,0.0,NO,SHORT,SHORT,0.7351,0.757153,0.3959,0.7139,-0.318,TRAIL
10,ENA,M15+H1,LONG,2025-10-02 00:00,2025-10-02 22:15,0.5829,0.6307,1000.0,100.0,0.0,NO,LONG,LONG,0.654,0.63438,82.0038,0.7433,81.2605,TRAIL
11,ENA,M15+H1,SHORT,2025-10-06 00:00,2025-10-06 09:15,0.582,0.5872,1000.0,100.0,0.0,NO,SHORT,SHORT,0.5655,0.582465,-8.9347,0.7172,-9.6519,TRAIL
12,ENA,M15+H1,LONG,2025-10-15 05:00,2025-10-15 09:15,0.4417,0.4544,1000.0,100.0,0.0,NO,LONG,LONG,0.4714,0.457258,28.7525,0.7243,28.0283,TRAIL
13,ENA,M15+H1,SHORT,2025-10-17 03:15,2025-10-17 09:15,0.4076,0.3917,1000.0,100.0,0.0,NO,SHORT,SHORT,0.3786,0.389958,39.0088,0.7001,38.3088,TRAIL
14,ENA,M15+H1,LONG,2025-10-19 10:30,2025-10-19 23:00,0.4797,0.4908,1000.0,100.0,0.0,NO,LONG,LONG,0.5061,0.490917,23.1395,0.7223,22.4172,TRAIL
15,ENA,M15+H1,SHORT,2025-10-23 01:15,2025-10-23 06:15,0.4394,0.4519,1000.0,100.0,0.0,NO,SHORT,SHORT,0.4377,0.450831,-28.4479,0.7242,-29.172,TRAIL
16,ENA,M15+H1,LONG,2025-10-24 15:30,2025-10-25 03:45,0.4727,0.4697,1000.0,100.0,0.0,NO,LONG,LONG,0.4852,0.470644,-6.3465,0.7117,-7.0583,TRAIL
17,ENA,M15+H1,SHORT,2025-10-31 04:45,2025-11-01 09:00,0.3961,0.3936,1000.0,100.0,0.0,NO,SHORT,SHORT,0.382,0.39346,6.3115,0.7117,5.5998,TRAIL
18,ENA,M15+H1,LONG,2025-11-11 01:45,2025-11-11 05:00,0.3507,0.3448,1000.0,100.0,0.0,NO,LONG,LONG,0.3599,0.349103,-16.8235,0.708,-17.5315,TRAIL
19,ENA,M15+H1,SHORT,2025-11-13 17:45,2025-11-13 22:15,0.2922,0.2904,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2812,0.289636,6.1602,0.7118,5.4484,TRAIL
20,ENA,M15+H1,LONG,2025-11-25 08:15,2025-11-25 19:00,0.2616,0.2784,1000.0,100.0,0.0,NO,LONG,LONG,0.2872,0.278584,64.2202,0.7369,63.4833,TRAIL
21,ENA,M15+H1,SHORT,2025-12-01 14:30,2025-12-01 18:45,0.243,0.2435,1000.0,100.0,0.0,NO,SHORT,SHORT,0.235,0.24205,-2.0576,0.7147,-2.7723,TRAIL
22,ENA,M15+H1,LONG,2025-12-04 10:30,2025-12-04 13:30,0.2924,0.2832,1000.0,100.0,0.0,NO,LONG,LONG,0.2928,0.284016,-31.4637,0.7028,-32.1665,TRAIL
23,ENA,M15+H1,SHORT,2025-12-07 14:00,2025-12-07 15:45,0.2561,0.2616,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2498,0.257294,-21.476,0.7217,-22.1977,TRAIL
24,ENA,M15+H1,LONG,2025-12-09 16:15,2025-12-09 20:15,0.283,0.2812,1000.0,100.0,0.0,NO,LONG,LONG,0.2935,0.284695,-6.3604,0.7117,-7.0722,TRAIL
25,ENA,M15+H1,SHORT,2025-12-11 16:00,2025-12-11 18:30,0.251,0.2592,1000.0,100.0,0.0,NO,SHORT,SHORT,0.2504,0.257912,-32.6693,0.7257,-33.395,TRAIL
26,ENA,M15+H1,LONG,2025-12-22 00:15,2025-12-22 05:45,0.2138,0.2103,1000.0,100.0,0.0,NO,LONG,,0.2171,0.210587,-16.3704,0.7082,-17.0786,TRAIL
27,ENA,M15+H1,SHORT,2025-12-23 21:00,2025-12-24 16:30,0.2001,0.202,1000.0,100.0,0.0,NO,SHORT,SHORT,0.1956,0.201468,-9.4953,0.7174,-10.2126,TRAIL
28,ENA,M15+H1,LONG,2025-12-26 20:15,2025-12-28 11:30,0.2093,0.2107,1000.0,100.0,0.0,NO,LONG,LONG,0.218,0.21146,6.689,0.7164,5.9726,TRAIL
29,ENA,M15+H1,SHORT,2025-12-31 07:15,2025-12-31 21:30,0.2041,0.2024,1000.0,100.0,0.0,NO,SHORT,SHORT,0.1964,0.202292,8.3293,0.711,7.6182,TRAIL
30,ENA,M15+H1,LONG,2026-01-03 09:30,2026-01-04 19:00,0.2366,0.2444,1000.0,100.0,0.0,NO,LONG,LONG,0.2524,0.244828,32.967,0.7258,32.2413,TRAIL
31,ENA,M15+H1,SHORT,2026-01-08 01:30,2026-01-08 15:30,0.2385,0.2346,1000.0,100.0,0.0,NO,SHORT,SHORT,0.227,0.23381,16.3522,0.7082,15.644,TRAIL
