trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,ETH,M15+H1,SHORT,2025-08-01 00:00,2025-08-02 04:45,3656.88,3531.97,1000.0,100.0,0.0,NO,SHORT,SHORT,3428.86,3531.7258,34.1575,0.7018,33.4557,TRAIL
2,ETH,M15+H1,LONG,2025-08-05 10:15,2025-08-05 14:15,3672.68,3579.0,1000.0,100.0,0.0,NO,LONG,LONG,3692.3,3581.531,-25.5073,0.7049,-26.2122,TRAIL
3,ETH,M15+H1,SHORT,2025-08-16 09:45,2025-08-17 08:45,4395.41,4533.15,1000.0,100.0,0.0,NO,SHORT,,4370.0,4501.1,-31.3372,0.7252,-32.0624,TRAIL
4,ETH,M15+H1,LONG,2025-08-23 02:45,2025-08-24 20:00,4713.98,4737.82,1000.0,100.0,0.0,NO,LONG,LONG,4957.67,4808.9399,5.0573,0.7158,4.3415,TRAIL
5,ETH,M15+H1,SHORT,2025-08-26 08:15,2025-08-26 14:45,4409.92,4550.31,1000.0,100.0,0.0,NO,SHORT,SHORT,4403.0,4535.09,-31.835,0.7254,-32.5604,TRAIL
6,ETH,M15+H1,LONG,2025-09-05 11:15,2025-09-05 14:15,4417.09,4320.89,1000.0,100.0,0.0,NO,LONG,LONG,4494.45,4359.6165,-21.779,0.7062,-22.4853,TRAIL
7,ETH,M15+H1,SHORT,2025-09-16 09:15,2025-09-17 22:00,4505.11,4546.08,1000.0,100.0,0.0,NO,SHORT,,4404.08,4536.2024,-9.0941,0.7172,-9.8114,TRAIL
8,ETH,M15+H1,LONG,2025-09-29 12:00,2025-09-30 15:00,4108.93,4115.99,1000.0,100.0,0.0,NO,LONG,LONG,4246.87,4119.4639,1.7182,0.7146,1.0036,TRAIL
9,ETH,M15+H1,SHORT,2025-10-09 06:00,2025-10-10 01:15,4436.0,4390.56,1000.0,100.0,0.0,NO,SHORT,SHORT,4262.55,4390.4265,10.2435,0.7103,9.5331,TRAIL
10,ETH,M15+H1,LONG,2025-10-15 06:30,2025-10-15 12:15,4108.13,4076.43,1000.0,100.0,0.0,NO,LONG,,4216.12,4089.6364,-7.7164,0.7112,-8.4277,TRAIL
11,ETH,M15+H1,SHORT,2025-10-16 09:15,2025-10-16 10:00,3986.28,4057.0,1000.0,100.0,0.0,NO,SHORT,SHORT,3937.3,4055.419,-17.7409,0.7203,-18.4612,TRAIL
12,ETH,M15+H1,LONG,2025-10-20 15:30,2025-10-21 04:00,4027.92,3877.09,1000.0,100.0,0.0,NO,LONG,LONG,4041.0,3919.77,-37.4461,0.7006,-38.1468,TRAIL
13,ETH,M15+H1,SHORT,2025-10-23 02:45,2025-10-24 04:30,3824.0,3961.76,1000.0,100.0,0.0,NO,SHORT,,3807.01,3921.2203,-36.0251,0.7269,-36.752,TRAIL
