trade_id,symbol,timeframe,side,entry_time,exit_time,entry,exit,size,close_pct,remaining_size,is_partial,entry_h1_signal,exit_h1_signal,extreme,trail_stop,gross,fee,net,result
1,INJ,M15+H1,SHORT,2025-08-01 00:00,2025-08-01 01:45,13.083,13.097,1000.0,100.0,0.0,NO,SHORT,SHORT,12.711,13.09233,-1.0701,0.7144,-1.7845,TRAIL
2,INJ,M15+H1,LONG,2025-08-05 09:15,2025-08-05 14:15,13.413,13.334,1000.0,100.0,0.0,NO,LONG,LONG,13.755,13.34235,-5.8898,0.7119,-6.6017,TRAIL
3,INJ,M15+H1,SHORT,2025-08-16 09:45,2025-08-16 15:15,14.204,14.559,1000.0,100.0,0.0,NO,SHORT,SHORT,14.084,14.50652,-24.993,0.7229,-25.7159,TRAIL
4,INJ,M15+H1,LONG,2025-08-23 04:15,2025-08-23 12:45,14.516,14.372,1000.0,100.0,0.0,NO,LONG,LONG,14.821,14.37637,-9.9201,0.7105,-10.6305,TRAIL
5,INJ,M15+H1,SHORT,2025-08-26 08:15,2025-08-26 12:30,12.947,13.285,1000.0,100.0,0.0,NO,SHORT,SHORT,12.892,13.27876,-26.1064,0.7233,-26.8298,TRAIL
6,INJ,M15+H1,LONG,2025-09-03 23:45,2025-09-04 05:15,13.233,12.894,1000.0,100.0,0.0,NO,LONG,LONG,13.31,12.9107,-25.6178,0.7049,-26.3226,TRAIL
7,INJ,M15+H1,SHORT,2025-09-05 04:00,2025-09-05 12:00,12.523,12.837,1000.0,100.0,0.0,NO,SHORT,LONG,12.488,12.86264,-25.0739,0.723,-25.7968,FLIP_H1
8,INJ,M15+H1,LONG,2025-09-05 12:00,2025-09-05 14:15,12.837,12.739,1000.0,100.0,0.0,NO,LONG,LONG,13.157,12.76229,-7.6342,0.7113,-8.3455,TRAIL
9,INJ,M15+H1,SHORT,2025-09-07 00:15,2025-09-08 04:15,12.907,13.151,1000.0,100.0,0.0,NO,SHORT,LONG,12.875,13.26125,-18.9045,0.7207,-19.6252,FLIP_H1
10,INJ,M15+H1,LONG,2025-09-08 04:15,2025-09-09 14:30,13.151,14.078,1000.0,100.0,0.0,NO,LONG,LONG,14.541,14.10477,70.4889,0.7392,69.7498,TRAIL
11,INJ,M15+H1,SHORT,2025-09-16 01:30,2025-09-16 08:00,13.459,13.696,1000.0,100.0,0.0,NO,SHORT,SHORT,13.273,13.67119,-17.609,0.7203,-18.3293,TRAIL
12,INJ,M15+H1,LONG,2025-09-18 13:45,2025-09-19 04:00,14.496,14.342,1000.0,100.0,0.0,NO,LONG,LONG,14.872,14.42584,-10.6236,0.7102,-11.3338,TRAIL
13,INJ,M15+H1,SHORT,2025-09-21 12:15,2025-09-22 06:00,13.75,12.353,1000.0,100.0,0.0,NO,SHORT,SHORT,11.888,12.24464,101.6,0.6777,100.9223,TRAIL
14,INJ,M15+H1,LONG,2025-09-29 14:00,2025-09-30 07:15,12.121,11.862,1000.0,100.0,0.0,NO,LONG,,12.229,11.86213,-21.3679,0.7064,-22.0742,TRAIL
15,INJ,M15+H1,SHORT,2025-10-08 08:45,2025-10-08 17:00,12.462,12.724,1000.0,100.0,0.0,NO,SHORT,,12.351,12.72153,-21.0239,0.7215,-21.7454,TRAIL
16,INJ,M15+H1,LONG,2025-10-21 19:30,2025-10-21 22:15,8.906,8.628,1000.0,100.0,0.0,NO,LONG,LONG,8.926,8.65822,-31.2149,0.7029,-31.9178,TRAIL
17,INJ,M15+H1,SHORT,2025-10-30 07:45,2025-10-30 23:45,8.411,7.637,1000.0,100.0,0.0,NO,SHORT,SHORT,7.397,7.61891,92.0224,0.6811,91.3412,TRAIL
18,INJ,M15+H1,LONG,2025-11-08 11:00,2025-11-08 13:45,7.859,7.619,1000.0,100.0,0.0,NO,LONG,LONG,7.906,7.66882,-30.5382,0.7031,-31.2413,TRAIL
19,INJ,M15+H1,SHORT,2025-11-13 18:00,2025-11-13 22:15,7.008,6.924,1000.0,100.0,0.0,NO,SHORT,SHORT,6.717,6.91851,11.9863,0.7097,11.2766,TRAIL
20,INJ,M15+H1,LONG,2025-11-20 13:00,2025-11-20 15:45,6.714,6.55,1000.0,100.0,0.0,NO,LONG,,6.771,6.56787,-24.4266,0.7053,-25.1319,TRAIL
21,INJ,M15+H1,SHORT,2025-11-22 10:45,2025-11-22 14:15,5.294,5.451,1000.0,100.0,0.0,NO,SHORT,SHORT,5.277,5.43531,-29.6562,0.7246,-30.3808,TRAIL
22,INJ,M15+H1,LONG,2025-11-25 21:15,2025-11-26 03:30,5.938,5.871,1000.0,100.0,0.0,NO,LONG,LONG,6.066,5.88402,-11.2833,0.71,-11.9932,TRAIL
23,INJ,M15+H1,SHORT,2025-12-07 13:45,2025-12-07 15:45,5.421,5.459,1000.0,100.0,0.0,NO,SHORT,SHORT,5.266,5.42398,-7.0098,0.7165,-7.7263,TRAIL
24,INJ,M15+H1,LONG,2025-12-09 15:45,2025-12-09 18:45,5.871,5.998,1000.0,100.0,0.0,NO,LONG,LONG,6.185,5.99945,21.6317,0.7217,20.91,TRAIL
25,INJ,M15+H1,SHORT,2025-12-14 05:15,2025-12-15 01:30,5.296,5.27,1000.0,100.0,0.0,NO,SHORT,SHORT,5.077,5.22931,4.9094,0.7122,4.1971,TRAIL
26,INJ,M15+H1,LONG,2025-12-29 04:00,2025-12-29 09:30,4.874,4.714,1000.0,100.0,0.0,NO,LONG,LONG,4.894,4.74718,-32.8272,0.7023,-33.5295,TRAIL
